ULAT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-7-1,25,17,9,9,6,1,66,44,28,1012,1010,1005,19,10,10,32,11,50,0.51,2,,357
2015-7-2,28,20,12,9,4,0,76,39,12,1014,1012,1003,10,10,3,29,8,47,0.00,2,,339
2015-7-3,31,22,14,6,2,-2,58,27,7,1012,1009,999,10,10,10,32,8,47,0.00,1,,355
2015-7-4,31,23,16,8,4,1,55,29,8,1010,1007,996,10,10,10,35,19,61,0.00,5,,155
2015-7-5,24,21,17,18,12,8,100,55,31,1007,1004,1000,10,10,2,40,18,58,7.87,3,Rain-Thunderstorm,133
2015-7-6,33,24,16,12,7,-1,88,39,6,1005,1002,991,10,10,10,35,13,50,0.51,2,,141
2015-7-7,26,19,12,14,9,5,82,51,17,1013,1006,997,10,10,3,43,18,61,5.08,3,Rain-Thunderstorm,329
2015-7-8,22,16,10,9,4,-3,88,51,12,1018,1016,1011,10,10,10,18,8,35,0.00,3,,315
2015-7-9,28,20,12,3,1,-4,62,28,5,1016,1012,1003,10,10,10,40,13,55,0.00,2,,187
2015-7-10,32,24,17,10,3,-4,49,27,4,1012,1008,998,10,10,10,50,31,35,0.00,2,Rain,162
2015-7-11,33,26,18,5,2,-3,54,23,5,1010,1007,998,10,10,10,21,6,32,0.00,3,,244
2015-7-12,31,22,13,14,4,-1,94,32,7,1007,1003,990,10,9,3,50,16,68,3.05,5,Rain-Thunderstorm,169
2015-7-13,21,17,13,12,8,4,82,56,24,1005,1001,996,10,10,10,35,23,55,0.00,3,Rain-Thunderstorm,156
2015-7-14,23,18,13,11,8,3,82,58,20,1011,1007,1002,10,10,10,32,10,55,2.03,4,Rain-Thunderstorm,40
2015-7-15,26,19,13,13,9,5,89,57,17,1014,1011,1005,10,10,10,35,14,55,0.51,2,Rain-Thunderstorm,35
2015-7-16,22,18,13,14,12,11,96,77,50,1014,1012,1006,10,9,2,21,8,,4.06,4,Rain,50
2015-7-17,22,18,14,15,13,11,88,74,47,1011,1009,1003,19,10,10,18,10,,0.00,4,Rain-Thunderstorm,45
2015-7-18,23,19,15,16,13,12,94,78,48,1011,1009,1004,10,10,10,21,5,,8.89,4,Rain-Thunderstorm,347
2015-7-19,23,18,14,15,13,12,94,78,50,1013,1011,1007,19,10,10,26,5,,0.76,3,Rain-Thunderstorm,322
2015-7-20,24,19,14,15,13,11,94,74,45,1015,1013,1007,10,10,10,29,5,,12.95,2,Rain-Thunderstorm,64
2015-7-21,26,19,13,14,11,8,94,59,25,1016,1015,1007,10,10,10,26,6,32,0.00,2,,335
2015-7-22,27,20,13,12,8,4,88,51,15,1018,1015,1007,10,10,10,26,6,,3.30,1,,312
2015-7-23,30,22,14,12,8,4,82,45,13,1016,1013,1003,10,9,2,29,6,,3.05,4,,238
2015-7-24,23,19,15,17,13,10,88,70,36,1010,1008,1004,19,10,3,21,5,,6.10,3,Rain,335
2015-7-25,23,17,12,13,10,7,94,63,30,1012,1010,1005,10,10,10,26,8,,0.00,2,,345
2015-7-26,27,20,13,11,8,3,94,50,14,1012,1009,1000,19,10,10,29,5,26,1.78,2,,196
2015-7-27,25,19,13,14,11,6,100,61,23,1008,1006,999,10,10,6,43,18,47,0.00,3,Rain,210
2015-7-28,19,16,13,12,10,7,88,69,49,1010,1007,1004,10,10,3,18,8,32,3.05,4,Rain,64
2015-7-29,23,17,12,12,10,9,94,66,34,1014,1012,1008,10,10,10,18,5,,0.00,2,,153
2015-7-30,24,19,13,12,10,9,94,58,28,1015,1013,1006,10,10,10,26,8,,0.00,4,,154
2015-7-31,27,21,15,14,13,9,88,66,36,1012,1009,1003,10,10,3,43,14,72,23.88,4,Rain-Thunderstorm,95
2015-8-1,16,13,11,14,11,9,94,80,63,1012,1009,1007,10,10,3,35,14,50,3.05,4,Rain-Thunderstorm,338
2015-8-2,20,15,10,10,8,6,88,64,32,1013,1010,1005,10,10,10,35,14,55,0.51,3,,322
2015-8-3,24,17,8,13,7,5,93,59,20,1010,1006,999,10,10,10,26,6,,5.84,2,,252
2015-8-4,18,16,12,12,10,7,88,73,52,1010,1007,1004,19,10,10,26,10,,0.00,4,Rain-Thunderstorm,352
2015-8-5,21,16,11,11,9,7,94,66,36,1014,1011,1007,10,10,10,26,11,,0.00,2,,339
2015-8-6,24,17,10,10,7,4,93,59,20,1017,1015,1009,10,10,10,14,3,,2.03,1,,326
2015-8-7,27,19,11,12,8,4,93,54,16,1019,1017,1010,19,10,10,14,3,,2.54,3,,175
2015-8-8,29,21,13,10,6,2,93,48,11,1020,1017,1009,10,10,10,14,3,,2.29,1,,252
2015-8-9,31,22,14,10,7,3,87,47,11,1018,1016,1006,10,9,2,14,3,,3.56,6,,151
2015-8-10,34,24,16,10,6,1,82,37,7,1015,1013,1003,10,10,3,35,8,61,0.00,2,Rain-Thunderstorm,222
2015-8-11,30,23,16,12,9,5,82,43,14,1015,1013,1004,10,10,10,18,10,35,0.00,3,Rain-Thunderstorm,349
2015-8-12,29,22,16,15,11,1,88,55,10,1014,1007,995,10,10,2,40,18,58,2.03,4,Rain-Thunderstorm,147
2015-8-13,17,12,8,14,9,5,88,74,48,1013,1006,997,10,9,2,40,24,50,0.00,5,Rain,307
2015-8-14,26,17,8,9,6,2,93,56,15,1015,1011,1004,10,8,2,26,6,32,0.00,1,,194
2015-8-15,30,22,14,7,2,-3,63,28,5,1011,1008,999,10,10,10,47,13,64,0.00,3,,141
2015-8-16,28,19,9,10,3,-2,88,36,9,1010,1006,996,19,10,8,55,32,72,0.00,4,Rain-Thunderstorm,170
2015-8-17,20,14,9,8,6,1,94,61,18,1012,1009,1006,10,10,10,32,10,43,0.00,4,Rain,119
2015-8-18,17,13,11,9,8,6,88,70,47,1019,1014,1012,10,10,10,26,13,,1.02,5,Rain,345
2015-8-19,16,13,10,10,9,7,94,76,59,1023,1020,1018,19,10,2,29,13,,0.00,5,Rain,354
2015-8-20,23,16,8,10,8,4,93,62,23,1025,1020,1014,10,9,2,21,8,,0.00,2,,331
2015-8-21,26,18,9,10,7,4,93,58,21,1020,1016,1008,10,10,10,18,5,,0.00,1,,334
2015-8-22,28,20,11,9,6,0,93,46,9,1015,1013,1003,10,10,10,14,3,,1.78,1,,221
2015-8-23,30,22,13,7,3,-2,71,32,6,1016,1013,1004,10,10,10,18,3,,0.00,2,Thunderstorm,121
2015-8-24,29,22,16,7,4,1,63,33,9,1018,1016,1006,10,10,10,43,11,47,0.00,2,,172
2015-8-25,28,21,15,8,6,3,63,37,12,1019,1017,1009,10,10,10,21,10,35,0.00,2,,176
2015-8-26,29,22,16,11,7,4,63,35,14,1018,1016,1008,10,10,10,26,10,21,1.52,4,Rain,123
2015-8-27,29,22,15,9,6,0,87,42,8,1018,1016,1007,10,10,3,18,5,,2.03,1,,352
2015-8-28,24,19,14,12,7,3,76,49,17,1019,1017,1011,10,9,3,40,6,58,0.00,4,Rain-Thunderstorm,11
2015-8-29,25,19,12,11,8,5,93,56,21,1022,1020,1014,10,10,3,14,5,32,0.00,2,Rain,288
2015-8-30,26,18,11,8,6,3,93,51,16,1023,1022,1014,10,10,10,11,3,,2.03,2,,203
2015-8-31,27,19,12,12,6,0,81,51,13,1023,1022,1013,10,10,3,29,5,35,3.05,4,,321
2015-9-1,20,16,11,12,10,8,88,68,46,1024,1023,1019,19,10,2,26,11,,3.30,4,,324
2015-9-2,27,18,10,12,7,4,93,57,16,1025,1022,1012,10,10,3,18,5,,1.02,4,Rain-Thunderstorm,205
2015-9-3,26,21,15,11,8,2,72,48,16,1021,1017,1010,10,10,3,43,14,47,0.00,4,Rain-Thunderstorm,47
2015-9-4,23,17,11,11,8,6,93,55,28,1017,1014,1008,10,10,10,29,16,29,0.00,3,Rain,37
2015-9-5,21,16,11,11,8,6,88,63,33,1017,1016,1012,10,10,10,21,6,,0.76,3,Rain,228
2015-9-6,22,16,9,11,6,0,93,58,16,1020,1016,1009,10,10,10,21,5,,0.00,4,Rain-Thunderstorm,299
2015-9-7,16,11,7,11,6,2,95,67,31,1024,1016,1013,10,10,10,29,10,50,0.00,3,Rain,313
2015-9-8,14,8,3,3,0,-4,93,60,22,1030,1025,1021,10,10,10,21,8,,3.56,2,,320
2015-9-9,15,9,3,1,-1,-3,93,58,23,1032,1027,1025,10,10,10,26,5,,0.00,2,,293
2015-9-10,14,9,4,3,-1,-6,87,54,22,1031,1025,1021,10,10,10,35,8,,0.00,3,Rain,329
2015-9-11,12,8,3,2,-1,-4,81,58,30,1032,1026,1023,10,10,10,32,13,40,2.03,3,,344
2015-9-12,22,12,2,3,1,-3,93,54,16,1030,1019,1011,10,6,2,18,5,,0.76,1,,223
2015-9-13,27,17,7,3,0,-3,87,43,7,1015,1010,1001,2,2,2,21,5,,2.29,,,244
2015-9-14,27,18,9,1,-3,-6,65,30,5,1009,1006,998,10,10,10,21,8,40,1.02,4,,212
2015-9-15,18,13,9,6,1,-7,76,45,15,1015,1011,1005,19,10,10,29,16,40,0.00,3,,338
2015-9-16,16,9,2,4,2,-2,93,61,41,1025,1019,1015,10,10,3,29,6,,0.00,3,Rain,328
2015-9-17,16,8,1,3,-4,-9,93,50,10,1028,1022,1017,10,9,2,18,5,,0.00,1,,199
2015-9-18,19,10,2,-4,-7,-11,74,37,6,1029,1022,1016,10,10,3,14,3,,2.29,4,,270
2015-9-19,20,12,5,-5,-8,-12,52,26,5,1019,1011,1005,10,10,10,21,6,,0.00,3,,271
2015-9-20,15,9,3,-1,-4,-8,69,42,17,1017,1012,1011,10,9,3,14,5,,0.25,6,,308
2015-9-21,13,9,6,6,4,-2,93,72,43,1015,1011,1008,10,10,8,18,10,,1.02,5,Rain,140
2015-9-22,11,8,4,5,4,3,93,72,54,1014,1008,1004,10,10,3,47,16,61,0.00,4,Rain-Thunderstorm,139
2015-9-23,14,8,2,5,1,-3,93,70,44,1011,1004,1000,10,10,8,40,10,61,3.05,3,Rain-Hail-Thunderstorm,236
2015-9-24,3,1,-1,-1,-2,-3,93,78,64,1020,1009,1005,10,9,2,29,16,,0.00,4,Rain-Snow,317
2015-9-25,10,4,-1,0,-2,-4,93,70,28,1020,1012,1010,10,10,3,11,3,,0.51,3,,288
2015-9-26,8,4,-1,-1,-3,-4,93,65,31,1025,1016,1011,10,10,10,29,8,,2.29,3,,336
2015-9-27,9,3,-3,-2,-4,-9,93,66,20,1031,1023,1019,10,10,3,14,5,,0.00,1,,264
2015-9-28,16,7,-2,-4,-7,-10,93,44,8,1032,1023,1018,10,10,3,40,10,,0.00,4,,181
2015-9-29,12,7,1,2,-4,-9,87,48,14,1026,1021,1018,19,10,8,40,19,58,0.00,3,Rain-Snow,275
2015-9-30,7,2,-2,0,-3,-9,100,70,23,1028,1021,1019,10,9,3,29,11,,0.00,3,Rain-Snow,316
2015-10-1,15,7,-1,1,-2,-7,87,55,20,1026,1014,1008,19,10,10,43,10,50,2.03,2,,265
2015-10-2,14,7,0,1,-2,-4,93,63,20,1021,1015,1011,19,10,3,21,6,,0.76,1,,295
2015-10-3,17,8,-2,0,-3,-7,93,56,11,1023,1017,1013,10,10,8,14,3,,0.00,1,,204
2015-10-4,18,8,-1,-2,-4,-7,93,49,9,1022,1014,1008,10,10,3,26,3,,0.76,4,,239
2015-10-5,20,9,-1,1,-4,-6,86,47,9,1020,1012,1006,19,10,2,18,5,,2.29,,,223
2015-10-6,20,10,0,1,-2,-5,86,53,12,1020,1010,1003,10,9,2,40,5,58,0.76,5,Rain-Snow,323
2015-10-7,1,-2,-6,0,-5,-9,97,74,41,1035,1024,1013,19,9,2,40,21,58,0.51,4,Rain-Snow,318
2015-10-8,3,-2,-7,-6,-8,-11,86,60,32,1036,1025,1021,10,10,10,32,10,,1.78,4,,337
2015-10-9,7,1,-5,-4,-7,-9,86,55,31,1032,1022,1019,19,19,19,32,13,40,1.02,,,332
2015-10-10,10,1,-7,-5,-8,-12,93,54,15,1036,1028,1025,3,2,2,26,8,,0.00,,,337
2015-10-11,15,4,-6,-5,-7,-9,86,53,12,1039,1029,1026,19,8,2,18,5,,1.02,,,163
2015-10-12,17,6,-5,-4,-7,-9,86,51,10,1033,1024,1020,10,7,3,14,3,,2.03,,,202
2015-10-13,18,7,-5,-6,-8,-11,86,45,6,1028,1019,1014,10,7,2,11,2,,0.25,,,165
2015-10-14,17,7,-4,-5,-8,-10,80,42,7,1021,1015,1011,10,6,2,14,5,,2.54,6,,201
2015-10-15,19,7,-4,-4,-7,-10,80,40,6,1020,1013,1009,10,9,2,14,5,,1.27,5,,317
2015-10-16,11,3,-4,-2,-4,-8,81,59,35,1037,1021,1013,19,10,10,35,19,47,4.83,3,,357
2015-10-17,3,-2,-7,-6,-13,-19,86,46,9,1037,1027,1024,19,10,10,29,10,,2.29,3,,259
2015-10-18,6,1,-4,-4,-12,-19,74,38,16,1029,1016,1011,19,10,3,32,10,,0.00,6,,128
2015-10-19,7,0,-7,-4,-9,-13,93,56,15,1026,1018,1014,10,10,10,14,5,,1.02,5,,358
2015-10-20,7,-1,-8,0,-7,-13,93,65,25,1030,1020,1018,10,9,2,26,5,35,0.51,3,Rain,203
2015-10-21,9,0,-9,-1,-8,-13,94,68,17,1034,1023,1018,10,4,0,26,5,,0.00,1,Fog,212
2015-10-22,12,1,-10,-7,-11,-13,86,49,9,1029,1017,1013,10,8,2,14,3,,0.25,6,,212
2015-10-23,11,1,-8,-7,-10,-13,79,51,13,1031,1020,1015,10,9,2,21,5,,4.32,6,,306
2015-10-24,12,6,-1,-8,-9,-11,74,37,12,1032,1023,1019,19,10,10,47,14,61,0.00,4,,147
2015-10-25,7,1,-6,2,-7,-10,100,57,21,1024,1014,1007,10,8,0,35,19,,7.87,5,Rain-Snow,161
2015-10-26,-3,-7,-10,-8,-11,-12,86,73,45,1029,1018,1012,10,9,3,40,23,,1.02,4,Snow,322
2015-10-27,-2,-6,-11,-8,-11,-15,92,78,44,1034,1020,1016,19,10,10,21,6,,0.00,4,Snow,301
2015-10-28,-4,-7,-9,-10,-12,-14,86,69,39,1041,1029,1023,10,10,3,26,8,,0.00,4,Snow,313
2015-10-29,1,-4,-10,-8,-12,-15,86,65,24,1043,1033,1029,19,12,10,18,6,,0.76,3,,269
2015-10-30,2,-6,-13,-7,-11,-16,86,68,34,1044,1033,1031,10,10,10,11,5,,1.78,,,186
2015-10-31,8,-2,-13,-6,-11,-17,92,60,12,1042,1025,1019,19,9,3,21,5,,0.25,,,174
2015-11-1,8,-1,-9,-4,-8,-12,86,64,21,1030,1019,1015,10,7,3,6,3,,0.00,5,,163
2015-11-2,10,3,-4,-2,-6,-10,86,55,14,1019,1011,1007,10,9,8,14,5,,3.30,5,,206
2015-11-3,5,-1,-7,-3,-6,-11,80,62,26,1032,1011,1001,10,10,3,32,13,47,0.00,4,Rain-Snow,318
2015-11-4,-6,-10,-14,-11,-14,-17,86,69,35,1047,1030,1021,10,10,3,21,11,35,0.00,3,Snow,320
2015-11-5,-3,-10,-18,-14,-18,-23,85,57,17,1050,1034,1030,19,14,10,14,5,,2.29,,,167
2015-11-6,0,-9,-17,-17,-18,-21,78,46,12,1045,1029,1025,19,10,8,26,8,,0.00,5,,157
2015-11-7,1,-3,-11,-10,-17,-20,85,37,12,1035,1023,1019,10,10,10,21,14,,0.00,5,,158
2015-11-8,2,-7,-14,-8,-12,-17,86,68,29,1031,1020,1017,19,10,8,11,3,,2.03,3,,200
2015-11-9,3,-6,-15,-5,-11,-17,86,68,24,1031,1019,1015,19,10,3,14,3,,2.29,5,,255
2015-11-10,2,-4,-11,-8,-13,-18,93,61,13,1034,1021,1018,19,12,3,14,5,,4.83,3,,196
2015-11-11,3,-6,-13,-9,-13,-17,79,57,19,1030,1019,1016,10,8,2,11,2,,4.57,3,,163
2015-11-12,3,-3,-10,-9,-12,-14,80,59,18,1024,1013,1008,19,11,10,11,3,,6.60,4,,229
2015-11-13,0,-4,-9,-7,-9,-12,93,70,29,1022,1008,1003,10,10,3,29,8,,1.78,3,,320
2015-11-14,-5,-10,-14,-9,-13,-17,93,77,54,1037,1016,1010,10,9,2,26,8,,0.00,3,Snow,323
2015-11-15,-10,-15,-20,-12,-17,-24,92,76,37,1040,1021,1013,10,6,1,18,5,,1.02,6,Snow,104
2015-11-16,-13,-18,-24,-12,-19,-27,92,79,59,1041,1020,1012,10,9,2,18,8,,0.00,4,Snow,209
2015-11-17,-15,-21,-28,-20,-25,-33,85,74,47,1044,1025,1020,10,6,3,6,2,,3.81,5,Snow,0
2015-11-18,-14,-20,-27,-18,-23,-29,85,77,62,1042,1024,1019,10,6,2,11,2,,0.25,5,Snow,192
2015-11-19,-13,-19,-25,-17,-23,-30,85,79,67,1042,1023,1019,10,6,2,14,3,,0.51,6,Snow,185
2015-11-20,-18,-24,-32,-24,-28,-36,84,74,55,1047,1027,1022,10,7,2,11,3,,0.00,4,Snow,170
2015-11-21,-18,-24,-31,-24,-29,-35,77,71,43,1053,1030,1025,10,5,2,6,3,,0.00,5,Snow,179
2015-11-22,-16,-22,-29,-20,-27,-36,84,74,58,1054,1033,1028,10,5,2,14,3,,0.51,6,Snow,185
2015-11-23,-18,-24,-32,-23,-30,-36,78,72,48,1057,1036,1032,10,5,2,11,3,,2.29,3,,166
2015-11-24,-18,-24,-31,-24,-29,-34,77,72,51,1053,1032,1026,10,5,2,11,2,,0.00,5,Snow,183
2015-11-25,-21,-27,-34,-26,-33,-41,93,71,48,1055,1030,1021,8,5,1,14,3,,9.14,5,Snow,155
2015-11-26,-14,-21,-29,-19,-25,-33,85,71,46,1044,1019,1013,10,5,2,11,3,,0.51,4,,245
2015-11-27,-10,-18,-25,-13,-20,-28,85,75,59,1035,1018,1014,10,4,0,14,5,,0.00,5,Snow,166
2015-11-28,-8,-12,-16,-11,-14,-18,92,83,70,1035,1019,1013,10,7,2,6,2,,0.00,5,Snow,307
2015-11-29,-11,-18,-25,-13,-19,-27,92,81,54,1035,1019,1012,19,7,0,14,3,,0.00,5,Fog-Snow,192
2015-11-30,-8,-15,-22,-13,-18,-27,85,76,53,1027,1008,1003,10,7,0,11,3,,0.00,5,,185
2015-12-1,-9,-16,-22,-13,-16,-24,84,73,56,1035,1016,1007,19,10,2,32,13,40,0.00,3,Snow,335
2015-12-2,-11,-14,-17,-14,-18,-26,85,77,52,1041,1023,1018,10,9,2,26,10,,0.25,3,Snow,333
2015-12-3,-11,-18,-26,-16,-21,-28,85,77,56,1043,1027,1023,10,9,0,14,3,,0.00,3,,165
2015-12-4,-12,-19,-26,-15,-22,-29,85,80,63,1043,1025,1020,10,7,0,6,2,,0.00,3,Snow,143
2015-12-5,-12,-19,-27,-17,-23,-31,85,76,44,1044,1024,1018,10,5,2,6,2,,0.00,5,,0
2015-12-6,-10,-18,-25,-16,-23,-28,85,76,50,1037,1021,1017,6,5,2,6,2,,2.54,3,,170
2015-12-7,-7,-14,-22,-13,-20,-27,85,78,49,1035,1017,1012,19,7,0,11,3,,3.05,4,Snow,175
2015-12-8,-9,-16,-22,-12,-16,-25,92,81,65,1033,1019,1013,10,6,2,14,3,,0.00,3,Snow,93
2015-12-9,-13,-20,-27,-15,-23,-30,92,80,61,1040,1019,1013,10,5,0,11,3,,0.00,4,Fog,160
2015-12-10,-7,-16,-25,-13,-21,-29,85,69,41,1040,1022,1018,10,8,5,18,3,,1.52,4,,119
2015-12-11,-8,-15,-22,-15,-18,-25,85,73,44,1040,1021,1017,10,9,2,14,5,,1.02,4,,182
2015-12-12,-7,-13,-20,-14,-19,-23,85,75,46,1041,1025,1022,10,5,0,6,3,,2.03,4,,165
2015-12-13,-11,-16,-21,-12,-15,-23,92,83,75,1036,1020,1016,10,5,0,11,3,,1.02,4,Snow,181
2015-12-14,-11,-17,-22,-14,-19,-25,85,78,62,1040,1022,1016,19,10,8,11,5,,0.00,4,Snow,178
2015-12-15,-13,-21,-29,-15,-23,-33,85,73,51,1050,1032,1024,19,10,10,21,6,,0.00,3,Snow,187
2015-12-16,-12,-20,-28,-20,-27,-32,85,72,43,1051,1029,1022,8,4,2,11,3,,4.32,,,0
2015-12-17,-13,-20,-27,-19,-26,-30,84,74,52,1043,1025,1020,5,4,0,6,3,,2.79,,,156
2015-12-18,-11,-19,-28,-18,-27,-33,84,74,44,1044,1026,1022,19,5,3,11,2,,0.00,,,170
2015-12-19,-12,-21,-30,-21,-28,-34,85,71,35,1041,1020,1014,19,5,2,11,3,,4.57,,,159
2015-12-20,-16,-23,-31,-23,-29,-35,84,72,44,1040,1017,1012,6,4,0,3,2,,6.35,,,-1
2015-12-21,-8,-19,-31,-17,-26,-36,78,66,35,1041,1018,1012,10,6,2,29,3,,5.84,5,,118
2015-12-22,-13,-18,-23,-18,-21,-26,85,77,55,1040,1019,1012,19,10,10,11,3,,0.00,4,Snow,218
2015-12-23,-19,-24,-30,-20,-28,-34,84,75,57,1046,1025,1021,10,6,2,6,3,,0.00,5,Snow,170
2015-12-24,-20,-28,-35,-27,-33,-39,77,69,44,1046,1019,1008,6,4,2,11,3,,6.35,4,,-1
2015-12-25,-13,-20,-27,-19,-26,-33,78,71,43,1030,1010,1005,4,3,0,6,2,,0.76,4,,151
2015-12-26,-13,-21,-28,-19,-26,-31,85,75,47,1045,1024,1012,4,3,0,6,2,,0.00,3,,164
2015-12-27,-14,-22,-29,-20,-27,-33,85,76,52,1046,1028,1024,19,5,0,11,3,,0.00,3,,177
2015-12-28,-11,-17,-24,-16,-21,-26,85,76,57,1040,1023,1020,10,7,0,6,2,,0.00,5,,160
2015-12-29,-12,-17,-23,-14,-21,-26,85,81,72,1042,1026,1021,10,6,0,6,3,,0.25,5,Snow,163
2015-12-30,-13,-20,-27,-16,-23,-30,89,78,54,1043,1024,1019,10,6,1,14,3,,0.00,5,Snow,188
2015-12-31,-11,-18,-26,-18,-24,-30,85,74,43,1037,1020,1016,10,5,2,6,3,,6.35,4,,164