EAT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,28,22,17,24,20,17,100,96,51,1019,1017,1015,19,9,3,34,6,48,27.94,5,Rain-Thunderstorm,329
2015-1-2,27,22,16,23,20,16,100,92,52,1019,1017,1015,19,10,7,23,6,,7.11,5,Rain,340
2015-1-3,25,22,19,25,21,18,100,97,75,1018,1016,1014,31,10,3,26,6,42,7.87,6,Rain,352
2015-1-4,27,22,18,24,20,17,100,93,56,1017,1015,1013,31,11,7,23,11,35,1.02,5,Rain,311
2015-1-5,27,22,18,24,21,17,100,95,68,1017,1015,1013,26,10,5,24,8,,2.03,6,Rain-Thunderstorm,315
2015-1-6,28,23,18,24,20,18,100,94,51,1050,1017,1015,31,10,3,23,6,,12.95,5,Rain-Thunderstorm,313
2015-1-7,27,22,18,26,21,18,100,96,52,1020,1018,1015,26,9,3,27,6,37,54.10,6,Rain-Thunderstorm,349
2015-1-8,28,23,18,25,21,18,100,91,49,1020,1018,1015,31,9,3,26,6,37,21.08,5,Rain-Thunderstorm,85
2015-1-9,28,23,19,24,21,18,100,96,55,1019,1017,1015,26,9,3,23,6,26,18.03,5,Rain-Thunderstorm,64
2015-1-10,27,23,19,24,21,17,100,96,66,1018,1016,1015,31,11,5,32,8,,4.06,6,Rain-Thunderstorm,110
2015-1-11,26,22,19,25,21,18,100,94,61,1020,1017,1015,31,11,6,32,13,45,2.03,5,Rain,102
2015-1-12,27,22,17,24,20,17,100,95,59,1022,1019,1017,31,10,3,19,8,,19.05,5,Rain-Thunderstorm,69
2015-1-13,28,22,17,24,19,17,100,92,47,1021,1019,1016,26,9,3,23,5,35,24.89,5,Rain-Thunderstorm,194
2015-1-14,27,22,17,23,20,18,100,93,56,1019,1017,1015,31,11,6,21,5,,0.51,6,Rain-Thunderstorm,324
2015-1-15,26,22,18,24,20,18,100,96,58,1017,1015,1013,31,10,4,23,6,,13.97,6,Rain,353
2015-1-16,23,20,18,22,19,17,100,99,76,1013,1010,1007,14,6,1,34,13,66,41.91,7,Rain,20
2015-1-17,23,21,18,23,20,17,100,98,69,1013,1009,1006,31,9,2,48,29,69,7.11,6,Rain,291
2015-1-18,28,23,18,24,21,17,100,92,53,1016,1013,1011,26,11,8,21,13,,0.25,5,Rain-Thunderstorm,281
2015-1-19,28,23,18,23,20,15,100,86,35,1016,1014,1012,19,10,10,21,8,,0.00,4,Rain-Thunderstorm,304
2015-1-20,28,23,18,24,21,18,100,90,46,1019,1016,1014,19,10,1,24,8,,6.10,5,Rain-Thunderstorm,347
2015-1-21,25,21,18,24,20,17,100,97,58,1023,1020,1018,31,11,7,21,6,,3.05,6,Rain-Thunderstorm,55
2015-1-22,27,22,17,22,19,15,100,88,43,1022,1020,1017,31,11,10,23,8,,1.02,4,Rain-Thunderstorm,64
2015-1-23,24,21,17,23,19,16,100,95,62,1020,1018,1016,31,11,5,24,14,,0.00,5,Rain-Thunderstorm,112
2015-1-24,23,20,16,21,18,14,100,91,57,1022,1020,1018,19,10,10,19,11,,0.00,6,Thunderstorm,114
2015-1-25,24,20,16,20,19,16,100,90,52,1022,1021,1019,31,11,10,19,10,,0.00,6,,141
2015-1-26,25,21,18,23,19,17,100,93,54,1022,1021,1020,31,11,5,29,13,42,4.06,6,Rain,139
2015-1-27,26,21,17,22,19,16,100,91,56,1022,1020,1019,19,10,5,27,16,35,0.00,5,Rain,139
2015-1-28,27,22,17,22,19,16,100,89,43,1021,1019,1017,19,10,4,29,11,,7.11,5,Rain,124
2015-1-29,30,24,18,23,20,17,100,84,47,1020,1018,1015,26,11,10,21,6,,0.00,4,Rain-Thunderstorm,73
2015-1-30,28,23,18,21,19,15,100,83,40,1020,1018,1015,31,11,10,24,10,,0.00,5,Thunderstorm,89
2015-1-31,25,21,18,23,19,15,100,93,60,1021,1019,1017,31,11,5,16,10,,9.91,6,Rain-Thunderstorm,40
2015-2-1,27,22,18,22,19,17,100,95,56,1020,1017,1016,31,9,2,23,6,,28.96,6,Rain-Thunderstorm,38
2015-2-2,26,22,18,24,20,17,100,95,63,1019,1017,1015,31,10,4,19,6,34,7.11,5,Rain-Thunderstorm,44
2015-2-3,19,18,17,20,18,17,100,99,82,1020,1019,1017,29,9,4,19,6,,19.05,6,Rain,14
2015-2-4,19,18,16,19,17,14,100,97,66,1021,1019,1017,26,10,3,19,8,,2.03,6,Rain,337
2015-2-5,19,17,15,19,17,12,100,97,68,1019,1018,1016,31,10,5,32,10,48,3.05,6,Rain,309
2015-2-6,23,19,16,22,18,14,100,95,65,1020,1018,1017,31,11,10,21,5,35,0.51,6,Rain,357
2015-2-7,22,19,16,22,19,16,100,95,69,1022,1020,1018,31,11,9,19,8,40,0.00,6,Rain,353
2015-2-8,27,22,17,23,19,17,100,89,56,1021,1019,1017,31,12,10,21,6,24,0.00,5,,311
2015-2-9,27,22,17,23,20,18,100,94,50,1023,1020,1018,31,10,3,26,5,45,3.05,5,Rain-Thunderstorm,55
2015-2-10,23,20,17,22,19,16,100,94,59,1023,1022,1020,31,12,10,24,10,,0.00,6,Rain,131
2015-2-11,23,21,18,24,20,18,100,98,73,1023,1021,1020,31,10,3,23,13,,0.76,6,Rain,124
2015-2-12,25,21,16,23,19,17,100,93,55,1022,1020,1018,31,11,7,23,10,,0.00,5,,110
2015-2-13,26,21,17,23,19,15,100,90,56,1021,1019,1017,31,11,10,19,10,,0.25,5,,127
2015-2-14,27,22,17,22,19,14,100,91,47,1020,1018,1015,19,9,2,16,8,,21.08,6,Rain-Thunderstorm,97
2015-2-15,25,21,18,23,19,17,100,99,83,1021,1019,1016,26,7,2,14,5,,39.88,6,Rain-Thunderstorm,11
2015-2-16,26,22,18,25,20,18,100,95,64,1020,1019,1017,19,9,2,21,3,,7.87,6,Rain-Thunderstorm,338
2015-2-17,27,22,18,25,21,18,100,91,53,1021,1019,1016,31,11,6,16,5,,0.00,5,Thunderstorm,313
2015-2-18,28,23,19,26,21,18,100,93,56,1021,1019,1017,31,10,5,21,6,39,5.08,6,Rain-Thunderstorm,287
2015-2-19,28,23,18,24,20,17,100,94,55,1021,1019,1015,19,10,7,21,8,39,1.02,5,Rain-Thunderstorm,275
2015-2-20,28,23,18,25,21,16,100,92,38,1018,1016,1014,31,9,3,16,5,,64.01,4,Rain-Thunderstorm,1
2015-2-21,25,21,18,25,21,18,100,97,58,1021,1019,1017,19,9,2,29,3,40,40.89,5,Rain-Thunderstorm,68
2015-2-22,22,19,17,24,20,18,100,98,77,1022,1021,1019,26,10,6,19,5,,3.05,6,Rain,86
2015-2-23,27,22,17,23,19,16,100,93,60,1022,1021,1018,31,11,8,23,5,,0.25,6,Rain,33
2015-2-24,23,20,17,23,19,17,100,98,73,1022,1019,1017,26,9,3,19,5,,23.11,5,Rain,349
2015-2-25,25,21,17,24,20,18,100,96,61,1018,1016,1013,31,10,4,16,8,,0.25,6,Rain,333
2015-2-26,28,23,18,24,20,18,100,96,62,1017,1015,1013,19,8,3,26,5,37,67.06,6,Rain-Thunderstorm,52
2015-2-27,26,22,18,25,20,18,100,96,57,1018,1016,1014,31,11,8,21,6,,9.91,5,Rain,133
2015-2-28,27,22,17,22,19,16,100,88,47,1018,1016,1014,31,11,6,23,11,,0.00,5,Thunderstorm,124
2015-3-1,25,20,16,22,19,16,100,92,54,1017,1016,1013,19,10,4,21,13,,0.00,5,Rain-Thunderstorm,98
2015-3-2,27,22,17,24,20,16,100,90,51,1019,1017,1014,31,11,4,23,8,,5.08,5,Rain-Thunderstorm,23
2015-3-3,27,23,18,25,21,18,100,96,66,1019,1018,1015,31,10,4,24,6,,1.02,6,Rain,128
2015-3-4,22,20,18,21,19,17,100,98,77,1019,1018,1016,31,10,4,27,14,42,7.11,6,Rain,146
2015-3-5,26,22,18,23,19,17,100,95,69,1021,1018,1016,31,11,6,26,8,,0.76,5,Rain,90
2015-3-6,26,22,18,23,20,18,100,95,77,1021,1019,1017,31,11,5,27,6,,0.25,5,Rain,111
2015-3-7,24,21,18,25,20,18,100,97,55,1018,1017,1014,31,9,5,19,5,,17.02,6,Rain-Snow,221
2015-3-8,25,21,17,23,19,17,100,96,59,1017,1016,1014,31,11,5,35,10,42,0.76,5,Rain,303
2015-3-9,26,21,17,23,19,17,100,97,60,1015,1014,1013,26,9,3,29,8,40,23.11,6,Rain,320
2015-3-10,25,22,18,24,21,18,100,96,78,1017,1015,1013,26,11,6,27,16,,1.02,5,Rain-Thunderstorm,284
2015-3-11,27,22,18,22,19,16,100,91,63,1020,1017,1016,31,10,5,21,11,,2.03,4,Rain-Thunderstorm,289
2015-3-12,28,21,14,23,20,17,100,88,44,1021,1019,1017,31,11,10,16,6,,0.00,4,Thunderstorm,339
2015-3-13,24,21,17,22,19,14,100,90,54,1023,1021,1019,31,11,10,21,13,,0.00,5,,121
2015-3-14,24,20,16,21,18,15,100,91,54,1025,1023,1021,31,12,10,26,13,,0.00,5,Rain,118
2015-3-15,24,19,15,22,17,13,100,92,57,1025,1023,1021,31,11,6,26,11,,0.00,5,Rain,128
2015-3-16,23,18,14,20,16,12,100,88,51,1025,1024,1022,31,11,10,19,10,,0.00,4,,129
2015-3-17,28,21,14,21,18,13,100,85,32,1024,1023,1020,31,11,10,19,3,,0.00,3,Thunderstorm,98
2015-3-18,28,22,16,21,18,14,100,83,33,1024,1022,1020,31,11,6,19,6,,0.00,4,Thunderstorm,89
2015-3-19,28,22,15,21,18,11,100,78,24,1024,1022,1020,31,11,10,19,6,,0.00,3,,79
2015-3-20,27,22,16,23,19,16,100,87,42,1024,1022,1021,31,11,10,14,6,,0.00,4,Thunderstorm,94
2015-3-21,28,22,17,23,20,16,100,89,43,1025,1023,1021,31,11,4,26,6,,0.51,5,Rain-Thunderstorm,87
2015-3-22,28,21,15,21,18,14,100,83,36,1025,1024,1022,31,11,10,23,10,,0.00,3,Thunderstorm,106
2015-3-23,28,21,14,20,17,11,100,80,24,1025,1023,1021,31,11,10,16,8,,0.00,1,Thunderstorm,100
2015-3-24,27,21,14,21,18,14,100,87,40,1024,1022,1020,31,11,10,19,6,,0.00,3,Thunderstorm,84
2015-3-25,27,22,16,22,19,16,100,88,44,1025,1023,1020,26,11,10,19,8,,0.00,5,Thunderstorm,93
2015-3-26,27,22,17,21,19,14,100,86,37,1024,1023,1021,31,11,10,23,8,,0.00,5,,105
2015-3-27,27,22,17,21,19,16,100,86,38,1023,1022,1019,31,11,10,19,6,,0.00,5,,94
2015-3-28,28,22,16,22,19,14,100,83,34,1022,1021,1018,31,11,10,16,8,,0.00,4,,86
2015-3-29,27,22,17,21,19,14,100,84,37,1022,1020,1018,31,11,10,16,6,,0.00,5,Thunderstorm,87
2015-3-30,29,22,15,22,18,11,100,83,22,1022,1020,1018,31,11,3,13,5,,0.00,4,Fog-Thunderstorm,59
2015-3-31,29,23,17,22,19,14,100,80,29,1022,1020,1017,31,11,10,19,5,,0.00,3,Thunderstorm,74
2015-4-1,27,22,17,24,19,17,100,93,53,1020,1019,1017,31,11,8,21,6,,1.02,5,Rain-Thunderstorm,359
2015-4-2,28,22,17,22,19,16,100,85,40,1019,1017,1015,31,11,10,19,5,,0.00,4,Thunderstorm,300
2015-4-3,30,21,11,21,18,12,100,84,30,1019,1017,1015,31,12,10,16,5,,0.00,4,,90
2015-4-4,28,22,16,21,19,16,100,87,37,1019,1017,1015,31,12,10,19,8,,0.00,4,,91
2015-4-5,29,23,17,23,20,18,100,86,42,1020,1018,1016,31,11,10,14,6,,0.00,5,,106
2015-4-6,28,23,17,21,18,12,100,79,25,1021,1019,1017,19,10,10,21,11,,0.00,3,,130
2015-4-7,28,22,15,19,15,8,100,70,18,1020,1019,1017,31,12,10,174,8,,0.00,2,,105
2015-4-8,29,21,13,18,14,6,100,70,16,1020,1019,1017,26,11,10,27,6,,0.00,1,,111
2015-4-9,28,21,13,19,17,12,100,79,26,1021,1019,1017,31,11,5,16,8,,0.00,2,,115
2015-4-10,27,21,16,20,18,13,100,83,37,1022,1020,1018,26,11,10,100,10,,0.00,3,,128
2015-4-11,27,21,15,22,19,16,100,88,47,1023,1021,1019,31,11,10,23,8,,0.00,4,Thunderstorm,115
2015-4-12,27,22,17,20,18,14,100,82,33,1024,1022,1020,31,11,10,16,8,,0.00,4,,112
2015-4-13,29,21,14,20,18,13,100,82,29,1024,1022,1020,31,11,10,19,8,,0.00,3,,101
2015-4-14,27,22,18,20,19,14,100,85,46,1023,1020,1018,31,11,10,16,8,,0.00,5,,90
2015-4-15,28,22,16,22,19,14,100,84,42,1021,1019,1017,31,11,10,11,3,,0.00,5,Thunderstorm,4
2015-4-16,29,22,16,23,19,12,100,82,25,1025,1022,1020,26,11,8,14,3,,0.00,3,,135
2015-4-17,26,22,18,20,19,16,100,85,47,1025,1024,1023,31,11,10,19,11,,0.00,4,Thunderstorm,112
2015-4-18,26,21,17,20,18,14,100,85,41,1025,1023,1021,31,11,10,21,11,,0.00,3,Thunderstorm,106
2015-4-19,26,21,16,21,18,14,100,86,36,1024,1022,1019,31,11,10,19,8,,0.00,3,Thunderstorm,113
2015-4-20,29,22,15,23,19,16,100,85,40,1024,1022,1020,31,12,10,14,6,,0.00,4,Thunderstorm,74
2015-4-21,29,23,17,23,20,17,100,86,42,1024,1022,1020,31,11,7,21,8,,6.10,4,Rain-Thunderstorm,111
2015-4-22,24,21,18,22,19,16,100,92,61,1024,1023,1022,31,11,10,24,13,37,0.00,5,,121
2015-4-23,26,21,17,21,18,14,100,87,46,1026,1024,1022,26,11,10,23,11,,0.00,5,Thunderstorm,128
2015-4-24,25,20,15,22,18,14,100,89,46,1026,1025,1023,31,11,6,23,8,,0.00,5,Rain,117
2015-4-25,25,20,16,22,18,14,100,89,44,1025,1023,1021,31,11,10,21,11,,0.00,4,Thunderstorm,117
2015-4-26,26,19,13,20,17,12,100,87,37,1023,1022,1019,31,10,1,19,5,,0.00,2,Fog-Thunderstorm,105
2015-4-27,27,20,13,21,16,14,100,89,38,1022,1020,1017,31,7,0,13,3,,0.00,2,Fog,83
2015-4-28,28,21,14,22,17,13,100,86,39,1021,1019,1016,31,8,0,11,2,,0.00,3,Fog-Thunderstorm,292
2015-4-29,27,21,14,21,17,13,100,82,32,1019,1018,1016,31,11,2,21,5,32,0.00,2,Thunderstorm,312
2015-4-30,28,21,13,21,17,13,100,79,30,1021,1019,1017,31,12,10,21,3,,0.00,2,Thunderstorm,315
2015-5-1,29,22,16,23,18,15,100,83,34,1024,1021,1019,31,11,5,19,3,,0.00,3,Fog-Thunderstorm,327
2015-5-2,27,21,15,21,18,16,100,86,45,1024,1022,1021,31,11,4,55,5,52,19.05,4,Rain-Thunderstorm,102
2015-5-3,26,20,15,17,16,15,100,79,48,1023,1021,1019,31,11,10,16,5,,0.00,4,Thunderstorm,92
2015-5-4,25,20,15,18,16,14,100,77,39,1023,1021,1019,31,11,10,19,6,,0.00,5,Thunderstorm,102
2015-5-5,25,20,14,17,15,13,100,77,39,1026,1022,1020,31,11,10,21,6,,0.00,4,,120
2015-5-6,25,19,13,16,13,7,94,71,27,1024,1022,1020,31,11,10,16,5,,0.00,2,,112
2015-5-7,27,19,12,16,12,9,100,76,23,1034,1023,1022,31,8,0,23,2,,0.00,2,Fog,115
2015-5-8,24,19,14,15,14,12,94,74,43,1026,1025,1024,27,11,10,26,6,,0.00,3,,131
2015-5-9,22,18,14,17,15,13,94,81,55,1026,1024,1023,31,12,10,14,6,,0.00,5,,127
2015-5-10,24,19,15,17,15,13,100,80,49,1055,1023,1021,31,12,10,19,5,,0.00,3,,122
2015-5-11,26,21,16,17,16,14,100,78,40,1025,1023,1022,31,11,10,16,5,,0.00,4,,114
2015-5-12,26,20,14,18,16,14,100,80,39,1026,1024,1022,19,10,2,11,5,,0.00,3,Thunderstorm,86
2015-5-13,27,21,15,21,17,15,100,82,48,1023,1021,1019,31,11,7,16,5,,0.00,4,,40
2015-5-14,27,21,16,19,15,10,100,74,31,1022,1021,1019,31,11,10,21,6,,0.00,3,,294
2015-5-15,22,18,14,18,14,11,100,81,47,1025,1023,1022,31,11,10,21,6,,0.00,3,,125
2015-5-16,23,17,11,16,14,11,100,84,38,1025,1024,1022,31,11,10,16,6,,0.00,2,,119
2015-5-17,24,18,12,19,16,12,100,87,44,1025,1023,1022,31,12,10,19,8,,0.00,4,,115
2015-5-18,23,18,13,16,14,9,100,85,31,1026,1024,1023,26,11,10,23,11,,0.00,2,,119
2015-5-19,24,18,12,19,16,11,100,89,44,1026,1024,1023,31,11,10,26,10,,0.00,3,,134
2015-5-20,23,19,16,19,17,11,100,90,37,1027,1025,1024,31,11,10,24,11,,0.00,4,,129
2015-5-21,23,18,14,19,16,13,100,93,53,1027,1026,1024,31,11,1,23,10,,0.00,4,Rain,128
2015-5-22,23,17,12,18,14,9,100,87,39,1027,1026,1024,31,11,10,23,10,,0.00,2,,125
2015-5-23,23,18,13,18,16,13,100,88,48,1025,1024,1022,31,11,10,13,3,,0.00,4,,103
2015-5-24,24,18,12,19,16,12,100,87,36,1025,1023,1021,31,11,10,11,2,,0.00,3,,110
2015-5-25,25,19,14,18,16,11,100,86,32,1024,1023,1021,31,11,10,16,3,,0.00,4,,85
2015-5-26,25,19,13,18,15,12,100,84,33,1025,1024,1022,31,12,10,16,3,,0.00,4,,91
2015-5-27,21,17,13,17,15,13,100,89,56,1026,1025,1023,31,11,10,23,5,,0.00,4,,101
2015-5-28,22,16,9,15,12,9,100,85,34,1026,1024,1022,31,11,10,16,5,,0.00,1,,110
2015-5-29,22,15,8,13,11,8,100,81,28,1025,1023,1021,26,11,10,16,5,,0.00,1,,118
2015-5-30,21,14,8,16,13,7,100,87,11,1026,1025,1023,31,11,3,26,6,,0.00,4,,135
2015-5-31,19,16,13,17,14,11,100,93,56,1026,1025,1023,31,11,4,26,13,,0.00,5,Rain,138
2015-6-1,22,18,13,17,15,11,100,90,47,1024,1023,1021,31,11,8,26,13,45,0.00,4,,138
2015-6-2,22,19,15,19,16,13,100,90,49,1024,1023,1021,31,12,10,35,10,,0.00,5,,130
2015-6-3,24,19,13,19,17,13,100,90,46,1023,1022,1020,26,11,10,19,8,,0.00,5,,118
2015-6-4,23,19,15,19,17,14,100,92,53,1023,1020,1019,26,11,4,11,3,,0.00,4,Rain,99
2015-6-5,27,19,11,21,15,11,100,88,30,1021,1019,1017,31,9,0,21,2,26,0.00,4,Fog,282
2015-6-6,26,19,11,18,16,11,100,83,29,1021,1020,1018,26,11,10,21,5,,0.00,4,,70
2015-6-7,20,17,14,18,16,12,100,94,60,1023,1022,1020,31,11,10,23,11,,0.00,6,,120
2015-6-8,20,17,13,18,14,12,100,92,4,1025,1023,1022,19,11,7,16,10,,0.00,5,Rain,123
2015-6-9,22,18,13,18,15,13,100,91,56,1025,1023,1022,31,12,7,11,3,,0.00,5,,87
2015-6-10,24,18,13,19,14,12,100,91,35,1023,1022,1019,26,6,0,13,2,,0.00,4,Fog,97
2015-6-11,23,18,12,18,14,11,100,87,38,1023,1021,1019,31,12,10,14,6,,0.00,3,,108
2015-6-12,23,18,12,17,14,11,100,82,39,1023,1021,1020,26,11,10,13,2,,0.00,4,,108
2015-6-13,23,16,9,17,12,9,100,85,37,1022,1020,1018,26,9,0,19,3,,0.00,3,Fog,280
2015-6-14,23,16,9,16,12,8,100,87,36,1022,1020,1018,31,10,0,16,2,,0.00,2,Fog,98
2015-6-15,22,15,8,12,10,4,100,78,20,1024,1022,1020,31,12,10,16,6,,0.00,1,,120
2015-6-16,22,16,10,14,12,8,100,83,41,1024,1023,1021,26,11,10,26,11,,0.00,3,,140
2015-6-17,23,17,11,17,13,10,100,87,43,1022,1021,1019,26,11,10,23,13,,0.00,4,,118
2015-6-18,23,16,8,16,12,6,100,86,22,1024,1022,1020,31,7,0,11,2,,0.00,2,Fog,148
2015-6-19,22,16,8,16,12,6,100,86,25,1027,1024,1023,31,9,0,21,3,,0.00,2,Fog,126
2015-6-20,19,16,12,18,15,11,100,94,61,1028,1027,1026,31,11,10,26,10,,0.00,5,,146
2015-6-21,20,17,14,16,14,11,100,88,48,1029,1028,1027,26,11,10,32,18,42,0.00,5,,153
2015-6-22,20,17,13,17,15,12,100,94,60,1028,1027,1025,31,11,4,26,10,,0.51,6,Rain,146
2015-6-23,21,17,13,18,15,12,100,91,48,1028,1026,1025,26,11,8,16,8,,1.02,4,,127
2015-6-24,22,17,12,18,15,12,100,93,44,1028,1027,1025,31,11,8,23,6,,0.00,5,Rain,109
2015-6-25,21,17,13,17,14,12,100,90,47,1029,1028,1026,26,11,8,19,10,,0.00,5,Rain,125
2015-6-26,22,16,10,16,13,9,100,86,39,1029,1027,1025,31,11,10,23,8,,0.00,1,,112
