EAT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-6-27,19,14,10,16,13,10,100,89,43,1028,1027,1026,26,11,10,24,8,45,0.00,3,,143
2015-6-28,21,16,10,15,13,9,100,87,41,1028,1026,1024,31,11,10,14,8,,0.00,4,,123
2015-6-29,23,16,8,16,13,9,100,85,34,1026,1025,1023,26,11,0,14,2,,0.00,4,Fog,85
2015-6-30,22,16,11,17,12,5,100,78,22,1025,1024,1022,26,11,5,14,2,,0.00,3,,160
2015-7-1,18,13,8,15,12,9,100,91,48,1026,1024,1023,31,11,4,11,3,24,0.00,4,Rain,111
2015-7-2,22,16,10,17,14,10,100,87,42,1027,1025,1024,26,11,10,14,3,,0.00,4,,114
2015-7-3,19,17,14,17,15,12,100,93,62,1029,1027,1025,31,11,10,21,10,,0.00,6,,124
2015-7-4,21,18,14,17,15,12,100,92,52,1029,1028,1026,26,11,10,19,8,,0.00,5,,111
2015-7-5,23,18,13,17,14,12,100,86,39,1029,1027,1025,26,11,10,13,5,,0.00,3,,68
2015-7-6,23,18,12,17,13,11,100,87,36,1028,1027,1025,26,8,1,8,2,,0.00,4,Fog,230
2015-7-7,23,17,10,17,13,8,100,87,28,1025,1024,1021,31,9,0,13,3,,0.00,3,Fog,318
2015-7-8,22,17,12,16,14,11,100,87,41,1026,1023,1022,26,11,10,14,8,,0.00,5,,95
2015-7-9,22,17,12,15,13,9,100,84,38,1028,1026,1025,31,11,10,16,8,,0.00,4,,88
2015-7-10,20,14,9,14,12,9,100,86,39,1028,1027,1025,31,11,7,16,5,,0.00,2,,104
2015-7-11,18,14,10,14,12,7,100,86,38,1028,1027,1025,31,11,10,26,11,,0.00,4,,131
2015-7-12,19,13,7,13,11,7,100,84,43,1029,1027,1026,31,11,10,26,11,,0.00,3,,138
2015-7-13,19,13,7,14,11,6,100,83,36,1028,1027,1025,26,11,10,21,5,,0.00,1,,106
2015-7-14,22,13,4,14,9,3,100,84,18,1029,1027,1024,26,7,0,19,3,,0.00,2,Fog,127
2015-7-15,21,14,8,14,12,8,100,85,23,1028,1027,1025,31,11,10,23,8,,0.00,2,,127
2015-7-16,21,15,9,15,12,8,100,88,38,1027,1026,1024,31,12,9,24,5,39,0.00,4,,122
2015-7-17,22,16,8,17,13,9,100,88,43,1028,1026,1025,31,11,10,23,6,,1.02,3,,118
2015-7-18,21,17,12,15,13,7,100,84,32,1029,1027,1026,31,11,4,35,10,47,0.00,4,Rain,129
2015-7-19,20,16,11,18,14,11,100,95,63,1028,1027,1026,19,10,6,29,14,,0.00,6,Rain,139
2015-7-20,19,14,10,16,12,8,100,92,56,1028,1027,1025,19,10,4,29,10,,0.00,3,Rain,131
2015-7-21,19,14,8,16,12,6,100,89,50,1058,1028,1026,31,12,8,34,8,,0.00,3,,136
2015-7-22,21,14,7,15,11,6,100,85,36,1028,1027,1025,31,11,2,21,5,,0.00,2,,112
2015-7-23,20,14,8,14,11,4,100,83,27,1027,1026,1024,31,11,10,21,5,,0.00,1,,126
2015-7-24,20,14,8,16,12,6,100,89,47,1028,1026,1025,31,12,10,19,8,,0.00,4,,116
2015-7-25,21,14,8,15,12,8,100,85,42,1028,1026,1023,31,12,10,16,6,,0.00,2,,115
2015-7-26,24,14,6,14,10,6,100,81,22,1026,1024,1022,31,11,1,19,3,,0.00,1,Fog,59
2015-7-27,26,18,11,16,12,7,100,78,23,1026,1024,1021,31,10,4,13,2,,0.00,3,,223
2015-7-28,24,17,9,18,14,10,100,89,35,1025,1024,1022,26,8,0,21,3,,0.00,3,Fog,89
2015-7-29,24,18,12,15,13,9,100,81,31,1026,1024,1023,26,11,10,19,5,,0.00,3,,104
2015-7-30,24,17,9,15,11,2,100,76,14,1026,1024,1022,31,11,8,14,5,,0.00,2,,66
2015-7-31,27,19,11,17,13,8,100,78,23,1024,1022,1020,31,9,0,16,2,26,0.00,2,Fog,306
2015-8-1,24,17,10,14,11,7,100,71,25,1025,1023,1021,26,11,10,24,5,47,0.00,1,,273
2015-8-2,19,15,11,16,13,9,100,93,69,1027,1025,1024,31,12,7,29,8,,4.06,6,Rain,130
2015-8-3,15,13,11,16,12,9,100,97,67,1029,1027,1025,26,11,5,19,11,,2.03,6,Rain,134
2015-8-4,18,13,9,13,11,7,100,87,42,1028,1027,1026,26,11,10,24,8,,0.00,3,,130
2015-8-5,20,15,10,13,11,7,100,84,37,1028,1026,1024,31,11,10,21,10,,0.00,3,,126
2015-8-6,22,16,9,13,11,6,100,80,24,1026,1024,1022,31,12,10,16,2,,0.00,3,,188
2015-8-7,21,14,8,13,11,6,100,85,23,1026,1024,1022,31,7,0,16,2,,0.00,1,Fog,102
2015-8-8,21,14,8,13,11,7,100,82,31,1027,1025,1024,31,11,10,14,6,,0.00,2,,110
2015-8-9,23,17,11,15,11,6,100,82,22,1027,1024,957,26,9,1,16,3,,0.00,2,,115
2015-8-10,24,17,9,17,12,8,100,82,28,1026,1024,1022,26,10,2,16,3,32,0.00,4,Fog,110
2015-8-11,22,17,11,15,13,8,100,82,31,1027,1025,1024,31,12,10,24,8,,0.00,2,,100
2015-8-12,22,17,11,18,14,11,100,88,52,1028,1026,1025,31,11,10,19,5,,0.00,3,,99
2015-8-13,22,16,10,18,13,10,100,89,38,1038,1027,1025,31,12,7,19,5,,0.00,4,,109
2015-8-14,23,16,9,16,13,9,100,85,35,1029,1027,1025,31,11,9,58,6,37,0.00,2,,112
2015-8-15,21,17,12,16,13,9,100,85,39,1030,1028,1027,26,11,7,29,10,53,0.00,4,,140
2015-8-16,21,17,13,16,14,10,100,90,43,1030,1028,1026,26,11,8,26,18,,0.00,5,,136
2015-8-17,21,16,12,16,13,9,100,87,38,1028,1026,1024,31,12,8,37,6,,0.00,4,Rain,107
2015-8-18,23,17,9,15,12,7,100,79,26,1024,1022,1020,31,11,10,13,2,,0.00,2,,102
2015-8-19,24,18,11,17,13,-1,100,85,25,1024,1022,1020,31,6,0,21,3,,0.00,2,Fog,105
2015-8-20,24,18,11,15,12,8,100,83,26,1025,1024,1022,31,9,0,21,5,,0.00,2,Fog,114
2015-8-21,23,16,9,15,12,7,100,85,27,1027,1025,1023,26,8,0,23,5,,0.00,2,Fog,111
2015-8-22,22,17,12,15,13,8,100,82,29,1026,1025,1023,31,12,10,16,10,23,0.00,3,,119
2015-8-23,26,18,10,16,13,8,100,80,22,1026,1025,1022,26,9,5,16,2,,0.00,3,,86
2015-8-24,24,18,11,17,14,11,100,87,36,1027,1025,1023,31,10,3,16,5,,0.00,2,,97
2015-8-25,24,19,14,16,14,10,100,83,34,1028,1026,1025,31,11,10,24,11,,0.00,4,,103
2015-8-26,20,16,12,15,13,9,100,85,39,1028,1027,1025,31,11,10,24,16,35,0.00,4,,133
2015-8-27,21,16,10,16,13,9,100,87,50,1028,1027,1025,31,11,10,24,11,,0.00,4,,124
2015-8-28,21,16,11,14,12,8,100,83,31,1028,1026,1024,31,11,10,24,14,,0.00,4,,125
2015-8-29,21,16,10,16,13,9,100,88,37,1028,1026,1024,19,10,10,23,10,,0.00,5,,113
2015-8-30,22,17,13,15,12,8,100,81,34,1028,1026,1024,31,11,8,23,11,,0.00,5,,112
2015-8-31,20,15,10,15,13,10,100,89,47,1028,1027,1025,19,10,10,26,13,,0.00,5,,119
2015-9-1,21,17,13,17,14,11,100,92,56,1028,1026,1025,26,10,6,23,8,,0.00,5,,113
2015-9-2,22,17,12,16,13,9,100,85,34,1027,1026,1024,19,10,4,23,8,,0.00,3,Rain,96
2015-9-3,22,16,9,16,13,9,100,85,33,1027,1025,1023,26,11,10,23,5,,0.00,3,,111
2015-9-4,25,18,10,14,11,4,100,76,16,1027,1025,1023,31,9,3,21,8,,0.00,4,,118
2015-9-5,23,17,10,14,12,8,100,80,28,1027,1025,1023,19,9,5,23,8,,0.00,1,,123
2015-9-6,22,17,12,17,14,11,100,86,47,1027,1026,1024,31,11,10,29,11,,0.00,4,,119
2015-9-7,19,16,12,17,14,10,100,92,53,1027,1026,1024,31,10,4,113,14,,0.00,5,Rain,123
2015-9-8,22,16,9,16,13,9,100,87,35,1027,1025,1023,31,11,10,21,8,,0.00,3,,113
2015-9-9,23,17,10,16,13,9,100,84,30,1027,1025,1023,31,11,10,23,11,,0.00,4,,101
2015-9-10,24,18,13,15,13,8,100,79,24,1027,1025,1023,19,10,10,19,10,,0.00,3,,106
2015-9-11,27,19,11,16,13,1,100,73,10,1027,1024,1022,19,10,10,19,6,,0.00,1,,116
2015-9-12,28,19,11,17,12,6,100,68,15,1023,1021,1019,26,11,10,26,5,39,0.00,1,,277
2015-9-13,24,18,12,17,14,12,100,88,47,1024,1021,1018,31,11,10,27,10,,0.00,5,,92
2015-9-14,21,17,13,15,13,9,100,88,42,1028,1025,1023,19,10,10,23,14,37,0.00,4,,114
2015-9-15,21,17,12,14,13,8,100,82,29,1027,1026,1024,31,11,10,23,14,,0.00,3,,106
2015-9-16,24,17,10,16,13,9,100,80,26,1027,1024,1021,31,11,10,23,10,,0.00,2,,96
2015-9-17,27,18,9,16,12,7,100,73,18,1025,1022,1019,19,10,8,21,5,,0.00,1,,110
2015-9-18,29,20,11,16,14,10,100,74,33,1025,1023,1021,31,10,8,24,2,29,0.00,2,,141
2015-9-19,29,20,12,16,13,3,100,71,10,1028,1025,1023,19,11,10,27,5,34,0.00,1,,106
2015-9-20,23,17,11,17,15,11,100,86,39,1028,1026,1024,31,11,10,23,11,40,0.00,2,,113
2015-9-21,23,19,14,17,16,12,100,87,40,1027,1025,1023,19,10,10,26,16,39,0.00,5,,128
2015-9-22,21,17,13,15,14,9,100,88,39,1027,1025,1023,19,10,10,26,14,,0.00,5,,122
2015-9-23,23,18,13,16,13,6,100,81,21,1026,1025,1022,31,11,10,26,14,42,0.00,5,,113
2015-9-24,23,18,12,14,12,7,100,77,25,1026,1024,1022,19,10,10,23,14,,0.00,3,,115
2015-9-25,22,16,10,16,14,9,100,85,34,1026,1024,1022,19,10,10,24,14,32,0.00,5,,127
2015-9-26,21,17,13,17,14,10,100,89,57,1027,1025,1024,19,10,10,32,16,,0.00,5,,122
2015-9-27,21,17,12,17,14,9,100,88,44,1027,1026,1024,31,11,10,27,16,,0.00,5,,118
2015-9-28,22,17,12,17,14,10,100,86,37,1026,1024,1021,31,11,10,19,11,,0.00,4,,111
2015-9-29,28,19,11,18,16,12,100,80,34,1023,1021,1017,19,10,10,21,6,,1.02,3,Rain,107
2015-9-30,23,18,13,16,14,9,100,80,32,1023,1021,1019,19,10,10,35,13,37,0.00,4,,120
2015-10-1,23,18,13,16,14,9,100,81,27,1023,1021,1019,31,11,10,23,13,,0.00,4,,116
2015-10-2,26,20,14,16,14,10,100,75,28,1024,1022,1020,19,10,10,24,11,27,0.00,3,,102
2015-10-3,27,19,12,16,14,7,100,75,20,1027,1025,1023,19,10,9,19,8,29,0.00,4,,106
2015-10-4,27,21,15,18,16,13,100,85,51,1028,1026,1025,31,11,10,24,10,,0.00,4,,113
2015-10-5,25,19,13,19,16,13,100,89,39,1028,1026,1024,26,10,10,24,10,,0.00,3,,124
2015-10-6,29,19,10,16,13,3,100,72,11,1026,1024,1021,31,11,10,13,5,21,0.00,1,,101
2015-10-7,33,22,12,19,13,2,100,77,8,1024,1023,1020,19,8,1,21,3,35,0.00,2,Fog,105
2015-10-8,30,21,12,17,14,9,100,77,19,1025,1023,1020,19,9,4,23,5,,0.00,2,,102
2015-10-9,31,22,13,19,16,9,100,77,17,1024,1023,1020,31,8,2,23,3,,0.00,3,,90
2015-10-10,30,22,14,19,15,2,100,70,9,1024,1022,1020,26,10,6,24,5,24,0.00,2,,104
2015-10-11,29,20,11,19,14,5,100,73,14,1027,1024,1022,14,9,5,24,5,26,0.00,4,,81
2015-10-12,29,22,16,19,17,10,100,79,22,1027,1025,1022,19,10,6,24,6,32,0.00,4,,95
2015-10-13,27,20,14,18,16,10,100,78,25,1026,1024,1021,31,11,10,24,13,34,0.00,3,,97
2015-10-14,25,20,15,17,15,9,100,80,27,1026,1024,1021,14,10,10,26,13,,0.00,4,,108
2015-10-15,25,20,15,17,15,8,100,80,25,1025,1023,1021,19,10,10,34,14,,0.00,4,,106
2015-10-16,25,20,14,17,14,8,100,76,23,1034,1023,1021,19,10,10,23,13,,0.00,3,,105
2015-10-17,29,20,11,18,13,5,100,72,13,1025,1022,1019,19,10,6,23,6,24,0.00,2,,96
2015-10-18,28,22,16,18,16,9,100,77,22,1025,1023,1020,19,9,4,26,10,,0.51,4,,104
2015-10-19,26,20,15,19,17,13,100,90,40,1025,1023,1020,31,10,4,23,11,,20.07,6,Rain-Thunderstorm,92
2015-10-20,25,19,14,19,16,13,100,90,56,1024,1022,1019,19,10,4,130,10,37,11.94,5,Rain-Thunderstorm,113
2015-10-21,21,18,14,19,16,13,100,90,52,1024,1022,1020,31,11,10,24,14,,0.00,4,,116
2015-10-22,26,20,14,18,16,12,100,86,37,1024,1023,1020,31,11,10,16,10,40,0.00,5,,112
2015-10-23,27,20,13,19,16,11,100,78,25,1024,1022,1019,31,11,10,21,2,,0.00,2,,120
2015-10-24,30,22,13,20,16,8,100,73,17,1023,1021,1018,19,8,2,23,3,,0.00,2,,108
2015-10-25,28,21,14,18,14,4,100,72,13,1024,1022,1020,14,4,1,23,8,,0.00,2,,98
2015-10-26,27,22,17,19,17,13,100,82,34,1025,1023,1021,19,9,4,32,13,,0.00,4,,106
2015-10-27,26,21,17,21,18,14,100,89,40,1024,1022,1020,31,11,6,24,13,,0.25,4,Rain-Thunderstorm,92
2015-10-28,25,21,16,20,17,13,100,88,50,1023,1021,1019,19,10,10,26,14,,0.00,5,Rain,110
2015-10-29,23,19,15,20,17,14,100,92,51,1024,1022,1021,31,11,8,26,16,,0.00,5,,109
2015-10-30,24,19,14,21,18,13,100,90,52,1025,1023,1021,19,10,10,26,11,,0.00,5,,112
2015-10-31,24,20,16,20,18,14,100,89,44,1024,1022,1018,26,11,8,19,11,,7.87,5,Rain,98
2015-11-1,23,19,15,21,17,14,100,96,61,1022,1020,1017,26,9,5,14,5,,3.05,6,Rain-Thunderstorm,162
2015-11-2,27,21,16,24,19,15,100,93,58,1020,1018,1016,19,10,4,23,3,39,4.06,5,Rain-Thunderstorm,40
2015-11-3,29,22,16,24,18,16,100,94,66,1021,1019,1018,19,9,4,24,5,63,7.11,4,Rain-Thunderstorm,319
2015-11-4,27,21,15,22,18,15,100,90,43,1022,1020,1018,31,10,5,21,5,45,0.00,5,Rain-Thunderstorm,264
2015-11-5,18,14,12,18,15,12,100,98,76,1024,1022,1020,19,9,3,23,11,,3.05,6,Rain-Thunderstorm,106
2015-11-6,21,16,10,15,12,7,100,83,35,1024,1023,1020,19,10,10,24,16,35,0.00,4,,130
2015-11-7,22,16,10,14,13,8,100,79,29,1024,1022,1020,19,10,10,23,14,,0.00,1,,120
2015-11-8,22,16,11,16,13,9,100,80,34,1026,1024,1022,19,10,10,26,14,,0.00,3,,122
2015-11-9,21,16,11,18,15,9,100,87,49,1025,1024,1022,31,11,9,21,11,,0.00,3,,127
2015-11-10,26,21,16,19,17,11,100,80,29,1024,1021,1018,19,10,10,14,3,,0.00,4,,94
2015-11-11,29,22,14,20,16,7,100,73,15,1023,1021,1019,31,8,3,19,2,23,0.00,1,,112
2015-11-12,29,21,13,18,13,2,100,65,9,1024,1022,1021,26,7,2,21,5,,0.00,1,,89
2015-11-13,32,22,12,16,13,7,100,62,13,1025,1023,1021,26,5,3,23,5,24,0.00,1,,90
2015-11-14,31,22,13,17,14,8,100,66,16,1023,1021,1019,14,7,3,24,5,,0.00,1,,90
2015-11-15,32,23,14,19,15,11,100,64,20,1022,1020,1018,19,9,8,23,5,,0.00,1,,87
2015-11-16,32,23,14,19,14,6,100,63,11,1022,1021,1019,31,10,6,24,6,,0.00,1,,97
2015-11-17,28,22,16,18,16,9,100,74,21,1024,1022,1019,19,10,8,23,13,35,0.00,2,,113
2015-11-18,29,21,14,19,16,12,100,75,25,1023,1021,1019,31,11,10,19,8,24,0.00,1,,98
2015-11-19,32,23,14,21,17,6,100,74,12,1022,1020,1017,19,10,5,21,5,,0.00,2,,97
2015-11-20,31,23,16,21,18,12,100,76,23,1021,1019,1016,19,10,10,24,10,,0.00,3,Thunderstorm,95
2015-11-21,30,23,17,21,19,17,100,88,35,1021,1019,1015,31,10,3,37,8,53,6.10,5,Rain-Thunderstorm,82
2015-11-22,29,23,16,22,19,16,100,87,43,1020,1019,1016,31,11,10,26,3,45,0.00,4,Thunderstorm,62
2015-11-23,29,24,18,23,21,18,100,91,62,1020,1018,1016,31,10,7,23,3,,0.00,4,Thunderstorm,144
2015-11-24,28,22,17,22,19,16,100,89,41,1019,1016,1014,31,10,4,24,6,,4.06,5,Rain-Thunderstorm,101
2015-11-25,27,22,17,23,19,16,100,93,56,1018,1017,1015,19,10,9,21,10,,0.00,5,Rain,78
2015-11-26,28,23,18,23,20,17,100,90,61,1020,1018,1016,31,10,4,32,6,,5.08,5,Rain-Thunderstorm,9
2015-11-27,27,22,18,24,21,18,100,92,63,1023,1020,1018,19,9,2,19,5,,14.99,5,Rain-Thunderstorm,23
2015-11-28,29,22,16,24,19,16,100,89,35,1024,1022,1020,26,10,2,37,3,69,50.04,4,Rain-Thunderstorm,69
2015-11-29,29,23,18,22,19,16,100,85,34,1025,1023,1021,19,10,10,23,6,,0.00,4,Thunderstorm,126
2015-11-30,28,22,17,22,19,14,100,86,36,1024,1022,1020,31,10,6,29,8,50,1.02,6,Rain-Thunderstorm,134
2015-12-1,28,22,17,23,19,16,100,90,56,1022,1020,1017,31,11,3,35,5,63,2.03,5,Rain-Thunderstorm,134
2015-12-2,27,21,16,22,18,14,100,86,41,1023,1022,1020,19,10,10,21,5,27,0.00,5,,118
2015-12-3,29,23,18,21,19,15,100,83,36,1024,1022,1019,19,10,10,19,10,,0.00,4,Thunderstorm,105
2015-12-4,28,23,17,21,19,14,100,81,31,1023,1021,1018,31,11,10,16,3,26,0.00,4,Thunderstorm,98
2015-12-5,30,23,17,23,19,17,100,88,36,1021,1019,1015,31,10,5,21,2,39,10.92,5,Rain-Thunderstorm,82
2015-12-6,29,22,16,22,19,16,100,88,47,1021,1019,1016,19,10,10,34,5,52,0.00,4,Rain-Thunderstorm,288
2015-12-7,29,22,16,22,17,9,100,74,19,1020,1019,1017,19,10,10,19,2,27,0.00,2,Thunderstorm,276
2015-12-8,30,23,17,24,19,14,100,81,28,1021,1019,1016,31,11,10,21,2,24,0.00,4,Thunderstorm,95
2015-12-9,27,23,19,24,20,18,100,90,50,1023,1020,1018,31,10,4,19,11,,6.10,5,Rain-Thunderstorm,88
2015-12-10,27,23,18,25,21,18,100,93,64,1022,1020,1019,31,11,10,16,5,,1.02,4,Rain-Thunderstorm,100
2015-12-11,31,24,19,24,21,18,100,91,49,1022,1019,1017,19,10,4,26,3,48,0.00,3,Rain-Thunderstorm,279
2015-12-12,30,23,17,23,19,16,100,79,34,1020,1019,1016,31,11,10,13,3,,0.00,3,Thunderstorm,103
2015-12-13,29,23,17,23,21,17,100,85,37,1019,1017,1015,31,11,10,14,3,,0.00,3,,83
2015-12-14,30,24,19,24,21,15,100,82,30,1020,1018,1015,31,11,8,14,2,,0.00,5,Rain-Thunderstorm,147
2015-12-15,31,24,19,22,20,14,100,80,27,1021,1019,1016,19,10,10,16,5,,0.00,3,Thunderstorm,102
2015-12-16,31,25,19,24,21,17,100,89,40,1022,1019,1017,31,10,4,24,2,24,7.11,5,Rain-Thunderstorm,238
2015-12-17,27,22,18,23,20,17,100,93,56,1022,1020,1018,31,10,3,19,6,,1.02,4,Rain-Thunderstorm,245
2015-12-18,28,23,18,21,19,16,100,88,39,1022,1021,1018,31,11,10,21,6,,0.00,4,Rain-Thunderstorm,112
2015-12-19,28,22,16,22,19,15,100,84,37,1023,1021,1018,19,10,8,24,6,,0.51,5,Rain-Thunderstorm,98
2015-12-20,27,22,17,22,19,17,100,90,46,1022,1021,1018,19,10,4,19,3,26,22.10,4,Rain-Thunderstorm,17
2015-12-21,29,23,18,22,19,18,100,96,43,1022,1020,1017,31,9,3,23,3,50,38.10,5,Rain-Thunderstorm,358
2015-12-22,27,22,17,23,20,17,100,93,49,1023,1020,1018,31,10,5,27,3,,0.00,5,Rain-Thunderstorm,345
2015-12-23,28,23,18,25,21,17,100,93,54,1024,1021,1018,31,10,4,21,5,37,9.91,5,Rain-Thunderstorm,311
2015-12-24,29,23,18,24,21,18,100,90,64,1023,1021,1018,19,10,6,34,3,,18.03,5,Rain-Thunderstorm,64
2015-12-25,29,23,17,24,20,17,100,93,45,1023,1021,1018,19,10,1,53,8,134,4.06,5,Rain-Thunderstorm,108
2015-12-26,27,22,18,23,20,17,100,94,64,1022,1019,1017,19,9,4,19,3,,25.91,5,Rain-Thunderstorm,71
2015-12-27,26,22,17,23,20,16,100,94,67,1021,1019,1016,31,10,4,26,3,35,4.06,5,Rain-Thunderstorm,3
2015-12-28,27,22,18,25,21,18,100,95,62,1022,1020,1018,19,9,4,21,2,24,10.92,5,Rain-Thunderstorm,77
2015-12-29,24,21,18,23,20,17,100,97,66,1022,1020,1018,31,11,5,23,6,,0.25,6,Rain,95
2015-12-30,27,22,17,23,19,17,100,92,52,1020,1017,1014,31,11,8,19,8,,4.06,5,Rain-Thunderstorm,134
2015-12-31,28,22,17,25,19,-24,100,90,4,1051,1016,1013,31,9,2,32,5,47,62.99,5,Rain-Thunderstorm,150