GMT,Max TemperatureC,Min TemperatureC,Max Humidity,Min Humidity,Max VisibilityKm,Min VisibilitykM,Precipitationmm,Events
01-01-2015,28,19,90,15,10,8,0.00,
02-01-2015,26,18,64,10,8,6,0.00,
03-01-2015,29,19,75,13,8,6,0.00,
04-01-2015,29,22,69,11,8,6,0.00,1
05-01-2015,26,22,78,31,6,2,0.00,
06-01-2015,25,21,82,28,4,2,0.00,
07-01-2015,24,21,79,44,10,3,0.00,
08-01-2015,23,20,73,45,10,8,0.00,
09-01-2015,23,20,78,41,8,6,0.00,
10-01-2015,23,19,88,50,8,3,0.00,
11-01-2015,27,19,88,34,6,2,0.00,
12-01-2015,23,19,94,53,4,1,0.00,
13-01-2015,23,19,94,38,10,3,0.00,
14-01-2015,23,18,92,65,6,3,0.00,
15-01-2015,23,18,98,65,6,3,0.00,
16-01-2015,24,18,95,56,10,6,0.00,
17-01-2015,24,18,96,50,10,8,0.00,
18-01-2015,23,19,83,44,10,8,0.00,
19-01-2015,23,19,83,51,10,8,0.00,
20-01-2015,23,18,83,57,10,7,0.00,
21-01-2015,22,18,98,50,10,8,0.00,
22-01-2015,22,18,89,43,10,8,0.00,
23-01-2015,22,19,88,43,9,7,0.00,
24-01-2015,22,18,86,53,10,8,0.00,
25-01-2015,22,17,96,53,10,8,0.00,
26-01-2015,24,17,98,30,10,8,0.00,
27-01-2015,30,18,83,9,8,4,0.00,
28-01-2015,24,18,78,27,8,6,0.00,
29-01-2015,22,17,83,33,10,8,0.00,
30-01-2015,22,17,83,25,8,8,0.00,
31-01-2015,22,17,92,50,10,8,0.00,
01-02-2015,22,17,100,69,10,8,0.00,
02-02-2015,21,17,100,77,10,8,0.00,
03-02-2015,22,17,100,73,10,8,0.00,
04-02-2015,21,17,98,68,10,8,0.00,
05-02-2015,22,17,98,73,10,8,0.00,
06-02-2015,22,17,99,69,10,8,0.00,
07-02-2015,27,18,100,34,10,8,0.00,
08-02-2015,23,17,99,61,10,8,0.00,
09-02-2015,23,17,100,73,10,8,0.00,
10-02-2015,22,17,100,72,10,7,0.00,
11-02-2015,22,17,100,69,10,7,0.00,
12-02-2015,23,17,100,50,10,8,0.00,
13-02-2015,23,18,100,61,10,8,0.00,
14-02-2015,24,18,94,36,10,6,0.00,1
15-02-2015,23,18,90,50,10,8,0.00,1
16-02-2015,27,17,83,23,10,8,0.00,
17-02-2015,23,18,91,47,10,8,0.00,
18-02-2015,22,18,90,64,10,8,0.00,
19-02-2015,22,17,88,60,10,6,0.00,
20-02-2015,21,17,88,51,9,6,0.00,
21-02-2015,21,16,88,47,10,8,0.00,
22-02-2015,21,16,88,47,10,8,0.00,
23-02-2015,22,16,88,45,10,8,0.00,
24-02-2015,22,16,89,57,10,8,0.00,
25-02-2015,23,16,94,59,10,7,0.00,
26-02-2015,27,16,94,15,10,2,0.00,
27-02-2015,24,20,58,10,3,2,0.00,
28-02-2015,23,19,73,23,4,2,0.00,
01-03-2015,25,17,83,24,10,5,0.00,
02-03-2015,26,17,87,29,10,8,0.00,
03-03-2015,32,15,83,14,10,6,0.00,
04-03-2015,25,18,76,32,8,8,0.00,
05-03-2015,24,16,96,50,10,8,0.00,
06-03-2015,23,18,100,65,10,6,0.00,
07-03-2015,23,18,99,69,10,1,0.00,
08-03-2015,22,18,99,73,10,7,0.00,
09-03-2015,22,18,88,64,10,8,0.00,
10-03-2015,22,17,94,64,10,8,0.00,
11-03-2015,22,17,94,64,10,8,0.00,
12-03-2015,24,18,94,50,9,4,0.00,
13-03-2015,29,19,81,29,8,4,0.00,
14-03-2015,26,20,81,30,10,8,0.00,
15-03-2015,24,19,83,47,10,8,0.00,
16-03-2015,23,18,94,73,10,8,0.00,
17-03-2015,24,18,100,67,10,8,0.00,
18-03-2015,24,18,96,61,10,6,0.00,
19-03-2015,24,19,94,57,10,8,0.00,
20-03-2015,23,18,94,53,10,8,0.00,
21-03-2015,22,18,92,62,10,8,0.00,
22-03-2015,25,18,88,65,10,8,0.00,
23-03-2015,22,18,83,60,10,8,0.00,
24-03-2015,22,17,82,56,10,8,0.00,
25-03-2015,22,17,95,57,10,8,0.00,
26-03-2015,25,18,83,36,9,9,0.00,
27-03-2015,25,18,83,47,,,0.00,
28-03-2015,26,19,73,44,,,0.00,
29-03-2015,33,19,78,20,8,4,0.00,
30-03-2015,29,19,70,20,8,4,0.00,
31-03-2015,30,19,75,20,6,2,0.00,
01-04-2015,27,19,88,33,8,4,0.00,
02-04-2015,25,19,91,57,10,6,0.00,
03-04-2015,25,18,96,65,10,8,0.00,
04-04-2015,23,19,100,73,8,5,0.00,
05-04-2015,23,18,98,65,10,8,0.00,
06-04-2015,23,18,97,69,10,8,0.00,
07-04-2015,23,18,100,69,10,6,0.00,
08-04-2015,23,19,89,66,10,8,0.00,
09-04-2015,23,18,88,63,10,8,0.00,
10-04-2015,23,19,86,64,10,8,0.00,
11-04-2015,25,19,83,54,10,8,0.00,
12-04-2015,24,19,88,61,10,8,0.00,
13-04-2015,24,18,88,60,10,8,0.00,
14-04-2015,30,19,94,45,10,8,0.00,
15-04-2015,23,19,96,65,10,8,0.00,
16-04-2015,23,19,94,72,10,8,0.00,
17-04-2015,24,19,95,69,10,8,0.00,
18-04-2015,23,18,100,73,10,4,0.00,
19-04-2015,23,19,99,63,10,8,0.00,
20-04-2015,24,19,94,70,10,8,0.00,
21-04-2015,24,19,94,69,10,8,0.00,
22-04-2015,23,19,94,69,10,8,0.00,
23-04-2015,24,19,94,69,10,8,0.00,
24-04-2015,24,19,96,64,10,8,0.00,
25-04-2015,26,18,97,53,10,8,0.00,
26-04-2015,24,19,95,56,10,8,0.00,
27-04-2015,25,18,100,61,10,8,0.00,
28-04-2015,25,19,94,73,10,8,0.00,
29-04-2015,24,21,88,69,10,8,0.00,
30-04-2015,26,21,94,65,10,8,0.00,
01-05-2015,26,20,100,69,10,4,0.00,
02-05-2015,27,21,97,70,10,8,0.00,
03-05-2015,28,22,94,68,10,8,0.00,
04-05-2015,27,21,97,51,10,8,0.00,
05-05-2015,26,21,88,65,10,8,0.00,
06-05-2015,26,20,94,61,10,8,0.00,
07-05-2015,26,21,94,65,10,8,0.00,
08-05-2015,27,21,97,58,10,8,0.00,
09-05-2015,26,22,97,62,10,8,0.00,
10-05-2015,26,21,89,64,10,8,0.00,
11-05-2015,26,21,88,64,10,8,0.00,
12-05-2015,26,21,88,65,10,8,0.00,
13-05-2015,26,22,88,65,10,8,0.00,
14-05-2015,27,22,88,63,10,8,0.00,
15-05-2015,27,23,89,66,10,8,0.00,
16-05-2015,28,22,94,65,10,8,0.00,
17-05-2015,28,22,94,64,10,8,0.00,
18-05-2015,28,22,89,61,10,8,0.00,
19-05-2015,27,22,89,60,10,8,0.00,
20-05-2015,27,23,89,63,10,8,0.00,
21-05-2015,27,23,90,60,10,8,0.00,
22-05-2015,28,23,94,65,10,7,0.00,
23-05-2015,28,23,95,50,10,8,0.00,
24-05-2015,27,23,88,62,10,8,0.00,
25-05-2015,27,23,89,61,10,8,0.00,
26-05-2015,27,23,83,59,10,8,0.00,
27-05-2015,27,23,88,57,10,8,0.00,
28-05-2015,27,22,88,61,10,8,0.00,
29-05-2015,27,22,94,65,10,8,0.00,
30-05-2015,27,22,100,66,10,8,0.00,
31-05-2015,28,22,100,60,10,8,0.00,
01-06-2015,29,23,94,57,10,8,0.00,
02-06-2015,29,24,90,61,10,8,0.00,
03-06-2015,34,23,89,49,10,8,0.00,
04-06-2015,27,23,83,57,10,8,0.00,
05-06-2015,27,23,78,52,10,8,0.00,
06-06-2015,27,22,83,53,10,8,0.00,
07-06-2015,27,22,88,67,10,8,0.00,
08-06-2015,28,24,89,64,10,8,0.00,
09-06-2015,29,24,94,62,10,8,0.00,
10-06-2015,29,25,89,66,10,8,0.00,
11-06-2015,28,24,97,42,10,8,0.00,
12-06-2015,28,24,89,64,10,8,0.00,
13-06-2015,29,25,89,61,10,8,0.00,
14-06-2015,29,25,83,60,10,7,0.00,
15-06-2015,28,25,89,61,10,8,0.00,
16-06-2015,29,24,87,60,10,8,0.00,
17-06-2015,29,25,89,66,10,8,0.00,
18-06-2015,29,24,94,63,10,8,0.00,
19-06-2015,29,24,83,59,10,8,0.00,
20-06-2015,29,24,83,58,10,8,0.00,
21-06-2015,29,25,83,57,10,8,0.00,
22-06-2015,31,25,89,52,10,8,0.00,
23-06-2015,29,25,89,59,10,8,0.00,
24-06-2015,29,25,83,58,10,8,0.00,
25-06-2015,29,25,89,61,10,8,0.00,
26-06-2015,28,24,83,62,10,8,0.00,
27-06-2015,29,24,89,61,10,8,0.00,
28-06-2015,28,24,84,60,10,8,0.00,
29-06-2015,30,24,83,59,10,8,0.00,
30-06-2015,30,25,83,61,10,8,0.00,
01-07-2015,31,26,83,53,10,8,0.00,
02-07-2015,30,26,83,61,10,8,0.00,
03-07-2015,31,25,84,57,10,8,0.00,
04-07-2015,29,25,89,60,10,8,0.00,
05-07-2015,37,26,83,42,10,8,0.00,
06-07-2015,30,26,83,58,10,8,0.00,
07-07-2015,29,25,83,56,10,8,0.00,
08-07-2015,29,26,89,65,10,8,0.00,2
09-07-2015,29,24,100,71,10,5,4.06,1-2
10-07-2015,29,23,94,73,10,8,0.00,
11-07-2015,31,26,89,57,10,8,0.00,2
12-07-2015,31,26,89,64,10,8,0.00,2
13-07-2015,30,26,84,67,10,8,0.00,
14-07-2015,29,26,84,65,10,8,0.00,
15-07-2015,29,23,100,70,10,3,18.03,1-2
16-07-2015,30,26,89,63,10,8,0.00,
17-07-2015,31,27,79,57,10,8,0.00,
18-07-2015,32,27,89,62,10,8,0.00,
19-07-2015,31,27,84,61,10,8,0.00,
20-07-2015,30,26,83,61,10,8,0.00,
21-07-2015,29,25,83,57,10,8,0.00,
22-07-2015,29,25,78,56,10,8,0.00,
23-07-2015,29,25,78,56,10,8,0.00,
24-07-2015,30,26,79,56,10,8,0.00,
25-07-2015,31,24,89,62,10,8,0.25,1-2
26-07-2015,30,24,84,65,10,8,0.00,
27-07-2015,30,26,89,66,10,8,0.00,2
28-07-2015,31,27,84,63,10,8,0.00,1-2
29-07-2015,32,27,84,58,10,6,0.00,1
30-07-2015,30,26,94,69,10,6,28.96,1
31-07-2015,31,25,94,60,10,8,0.51,1-2
01-08-2015,31,26,84,63,10,8,0.00,1
02-08-2015,27,25,94,80,10,5,6.10,1
03-08-2015,30,25,94,53,10,8,0.00,
04-08-2015,31,27,89,51,10,8,0.00,
05-08-2015,31,27,84,57,10,8,0.00,
06-08-2015,31,27,84,64,10,8,0.00,
07-08-2015,30,27,84,59,10,8,0.00,
08-08-2015,30,27,84,60,10,8,0.00,
09-08-2015,28,23,100,76,10,3,59.94,1-2
10-08-2015,29,24,100,73,10,4,0.00,1-2
11-08-2015,31,26,94,67,10,8,0.00,
12-08-2015,31,26,94,68,10,8,0.00,
13-08-2015,30,26,94,69,10,7,7.11,1-2
14-08-2015,31,28,94,74,10,8,0.76,1-2
15-08-2015,31,23,94,70,10,3,13.97,1-2
16-08-2015,32,23,94,67,10,8,0.00,2
17-08-2015,31,24,95,62,10,2,0.76,1-2
18-08-2015,27,24,100,84,10,4,51.05,1
19-08-2015,31,25,100,68,10,8,0.00,2
20-08-2015,30,26,89,74,10,6,0.25,1-2
21-08-2015,31,25,94,74,10,7,0.51,1-2
22-08-2015,31,24,94,66,10,1,0.51,1-2
23-08-2015,31,25,99,75,10,0,57.91,1-2
24-08-2015,31,24,100,70,10,8,0.00,
25-08-2015,31,24,94,72,10,4,4.06,1-2
26-08-2015,31,24,94,68,10,8,0.00,1
27-08-2015,32,25,100,62,10,8,0.00,
28-08-2015,31,24,94,69,10,6,2.03,1
29-08-2015,31,26,84,70,10,8,0.00,1-2
30-08-2015,30,26,91,74,10,7,0.00,1-2
31-08-2015,30,26,89,70,10,8,0.00,1
01-09-2015,28,25,95,76,10,6,6.10,1
02-09-2015,31,26,94,70,10,8,0.00,1
03-09-2015,31,25,94,69,10,8,0.00,2
04-09-2015,31,24,89,63,10,6,0.00,1-2
05-09-2015,31,23,95,71,10,7,0.00,1-2
06-09-2015,31,26,93,73,10,2,7.11,1-2
07-09-2015,30,26,94,70,10,5,10.92,1-2
08-09-2015,30,25,98,74,10,3,12.95,1-2
09-09-2015,38,24,89,42,10,8,0.00,
10-09-2015,30,23,94,73,10,3,8.89,1-2
11-09-2015,32,23,94,66,10,4,0.00,1-2
12-09-2015,31,26,99,62,10,8,0.00,2
13-09-2015,29,24,100,66,10,2,17.02,1-2
14-09-2015,32,26,100,62,10,8,0.00,
15-09-2015,31,26,100,75,10,8,0.00,
16-09-2015,31,23,94,63,10,4,0.00,1-2
17-09-2015,31,24,100,68,10,8,0.00,
18-09-2015,31,28,89,68,10,8,0.00,
19-09-2015,31,27,89,74,10,8,0.00,
20-09-2015,32,27,94,55,10,8,0.00,1
21-09-2015,31,25,100,63,10,2,57.91,1-2
22-09-2015,31,24,97,74,10,1,0.00,3-2
23-09-2015,30,25,100,4,10,3,4.06,1-2
24-09-2015,29,25,100,74,10,3,9.91,1-2
25-09-2015,31,24,96,70,10,7,0.00,
26-09-2015,31,27,94,74,10,8,0.00,
27-09-2015,32,23,97,55,10,3,0.00,1-2
28-09-2015,31,27,94,70,10,7,0.00,1-2
29-09-2015,32,25,95,70,10,3,6.10,1-2
30-09-2015,31,24,94,70,10,8,0.00,1-2
01-10-2015,32,27,94,70,10,9,0.00,1
02-10-2015,32,27,100,70,10,5,0.00,
03-10-2015,33,28,94,71,9,6,0.00,
04-10-2015,31,24,94,79,10,1,0.00,1-2
05-10-2015,33,28,94,63,8,7,0.00,
06-10-2015,31,27,94,75,10,7,0.00,1-2
07-10-2015,31,25,94,66,10,9,0.00,1
08-10-2015,33,26,100,66,10,8,0.00,
09-10-2015,37,28,94,72,10,8,0.00,
10-10-2015,31,28,94,66,10,8,0.00,
11-10-2015,31,27,89,67,10,8,0.00,
12-10-2015,32,27,94,66,10,8,0.00,
13-10-2015,36,26,94,65,10,8,0.00,2
14-10-2015,32,24,100,61,10,4,0.00,1-2
15-10-2015,29,25,94,4,10,0,41.91,1-2
16-10-2015,30,26,95,74,10,6,0.00,1-2
17-10-2015,31,27,89,73,10,8,0.00,
18-10-2015,31,27,89,73,10,8,0.00,
19-10-2015,31,28,84,62,10,8,0.00,
20-10-2015,32,27,84,49,10,8,0.00,
21-10-2015,28,26,94,77,10,8,2.03,1
22-10-2015,32,23,100,50,10,8,0.00,1
23-10-2015,28,24,100,72,10,8,4.06,1-2
24-10-2015,29,25,100,81,10,8,0.00,
25-10-2015,29,26,100,79,10,8,0.00,
26-10-2015,28,23,94,74,10,4,9.91,1-2
27-10-2015,29,24,94,84,10,8,0.00,1
28-10-2015,29,25,100,79,10,8,0.00,
29-10-2015,29,25,100,74,10,8,0.00,
30-10-2015,30,25,100,70,10,8,0.00,
31-10-2015,31,25,95,58,10,8,0.00,
01-11-2015,31,24,100,72,10,4,0.00,
02-11-2015,29,24,95,70,10,6,0.00,
03-11-2015,29,24,94,65,10,8,0.00,
04-11-2015,31,26,96,58,10,8,0.00,
05-11-2015,33,23,100,25,10,8,0.00,
06-11-2015,33,22,100,26,10,8,0.00,
07-11-2015,32,23,100,49,10,8,0.00,
08-11-2015,31,24,94,49,10,8,0.00,
09-11-2015,32,23,100,54,10,8,0.00,
10-11-2015,32,23,94,24,10,8,0.00,
11-11-2015,32,24,94,20,10,7,0.00,
12-11-2015,29,24,100,51,10,8,0.00,
13-11-2015,29,27,74,55,10,8,0.00,
14-11-2015,30,27,79,46,10,6,0.00,
15-11-2015,34,24,95,28,9,6,0.00,
16-11-2015,32,24,89,16,10,8,0.00,
17-11-2015,30,26,69,24,10,8,0.00,
18-11-2015,30,24,83,33,10,8,0.00,
19-11-2015,33,24,74,16,9,8,0.00,
20-11-2015,31,24,74,22,10,8,0.00,
21-11-2015,33,24,86,18,10,8,0.00,
22-11-2015,29,24,78,37,10,8,0.00,
23-11-2015,28,23,89,46,10,8,0.00,
24-11-2015,27,23,84,45,10,8,0.00,
25-11-2015,27,23,87,48,10,8,0.00,
26-11-2015,28,22,93,42,9,8,0.00,
27-11-2015,27,23,87,44,9,6,0.00,
28-11-2015,29,23,85,35,10,8,0.00,
29-11-2015,27,24,79,42,10,8,0.00,
30-11-2015,27,24,74,16,10,8,0.00,
01-12-2015,28,23,79,25,10,6,0.00,
02-12-2015,29,22,84,18,8,3,0.00,
03-12-2015,32,22,90,15,6,3,0.00,
04-12-2015,28,23,83,21,4,3,0.00,
05-12-2015,33,22,83,17,6,3,0.00,
06-12-2015,33,22,88,15,8,6,0.00,
07-12-2015,34,23,93,14,10,6,0.00,
08-12-2015,28,22,96,39,10,8,0.00,
09-12-2015,29,21,92,33,10,8,0.00,
10-12-2015,29,22,92,28,10,7,0.00,
11-12-2015,27,22,86,45,10,8,0.00,
12-12-2015,27,21,97,37,10,8,0.00,
13-12-2015,27,21,100,34,10,8,0.00,
14-12-2015,28,21,90,26,10,8,0.00,
15-12-2015,33,21,88,18,9,6,0.00,
16-12-2015,33,22,86,13,10,8,0.00,
17-12-2015,30,22,67,12,10,7,0.00,
18-12-2015,34,22,75,10,10,6,0.00,
19-12-2015,34,22,81,5,10,6,0.00,
20-12-2015,28,22,68,15,10,8,0.00,
21-12-2015,28,21,80,23,10,8,0.00,
22-12-2015,27,20,93,37,10,8,0.00,
23-12-2015,29,21,94,23,10,8,0.00,
24-12-2015,29,23,83,21,10,8,0.00,
25-12-2015,27,21,94,35,9,6,0.00,
26-12-2015,26,23,83,31,8,6,0.00,
27-12-2015,27,23,83,24,6,6,0.00,
28-12-2015,26,22,83,36,10,6,0.00,
29-12-2015,28,22,78,24,10,8,0.00,
30-12-2015,26,21,88,36,10,8,0.00,
31-12-2015,27,21,94,28,10,8,0.00,