M,D,Max TemperatureC,Min TemperatureC,Max Humidity,Min Humidity,Max VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Events
1,1,31,22,94,62,10,5,14,5,1
1,2,32,23,94,56,10,0,32,8,2
1,3,27,23,95,72,10,1,16,6,2
1,4,31,22,100,65,10,1,13,6,1
1,5,29,23,94,67,10,0,26,8,2
1,6,28,21,96,73,10,1,13,6,2
1,7,28,22,94,71,10,5,13,3,1
1,8,28,22,94,65,10,2,13,6,2
1,9,29,22,94,74,10,1,10,2,2
1,10,29,22,94,63,10,1,13,3,1
1,11,33,23,94,59,27,0,111,3,7
1,12,29,22,96,70,10,3,167,6,2
1,13,32,22,95,60,10,8,10,3,3
1,14,33,24,94,49,10,6,19,6,2
1,15,32,22,96,54,10,8,13,3,4
1,16,32,23,97,60,10,4,26,3,5
1,17,34,22,96,49,10,3,19,3,6
1,18,30,22,94,68,10,5,21,10,2
1,19,33,23,100,49,10,0,19,3,7
1,20,30,23,94,59,10,2,13,5,2
1,21,29,23,95,74,10,1,13,3,2
1,22,31,22,95,70,10,0,35,5,1
1,23,31,22,94,62,10,5,26,3,5
1,24,31,22,97,70,10,1,111,6,2
1,25,32,23,100,58,10,0,21,3,7
1,26,33,23,97,55,10,5,23,5,7
1,27,30,23,95,74,10,6,13,3,8
1,28,31,22,94,62,10,0,13,5,7
1,29,30,23,95,65,10,8,8,2,7
1,30,29,22,94,72,10,5,13,6,2
1,31,32,22,97,62,10,2,19,6,1
2,1,31,22,95,52,10,8,10,5,7
2,2,30,22,94,59,10,1,34,6,5
2,3,32,22,94,54,10,1,27,5,1
2,4,32,21,94,47,10,0,16,5,1
2,5,31,23,94,59,10,8,13,8,3
2,6,32,23,96,62,10,7,10,3,7
2,7,34,22,94,52,10,6,14,6,8
2,8,33,24,95,55,10,3,24,2,1
2,9,32,22,94,60,10,2,19,6,5
2,10,32,23,95,54,10,0,16,2,7
2,11,32,24,99,55,27,2,111,6,9
2,12,32,22,100,59,10,1,19,6,8
2,13,32,23,96,63,10,0,21,5,8
2,14,30,23,96,70,10,7,13,5,8
2,15,32,24,94,53,10,8,10,6,5
2,16,31,23,100,59,10,3,19,6,5
2,17,32,24,94,62,10,8,10,3,5
2,18,34,23,100,54,10,1,14,5,7
2,19,34,23,94,51,10,10,16,6,3
2,20,34,23,100,49,10,5,21,3,3
2,21,35,25,94,38,10,8,16,5,7
2,22,32,23,94,58,10,2,26,8,2
2,23,34,24,94,49,10,10,14,5,3
2,24,29,23,100,72,10,0,13,3,7
2,25,31,23,94,63,10,2,29,8,8
2,26,32,23,94,58,10,3,19,3,7
2,27,32,22,94,56,10,1,24,6,8
2,28,31,23,94,57,10,5,14,6,8
3,1,27,22,94,68,10,3,24,5,1
3,2,34,22,94,47,10,0,16,3,8
3,3,33,23,95,59,10,8,14,5,2
3,4,33,23,95,52,10,6,23,3,3
3,5,27,23,100,86,10,4,18,5,5
3,6,30,22,94,66,10,4,10,3,1
3,7,27,23,96,74,10,0,16,5,2
3,8,32,22,95,59,10,3,16,6,1
3,9,31,23,95,70,10,5,16,5,2
3,10,33,23,95,59,10,2,19,8,5
3,11,30,22,94,74,10,1,13,6,2
3,12,31,23,96,66,10,1,119,5,1
3,13,32,23,96,56,10,5,16,3,2
3,14,31,22,94,55,10,7,16,6,2
3,15,29,23,100,78,10,0,16,6,5
3,16,30,23,100,64,10,8,13,6,2
3,17,32,23,94,55,10,2,11,3,1
3,18,28,24,94,73,10,3,14,8,2
3,19,31,23,100,30,10,0,24,6,5
3,20,30,23,100,69,10,0,21,5,8
3,21,30,22,97,65,10,0,24,6,5
3,22,30,21,94,70,10,0,34,8,8
3,23,32,21,96,56,10,8,13,5,8
3,24,32,22,94,59,10,5,19,5,5
3,25,33,23,96,55,10,1,24,5,8
3,26,31,22,94,58,10,3,11,5,3
3,27,34,23,94,44,10,8,21,3,6
3,28,31,23,95,66,10,1,24,10,8
3,29,32,23,97,59,10,8,14,5,3
3,30,32,23,100,62,10,0,24,8,1
3,31,32,23,100,53,10,5,11,3,7
4,1,35,23,96,52,10,7,16,3,2
4,2,27,22,100,75,10,0,16,10,5
4,3,31,23,94,60,10,8,11,5,3
4,4,33,23,95,55,10,2,16,6,2
4,5,33,23,94,45,10,8,16,8,3
4,6,30,21,100,73,10,1,26,8,2
4,7,32,23,95,55,10,1,14,6,2
4,8,32,23,94,54,10,10,11,5,2
4,9,29,23,94,72,10,3,16,5,2
4,10,32,23,95,58,10,1,29,6,2
4,11,27,23,100,87,10,1,61,10,2
4,12,31,22,95,51,10,8,10,3,7
4,13,32,24,94,62,10,8,19,3,7
4,14,34,23,100,44,10,8,14,5,7
4,15,31,23,100,56,10,4,27,6,2
4,16,33,24,94,61,10,8,16,8,2
4,17,31,23,94,54,10,8,16,8,1
4,18,32,23,94,46,10,8,16,5,2
4,19,34,24,95,55,10,5,14,5,1
4,20,31,23,94,51,10,2,19,6,5
4,21,33,23,94,61,10,1,24,11,5
4,22,29,22,94,66,10,1,124,10,5
4,23,31,22,94,59,10,8,10,3,2
4,24,33,22,99,56,10,6,14,6,7
4,25,32,23,96,56,10,5,24,5,8
4,26,31,23,96,64,10,1,14,3,7
4,27,31,24,96,61,10,3,21,3,2
4,28,31,23,95,66,10,6,14,3,5
4,29,28,23,100,83,10,1,27,6,2
4,30,26,22,97,81,10,8,13,3,1
5,1,32,22,100,62,10,6,11,3,7
5,2,31,23,100,57,10,0,19,3,1
5,3,32,23,95,62,10,5,23,8,2
5,4,30,23,95,71,10,4,23,6,1
5,5,30,24,94,54,10,5,10,3,2
5,6,30,23,95,23,10,4,11,3,7
5,7,29,23,100,66,10,8,10,5,1
5,8,31,22,94,62,10,6,14,3,2
5,9,30,23,94,68,10,3,14,8,1
5,10,31,23,100,58,10,1,21,3,1
5,11,32,23,97,55,10,3,10,5,1
5,12,29,23,100,63,10,1,16,8,2
5,13,28,23,100,70,10,4,11,6,1
5,14,29,22,100,70,10,0,27,6,1
5,15,29,21,100,64,10,5,13,5,7
5,16,31,23,95,70,10,5,10,3,2
5,17,29,22,95,62,10,8,19,8,2
5,18,30,22,100,57,10,8,13,3,7
5,19,34,22,100,51,10,0,11,3,7
5,20,31,22,94,65,10,3,14,6,2
5,21,32,23,95,55,10,0,14,5,7
5,22,34,22,100,53,10,8,10,3,7
5,23,32,23,94,57,10,5,19,6,5
5,24,32,23,100,55,10,8,14,3,7
5,25,34,23,94,53,10,5,11,3,7
5,26,32,24,95,62,10,2,21,8,1
5,27,31,23,100,57,10,1,16,6,1
5,28,32,23,100,59,10,8,11,5,1
5,29,28,22,94,72,10,3,10,6,1
5,30,32,23,94,54,10,1,23,3,8
5,31,33,23,94,53,10,8,10,3,8
6,1,32,23,95,60,10,8,14,6,3
6,2,32,23,94,56,10,0,10,3,7
6,3,31,23,100,61,10,3,13,5,5
6,4,32,23,95,59,10,8,14,5,3
6,5,32,24,96,64,10,5,14,5,7
6,6,28,23,94,72,10,2,11,5,2
6,7,33,21,100,52,10,3,23,5,8
6,8,32,23,100,61,10,7,10,3,1
6,9,30,23,97,66,10,6,19,6,2
6,10,32,22,95,56,10,8,13,5,7
6,11,33,23,94,44,10,0,13,6,1
6,12,32,22,100,56,10,8,23,8,5
6,13,31,22,100,65,10,1,19,5,8
6,14,32,22,97,57,10,0,11,2,7
6,15,34,22,95,49,10,3,19,5,1
6,16,32,23,100,55,10,0,16,5,1
6,17,32,22,100,52,10,0,10,3,7
6,18,32,22,94,54,10,7,10,5,1
6,19,31,23,97,51,10,8,24,6,2
6,20,26,21,94,65,10,7,16,8,1
6,21,30,22,94,56,10,4,14,5,3
6,22,32,22,94,47,10,8,19,5,1
6,23,29,22,94,67,10,2,13,6,1
6,24,28,22,95,73,10,2,13,5,2
6,25,32,22,97,58,10,0,23,3,1
6,26,32,21,100,46,10,0,13,3,7
6,27,33,21,95,49,10,3,13,5,7
6,28,28,20,100,66,10,1,13,5,1
6,29,31,21,95,53,10,8,10,5,7
6,30,33,22,94,51,10,6,13,6,7
7,1,31,23,95,59,10,5,11,5,2
7,2,32,23,96,50,10,6,14,5,2
7,3,31,22,95,60,10,3,16,6,1
7,4,29,23,100,73,10,8,14,5,1
7,5,26,21,100,77,10,0,21,6,1
7,6,30,21,96,64,10,8,13,3,7
7,7,31,22,97,58,10,8,10,3,3
7,8,32,22,100,54,10,8,14,5,7
7,9,31,23,94,61,10,3,23,5,2
7,10,33,22,94,62,10,1,14,6,7
7,11,29,22,96,63,10,5,14,5,2
7,12,32,22,100,50,10,0,13,3,7
7,13,33,22,96,47,10,8,11,8,7
7,14,33,22,94,44,10,6,14,5,7
7,15,32,21,94,46,10,8,14,6,1
7,16,32,22,100,50,10,7,11,3,7
7,17,32,21,100,55,10,0,11,3,7
7,18,32,22,100,54,10,8,11,5,1
7,19,32,21,100,52,10,3,11,3,7
7,20,33,22,94,54,10,5,19,6,1
7,21,31,22,97,59,10,0,19,5,1
7,22,29,22,100,62,10,3,16,5,8
7,23,29,22,100,64,10,0,29,6,8
7,24,30,22,94,63,10,3,19,5,8
7,25,31,21,94,56,10,0,21,3,1
7,26,30,22,100,58,10,0,21,3,1
7,27,31,22,100,64,10,1,24,5,1
7,28,29,22,100,76,10,0,16,5,1
7,29,28,22,96,74,10,1,16,5,2
7,30,33,21,100,54,10,0,11,5,7
7,31,31,22,95,56,10,2,29,6,2
8,1,30,23,100,70,10,0,16,6,8
8,2,31,23,100,57,10,4,14,6,8
8,3,32,21,96,51,10,1,11,3,7
8,4,31,23,97,65,10,5,8,2,7
8,5,31,23,96,60,10,8,11,6,4
8,6,33,22,100,49,10,1,13,5,7
8,7,34,21,100,48,10,8,19,6,7
8,8,32,22,100,58,10,1,21,6,5
8,9,34,23,94,50,10,0,29,6,8
8,10,34,23,97,49,10,2,23,5,1
8,11,31,22,95,70,10,1,29,5,2
8,12,33,22,100,51,10,0,13,6,7
8,13,32,22,94,51,10,5,24,6,1
8,14,33,22,94,46,10,5,11,6,2
8,15,30,23,94,63,10,8,11,5,7
8,16,33,21,96,50,10,5,13,3,2
8,17,35,23,100,44,10,8,40,6,7
8,18,32,22,100,62,10,0,19,6,8
8,19,32,21,100,58,10,0,6,2,7
8,20,33,22,100,53,10,0,10,3,7
8,21,34,22,100,39,10,0,10,2,7
8,22,34,23,95,43,10,5,23,3,7
8,23,34,22,94,51,10,6,19,5,5
8,24,34,21,95,44,10,6,16,5,8
8,25,33,22,94,51,10,10,11,5,3
8,26,36,22,95,42,10,8,19,5,4
8,27,34,23,94,50,10,3,21,5,2
8,28,30,23,100,58,10,1,24,6,1
8,29,32,22,95,60,10,8,13,6,3
8,30,33,22,100,44,10,0,23,6,1
8,31,29,22,96,65,10,7,14,6,1
9,1,29,21,100,67,10,0,24,5,1
9,2,32,22,100,55,10,1,21,3,8
9,3,34,22,100,47,10,5,11,3,7
9,4,34,23,100,55,10,8,19,3,8
9,5,33,22,100,50,10,0,24,6,8
9,6,33,23,100,53,10,8,35,6,1
9,7,34,23,94,57,10,3,14,3,2
9,8,35,22,96,46,10,8,21,5,7
9,9,36,22,100,44,10,2,13,3,7
9,10,34,23,96,53,10,5,10,2,3
9,11,36,23,94,39,10,8,14,5,7
9,12,35,23,100,31,10,8,14,3,7
9,13,36,22,100,37,10,8,13,3,7
9,14,36,22,100,36,10,7,11,5,3
9,15,34,23,92,46,10,8,13,8,3
9,16,36,22,94,39,10,3,26,6,1
9,17,36,22,95,39,10,3,14,3,8
9,18,36,22,94,37,10,1,39,8,5
9,19,32,23,94,54,10,8,14,6,6
9,20,31,22,94,51,10,7,16,6,5
9,21,35,22,100,46,10,3,11,3,7
9,22,36,22,100,37,10,1,116,6,5
9,23,35,24,94,52,10,8,13,5,7
9,24,36,22,100,37,10,4,19,5,7
9,25,34,24,94,55,10,8,14,8,3
9,26,34,23,100,51,10,0,26,3,8
9,27,33,23,94,52,10,2,24,8,5
9,28,35,22,94,38,10,8,11,6,7
9,29,35,24,94,47,10,5,32,6,8
9,30,34,22,94,45,10,8,10,5,1
10,1,31,22,96,56,10,10,10,6,10
10,2,33,23,96,55,10,8,10,5,5
10,3,34,23,94,49,10,8,29,6,2
10,4,31,23,94,57,10,6,14,8,5
10,5,33,23,94,61,10,10,14,5,3
10,6,35,22,94,44,10,8,11,3,7
10,7,36,23,94,41,10,10,13,6,3
10,8,34,23,94,45,10,7,26,6,2
10,9,34,22,94,49,10,7,19,5,2
10,10,32,23,94,61,10,1,21,6,2
10,11,31,23,100,60,10,8,16,6,7
10,12,29,23,94,63,10,10,13,6,3
10,13,31,23,100,62,10,1,190,11,2
10,14,31,22,94,61,10,3,13,5,5
10,15,32,23,96,56,10,4,34,6,5
10,16,31,23,96,61,10,6,11,6,2
10,17,32,23,96,60,10,10,11,3,3
10,18,29,22,96,70,10,5,24,8,5
10,19,32,22,94,62,10,8,13,5,3
10,20,34,21,100,45,10,6,11,2,7
10,21,36,24,94,47,10,5,10,3,7
10,22,36,22,95,40,10,8,11,3,7
10,23,36,23,94,41,10,8,26,6,2
10,24,36,23,94,40,10,1,13,3,2
10,25,33,23,95,59,10,4,21,8,8
10,26,33,24,100,50,10,7,14,8,5
10,27,34,24,94,52,10,8,13,3,6
10,28,33,21,100,55,10,8,23,6,7
10,29,34,21,100,43,10,0,11,3,7
10,30,36,23,94,47,10,7,14,5,4
10,31,34,23,94,44,10,2,21,8,8
11,1,32,24,94,57,10,5,14,6,8
11,2,33,23,94,52,10,7,24,8,2
11,3,33,22,94,52,10,8,16,5,3
11,4,34,23,100,57,10,0,11,5,8
11,5,31,24,100,59,10,8,16,8,5
11,6,32,23,95,55,10,8,13,3,2
11,7,33,24,94,54,10,2,16,8,8
11,8,27,22,96,75,10,1,11,5,2
11,9,33,22,100,55,10,0,14,5,1
11,10,34,23,95,51,10,1,35,8,8
11,11,33,23,94,51,10,8,13,5,3
11,12,32,23,100,61,10,2,16,3,5
11,13,33,23,97,53,10,5,16,5,7
11,14,34,24,95,51,10,8,14,3,7
11,15,28,23,95,69,10,5,23,6,5
11,16,33,24,94,52,10,5,16,5,5
11,17,32,23,94,57,10,6,16,8,2
11,18,33,22,94,54,10,10,16,5,3
11,19,36,23,95,47,10,8,11,3,7
11,20,36,24,95,42,10,8,13,5,7
11,21,35,24,94,53,10,2,19,5,5
11,22,31,23,95,65,10,1,14,10,5
11,23,32,23,95,62,10,8,16,6,2
11,24,33,23,94,45,10,10,10,5,3
11,25,34,24,94,59,10,8,19,5,2
11,26,34,23,94,51,10,10,16,6,3
11,27,32,24,95,58,10,5,19,6,2
11,28,36,24,96,44,10,0,13,2,7
11,29,32,24,100,62,10,2,23,8,5
11,30,29,24,100,70,10,1,16,5,2
12,1,26,24,100,83,10,3,14,8,2
12,2,31,22,97,66,10,8,11,6,7
12,3,34,21,94,46,10,1,10,2,3
12,4,34,23,95,44,10,5,16,6,2
12,5,34,24,94,52,10,1,23,6,2
12,6,28,24,95,77,10,1,19,5,2
12,7,28,23,100,72,10,2,21,8,2
12,8,33,22,100,58,10,2,13,5,2
12,9,29,23,95,75,10,8,10,5,2
12,10,34,23,97,59,10,0,11,3,7
12,11,34,24,94,41,10,7,13,3,1
12,12,33,22,100,53,10,8,21,5,7
12,13,33,23,94,54,10,10,11,5,3
12,14,34,23,94,55,10,7,27,6,2
12,15,32,23,95,66,10,8,11,6,7
12,16,33,22,95,53,10,1,11,2,7
12,17,30,23,94,67,10,0,21,5,1
12,18,29,22,100,65,10,0,19,3,1
12,19,32,22,95,53,10,1,35,8,1
12,20,31,21,95,66,10,8,11,5,3
12,21,28,23,96,75,10,1,19,6,2
12,22,30,23,100,67,10,7,19,3,1
12,23,28,22,94,75,10,1,13,5,2
12,24,31,23,95,57,10,6,13,6,2
12,25,28,22,97,75,10,1,24,6,1
12,26,31,23,97,59,10,5,14,3,7
12,27,28,23,94,72,10,8,10,3,3
12,28,31,22,94,64,10,8,14,6,3
12,29,32,23,100,59,10,3,11,5,1
12,30,34,23,96,59,10,5,19,5,1
12,31,32,24,96,56,10,5,11,3,2