D,M,A,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,CloudCover,Events,WindDirDegrees,PromATmax,promATmin,promhumes,promtmeanmes,maxtmes,mintmes,
1,1,2015,22,12,3,10,7,3,100,73,36,19,5,,3,121,159,17.7,5.8,65.6,17.3,26.0,8.3,
2,1,2015,26,16,6,12,9,6,100,63,26,19,10,,5,,183,,,66.4,16.3,25.1,7.4,
3,1,2015,27,18,8,13,10,7,95,60,22,19,6,,,,168,,,73.5,15,23.8,5.9,
4,1,2015,31,20,9,14,12,9,94,60,23,21,6,,,,199,,,90.6,12.2,17.5,6.9,
5,1,2015,24,17,9,15,12,6,100,69,42,24,6,,4,,236,,,92,10.3,14.4,6.3,
6,1,2015,22,13,5,9,6,4,87,53,26,21,11,,4,,168,,,91.9,8,11.5,4.4,
7,1,2015,26,18,10,9,7,5,76,51,19,23,13,,,,175,,,90.7,7.7,11.0,4.6,
8,1,2015,26,15,4,12,8,5,100,61,26,26,6,,,,207,,,82.7,8.4,12.4,5.4,
9,1,2015,26,19,12,13,12,10,94,67,33,19,8,,6,,202,,,82.7,8.4,14.5,5.5,
10,1,2015,23,17,9,12,9,8,94,64,30,19,10,,6,,173,,,76.4,10.6,16.7,4.5,
11,1,2015,25,16,6,10,8,6,72,53,23,26,10,,,,224,,,77,12.6,18.8,6.4,
12,1,2015,24,16,7,11,9,7,100,64,31,23,10,,4,,194,,,76.2,14,21.2,6.9,
13,1,2015,21,14,7,14,11,7,100,78,53,21,5,,6,121,268,,,,,,,
14,1,2015,27,19,11,12,10,7,96,62,20,19,8,,5,,168,,,,,,,
15,1,2015,29,18,6,13,8,5,100,56,21,19,8,,,,148,,,,,,,
16,1,2015,28,18,8,17,13,8,94,66,34,16,5,39,3,,166,,,,,,,
17,1,2015,30,21,13,16,15,13,97,68,33,21,6,,5,,184,,,,,,,
18,1,2015,26,18,11,16,14,11,98,73,47,24,6,39,2,,217,,,,,,,
19,1,2015,30,20,9,15,13,10,100,69,25,19,3,,6,121,182,,,,,,,
20,1,2015,33,21,9,14,12,8,100,59,16,21,5,,,,207,,,,,,,
21,1,2015,26,18,10,16,13,10,100,77,43,24,5,,7,,300,,,,,,,
22,1,2015,21,18,13,13,12,10,94,71,43,14,8,,7,,281,,,,,,,
23,1,2015,26,17,7,16,12,8,100,76,41,16,3,,4,121,234,,,,,,,
24,1,2015,27,19,12,15,13,8,100,69,30,14,5,,6,,266,,,,,,,
25,1,2015,28,19,10,17,13,10,100,74,42,19,5,,3,,274,,,,,,,
26,1,2015,24,19,14,16,13,9,94,71,35,21,6,,7,,254,,,,,,,
27,1,2015,22,16,8,14,9,6,94,66,26,21,8,,3,122,240,,,,,,,
28,1,2015,26,16,5,9,7,4,100,55,20,19,11,,2,,174,,,,,,,
29,1,2015,26,16,5,12,8,5,93,61,28,19,6,,,,261,,,,,,,
30,1,2015,26,16,5,12,9,5,100,73,29,19,5,,5,123,219,,,,,,,
31,1,2015,27,17,6,19,12,7,100,73,39,24,3,,3,121,227,,,,,,,
1,2,2015,29,18,7,13,11,8,100,60,26,21,6,,1,,184,,,,,,,
2,2,2015,26,18,11,13,9,6,77,55,28,19,8,,8,,227,,,,,,,
3,2,2015,22,14,7,16,11,6,100,81,56,21,5,,4,122,246,,,,,,,
4,2,2015,23,16,8,14,12,10,100,81,48,13,5,,8,123,241,,,,,,,
5,2,2015,27,17,6,15,11,7,100,75,29,27,5,,4,121,236,,,,,,,
6,2,2015,27,20,14,17,15,13,94,74,46,19,5,,5,121,249,,,,,,,
7,2,2015,22,15,8,12,11,8,100,70,41,16,8,,4,,252,,,,,,,
8,2,2015,21,13,5,13,9,5,100,81,46,21,5,,5,121,282,,,,,,,
9,2,2015,19,14,8,12,8,4,100,69,29,19,8,,5,122,237,,,,,,,
10,2,2015,23,12,2,11,7,2,100,69,33,26,5,,3,121,171,,,,,,,
11,2,2015,22,13,4,11,10,6,100,72,41,21,6,,5,121,224,,,,,,,
12,2,2015,24,17,11,13,8,5,94,59,21,26,10,,5,,174,,,,,,,
13,2,2015,26,18,9,8,7,5,72,49,20,21,14,,1,,184,,,,,,,
14,2,2015,27,17,6,12,9,5,87,55,28,24,10,,,,185,,,,,,,
15,2,2015,27,17,7,15,12,7,100,66,34,16,8,,,,203,,,,,,,
16,2,2015,27,17,6,11,9,7,100,61,21,21,6,,,,177,,,,,,,
17,2,2015,23,15,7,8,6,3,82,51,24,19,13,,,,194,,,,,,,
18,2,2015,21,13,6,6,4,1,81,51,18,26,14,,4,,176,,,,,,,
19,2,2015,23,16,8,9,7,4,76,57,30,26,13,,3,,176,,,,,,,
20,2,2015,26,16,7,12,10,7,100,69,32,13,6,,7,,214,,,,,,,
21,2,2015,26,16,6,12,10,7,100,73,27,14,3,,,121,249,,,,,,,
22,2,2015,26,16,4,20,10,5,100,76,30,14,3,,7,121,253,,,,,,,
23,2,2015,28,17,5,12,9,2,100,66,20,19,3,,2,121,218,,,,,,,
24,2,2015,26,16,6,19,11,6,94,67,33,21,5,,3,,175,,,,,,,
25,2,2015,33,21,9,13,9,3,87,51,15,19,8,,6,,152,,,,,,,
26,2,2015,32,19,7,12,9,7,93,64,16,16,3,,,,34,,,,,,,
27,2,2015,27,17,8,14,12,8,100,75,35,21,5,,1,,240,,,,,,,
28,2,2015,20,17,14,13,13,12,94,82,58,23,3,,8,,328,,,,,,,
1,3,2015,22,19,13,13,13,11,88,72,44,19,5,,7,,311,,,,,,,
2,3,2015,19,14,9,15,13,10,100,90,63,16,3,,7,123,209,,,,,,,
3,3,2015,22,16,9,13,11,8,100,83,34,19,3,,6,121,206,,,,,,,
4,3,2015,25,13,2,10,7,3,100,72,31,19,3,,0,121,241,,,,,,,
5,3,2015,25,14,3,13,9,4,100,73,32,19,5,,1,,218,,,,,,,
6,3,2015,25,18,11,15,13,10,100,79,47,21,5,,6,,312,,,,,,,
7,3,2015,22,19,14,19,16,13,100,91,78,27,14,,8,122,357,,,,,,,
8,3,2015,23,17,9,15,10,4,100,73,26,24,6,,5,121,178,,,,,,,
9,3,2015,28,16,3,12,8,3,100,63,23,16,6,,,121,213,,,,,,,
10,3,2015,28,16,4,18,10,4,100,72,37,23,5,,2,121,235,,,,,,,
11,3,2015,26,17,7,15,11,6,100,66,26,14,6,,1,,181,,,,,,,
12,3,2015,24,14,4,19,8,4,100,65,25,21,5,,2,,261,,,,,,,
13,3,2015,21,14,7,13,8,5,100,73,29,19,5,,4,121,223,,,,,,,
14,3,2015,22,12,1,8,6,2,100,69,29,19,6,,,,230,,,,,,,
15,3,2015,23,13,3,11,8,4,100,74,32,14,3,,3,121,253,,,,,,,
16,3,2015,23,16,8,17,13,7,100,85,54,37,10,,6,122,339,,,,,,,
17,3,2015,23,17,10,16,11,9,100,74,34,14,5,,7,,185,,,,,,,
18,3,2015,24,13,3,9,7,3,100,70,27,14,3,,,121,234,,,,,,,
19,3,2015,23,13,4,13,8,4,100,76,35,16,5,,8,122,233,,,,,,,
20,3,2015,21,14,7,13,8,5,100,69,27,19,6,,5,121,187,,,,,,,
21,3,2015,24,13,2,10,7,2,100,74,32,10,3,,5,,181,,,,,,,
22,3,2015,25,13,2,10,7,2,100,74,23,13,2,,1,121,244,,,,,,,
23,3,2015,28,16,3,13,8,3,100,71,28,11,2,,1,121,260,,,,,,,
24,3,2015,31,18,6,11,8,6,100,43,13,19,6,,0,,141,,,,,,,
25,3,2015,29,17,5,10,8,6,100,59,15,19,5,34,6,,142,,,,,,,
26,3,2015,27,16,5,12,9,5,100,71,26,14,3,,,,252,,,,,,,
27,3,2015,26,18,9,14,12,9,100,81,35,16,3,,6,121,222,,,,,,,
28,3,2015,22,14,7,22,11,7,100,82,42,21,5,,6,121,300,,,,,,,
29,3,2015,20,14,9,13,11,7,100,78,40,21,8,,4,122,221,,,,,,,
30,3,2015,19,11,2,9,6,2,100,73,31,21,6,,3,121,219,,,,,,,
31,3,2015,19,11,3,9,7,4,100,82,41,19,3,,5,121,28,,,,,,,
1,4,2015,16,11,6,15,12,5,100,93,67,27,10,,7,122,19,,,,,,,
2,4,2015,17,14,12,17,14,11,100,94,72,23,8,,7,122,330,,,,,,,
3,4,2015,17,13,8,14,12,9,100,91,64,16,5,,7,123,360,,,,,,,
4,4,2015,17,15,13,16,14,13,100,97,94,13,8,,8,122,75,,,,,,,
5,4,2015,20,16,11,16,14,11,100,91,68,8,3,,8,123,118,,,,,,,
6,4,2015,21,16,11,17,13,11,100,92,64,10,2,,5,121,315,,,,,,,
7,4,2015,19,16,12,17,14,12,100,93,80,16,8,,7,123,3,,,,,,,
8,4,2015,20,16,11,16,14,11,100,91,69,24,5,,6,123,308,,,,,,,
9,4,2015,19,14,9,14,12,9,100,93,55,11,3,,7,121,337,,,,,,,
10,4,2015,22,14,7,14,11,8,100,88,40,8,3,,7,121,139,,,,,,,
11,4,2015,22,13,4,15,10,5,100,89,47,8,3,,6,123,272,,,,,,,
12,4,2015,21,14,8,16,12,9,100,91,62,26,6,,6,123,337,,,,,,,
13,4,2015,18,13,9,13,11,8,100,89,46,21,5,,5,123,277,,,,,,,
14,4,2015,16,12,8,11,9,7,100,84,49,10,3,,6,121,222,,,,,,,
15,4,2015,14,9,5,11,8,6,100,93,72,8,2,,6,121,39,,,,,,,
16,4,2015,16,11,6,11,8,6,100,89,55,16,6,,6,123,316,,,,,,,
17,4,2015,17,10,4,11,8,4,100,85,48,16,5,,7,121,4,,,,,,,
18,4,2015,13,12,10,12,10,8,100,86,66,27,16,,7,122,22,,,,,,,
19,4,2015,17,11,5,11,9,6,100,86,55,16,5,,5,123,302,,,,,,,
20,4,2015,14,9,3,10,8,3,100,89,63,14,5,,6,121,197,,,,,,,
21,4,2015,15,8,0,9,5,0,100,86,56,11,3,,5,121,144,,,,,,,
22,4,2015,17,8,-1,10,5,-1,100,87,55,10,2,,3,121,1,,,,,,,
23,4,2015,14,8,2,10,6,2,100,92,64,10,2,,7,121,19,,,,,,,
24,4,2015,16,10,3,11,8,4,100,95,65,8,2,,6,121,55,,,,,,,
25,4,2015,20,13,6,14,10,7,100,92,58,10,2,,7,121,177,,,,,,,
26,4,2015,15,12,9,12,11,9,100,89,69,8,5,,7,,258,,,,,,,
27,4,2015,18,12,7,13,11,4,100,92,64,6,3,,7,123,83,,,,,,,
28,4,2015,22,14,7,14,11,7,100,90,52,6,2,,2,121,280,,,,,,,
29,4,2015,15,12,8,12,12,8,100,95,73,8,3,,7,123,235,,,,,,,
30,4,2015,16,10,4,11,9,6,100,95,60,8,3,,6,121,211,,,,,,,
1,5,2015,15,9,4,12,9,3,100,88,60,24,6,,6,123,231,,,,,,,
2,5,2015,13,8,2,7,4,2,100,86,43,11,3,,3,123,143,,,,,,,
3,5,2015,11,7,3,9,7,4,100,97,86,11,3,,8,123,62,,,,,,,
4,5,2015,14,9,5,11,9,5,100,93,69,8,3,,7,123,72,,,,,,,
5,5,2015,14,9,4,10,7,4,100,95,69,6,2,,8,121,347,,,,,,,
6,5,2015,16,10,4,10,7,4,100,91,57,8,2,,7,121,210,,,,,,,
7,5,2015,17,10,3,11,7,5,100,93,56,8,3,,4,121,169,,,,,,,
8,5,2015,15,10,5,12,10,6,100,89,59,29,8,52,7,123,21,,,,,,,
9,5,2015,16,11,7,12,11,7,100,88,66,26,14,,6,123,339,,,,,,,
10,5,2015,14,10,6,13,10,6,100,98,88,8,3,,7,123,210,,,,,,,
11,5,2015,17,12,7,14,12,6,100,98,80,6,3,,6,123,359,,,,,,,
12,5,2015,17,12,7,14,12,8,100,88,66,21,8,,6,123,351,,,,,,,
13,5,2015,16,12,8,13,11,8,100,95,73,14,5,,5,123,9,,,,,,,
14,5,2015,14,12,9,13,12,10,100,97,88,14,6,,8,123,29,,,,,,,
15,5,2015,17,15,13,15,14,13,100,94,82,37,16,50,8,122,359,,,,,,,
16,5,2015,18,16,14,15,14,13,100,90,78,42,23,61,8,122,353,,,,,,,
17,5,2015,12,11,11,13,12,11,100,97,91,11,6,,7,122,26,,,,,,,
18,5,2015,18,14,11,16,13,11,100,96,87,11,3,,7,122,82,,,,,,,
19,5,2015,17,16,13,14,12,11,94,81,65,24,11,,7,,33,,,,,,,
20,5,2015,15,13,11,13,12,10,100,86,64,26,18,,7,122,12,,,,,,,
21,5,2015,16,12,8,12,10,8,100,86,64,23,10,,6,122,352,,,,,,,
22,5,2015,14,10,7,11,9,7,100,90,70,23,11,24,6,122,329,,,,,,,
23,5,2015,12,7,2,9,5,1,100,83,44,16,6,,5,123,190,,,,,,,
24,5,2015,11,6,1,7,4,2,100,97,66,6,2,,6,121,40,,,,,,,
25,5,2015,12,7,1,7,4,1,100,94,63,11,2,,5,121,165,,,,,,,
26,5,2015,9,4,-1,7,4,0,100,93,76,10,2,,8,121,61,,,,,,,
27,5,2015,12,8,3,7,4,3,100,95,60,6,2,,6,121,23,,,,,,,
28,5,2015,10,7,3,9,7,2,100,94,37,27,8,,7,123,45,,,,,,,
29,5,2015,12,9,6,11,9,6,100,96,83,19,8,,7,123,31,,,,,,,
30,5,2015,15,12,9,12,11,9,100,89,74,26,16,,7,122,336,,,,,,,
31,5,2015,16,12,9,14,11,9,100,94,77,24,10,,7,122,32,,,,,,,
1,6,2015,16,14,12,15,14,13,100,92,85,45,23,82,8,122,327,,,,,,,
2,6,2015,16,14,13,15,13,9,94,83,67,52,37,82,8,122,311,,,,,,,
3,6,2015,16,12,8,12,9,8,100,85,61,24,13,,6,122,1,,,,,,,
4,6,2015,17,12,7,15,12,8,100,94,83,50,14,77,8,122,33,,,,,,,
5,6,2015,16,13,11,15,12,8,94,79,67,40,26,60,7,122,293,,,,,,,
6,6,2015,14,11,8,11,9,7,94,83,64,26,18,52,6,122-Hail,295,,,,,,,
7,6,2015,10,8,6,10,8,6,100,98,93,14,5,,7,122,59,,,,,,,
8,6,2015,14,11,8,10,8,8,100,90,67,23,5,,6,122,334,,,,,,,
9,6,2015,12,7,2,8,6,3,100,93,67,16,6,,5,123,350,,,,,,,
10,6,2015,11,8,4,7,6,4,100,92,68,19,5,,6,123,355,,,,,,,
11,6,2015,11,8,6,9,8,6,100,97,81,8,3,,7,123,7,,,,,,,
12,6,2015,11,8,4,8,6,5,100,94,61,10,3,,7,123,58,,,,,,,
13,6,2015,11,8,6,8,7,5,100,88,76,14,6,,7,122,290,,,,,,,
14,6,2015,11,6,2,8,6,2,100,89,72,13,6,,5,123,286,,,,,,,
15,6,2015,11,9,7,11,9,6,100,92,71,16,11,,8,122,354,,,,,,,
16,6,2015,13,9,5,10,8,5,100,93,75,16,8,,6,122,320,,,,,,,
17,6,2015,9,3,-2,4,1,-1,100,90,52,11,5,,1,121,170,,,,,,,
18,6,2015,4,1,-3,3,1,-2,100,97,87,6,2,,7,121,208,,,,,,,
19,6,2015,7,4,2,7,4,2,100,98,93,13,3,,8,123,108,,,,,,,
20,6,2015,11,8,5,9,7,5,100,98,88,8,3,,7,123,247,,,,,,,
21,6,2015,11,7,1,9,6,1,100,91,54,21,3,,6,121,210,,,,,,,
22,6,2015,9,3,-3,5,1,-3,100,91,72,11,5,,2,121,356,,,,,,,
23,6,2015,2,0,-3,2,0,-2,100,100,93,10,3,,5,121,116,,,,,,,
24,6,2015,13,6,-1,11,3,0,100,96,75,14,3,,5,123,29,,,,,,,
25,6,2015,14,13,12,13,12,11,100,90,78,16,13,,7,122,26,,,,,,,
26,6,2015,16,13,10,14,12,10,100,94,73,14,6,,8,122,246,,,,,,,
27,6,2015,11,6,1,10,5,0,100,84,60,19,8,,4,,196,,,,,,,
28,6,2015,8,3,-2,5,2,-1,100,93,69,8,2,,6,121,158,,,,,,,
29,6,2015,9,5,1,9,6,1,100,99,93,6,0,,8,123,240,,,,,,,
30,6,2015,11,9,6,10,8,7,100,95,82,8,3,,8,121,257,,,,,,,
