D,M,A,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,CloudCover,Events,WindDirDegrees,PromATmax,promATmin,promhumes,promtmeanmes,maxtmes,mintmes,
1,7,2015,11,6,2,8,5,2,100,92,71,10,2,,6,123,42,,,,,,,
2,7,2015,13,8,3,10,6,3,100,94,56,10,5,,5,123,62,,,,,,,
3,7,2015,7,4,2,5,4,3,100,97,87,8,3,,8,121,220,,,,,,,
4,7,2015,7,4,2,6,4,3,100,95,87,27,6,,8,123,57,,,,,,,
5,7,2015,12,9,6,9,7,6,100,91,75,23,13,40,6,122,1,,,,,,,
6,7,2015,13,10,7,10,9,7,100,87,77,26,14,45,7,122,318,,,,,,,
7,7,2015,10,8,6,9,8,8,100,93,79,26,13,,8,122,24,,,,,,,
8,7,2015,13,11,8,12,9,7,94,83,71,39,21,,7,122,274,,,,,,,
9,7,2015,11,7,2,8,6,1,100,85,58,13,6,,5,123,257,,,,,,,
10,7,2015,8,4,1,7,4,2,100,99,87,21,5,,7,123,48,,,,,,,
11,7,2015,7,4,2,7,4,2,100,98,93,8,3,,8,123,150,,,,,,,
12,7,2015,9,4,-1,5,2,-1,100,81,51,23,8,,3,121,185,,,,,,,
13,7,2015,9,3,-2,7,3,-1,100,94,80,21,8,,6,123-Snow,355,,,,,,,
14,7,2015,10,6,1,8,5,1,100,94,79,26,6,,7,123,17,,,,,,,
15,7,2015,12,9,5,9,8,5,100,89,72,27,14,45,6,122,354,,,,,,,
16,7,2015,11,7,3,8,6,3,100,89,58,29,10,,7,123,13,,,,,,,
17,7,2015,11,8,5,10,8,5,100,95,84,42,18,64,8,123,324,,,,,,,
18,7,2015,9,6,3,7,6,4,100,94,82,23,6,,8,123,8,,,,,,,
19,7,2015,9,4,0,7,2,-1,100,80,41,23,8,,5,123,198,,,,,,,
20,7,2015,6,2,-2,5,1,-2,100,94,74,13,2,,7,121,48,,,,,,,
21,7,2015,9,8,6,8,6,3,100,91,71,13,8,,8,122,60,,,,,,,
22,7,2015,14,10,6,11,8,7,100,93,71,13,3,,7,123,333,,,,,,,
23,7,2015,15,12,10,12,11,9,100,88,73,21,14,,7,122,344,,,,,,,
24,7,2015,12,9,7,10,8,7,100,91,76,16,6,,7,,44,,,,,,,
25,7,2015,14,12,10,12,11,9,100,91,70,26,18,,8,122,30,,,,,,,
26,7,2015,12,12,12,12,11,10,100,93,88,26,19,,7,122,19,,,,,,,
27,7,2015,15,12,10,11,10,8,94,83,67,35,19,55,7,122,341,,,,,,,
28,7,2015,11,10,9,10,9,8,100,95,91,19,10,,7,122-Snow,50,,,,,,,
29,7,2015,13,10,7,10,8,7,100,88,64,14,8,,6,123,48,,,,,,,
30,7,2015,13,10,6,10,9,6,100,90,70,19,11,,6,122,351,,,,,,,
31,7,2015,14,10,6,9,8,7,100,84,56,29,13,45,7,122,21,,,,,,,
1,8,2015,11,9,7,8,7,6,96,83,69,34,14,53,7,122,339,,,,,,,
2,8,2015,13,10,7,8,7,6,93,79,67,40,23,63,7,122,297,,,,,,,
3,8,2015,12,9,5,8,7,5,100,93,69,11,6,,7,123,56,,,,,,,
4,8,2015,14,10,6,9,7,6,100,83,54,16,6,,7,123,53,,,,,,,
5,8,2015,12,11,9,11,8,6,100,87,66,24,13,,7,122,46,,,,,,,
6,8,2015,11,9,6,10,8,5,100,93,75,16,5,,7,123,235,,,,,,,
7,8,2015,11,8,5,8,6,1,100,87,58,14,6,,7,122,151,,,,,,,
8,8,2015,9,7,4,8,5,1,100,87,61,16,10,,7,122,194,,,,,,,
9,8,2015,10,8,7,8,6,4,100,87,54,23,8,,8,122,263,,,,,,,
10,8,2015,11,7,4,6,5,4,100,85,61,16,5,,6,,257,,,,,,,
11,8,2015,8,4,1,10,3,2,100,96,69,8,3,,7,121,44,,,,,,,
12,8,2015,11,6,1,7,4,2,100,96,69,8,3,,6,123,100,,,,,,,
13,8,2015,16,8,1,8,4,1,100,92,51,8,2,,4,123,218,,,,,,,
14,8,2015,11,6,1,8,4,1,100,90,66,32,6,,7,123,331,,,,,,,
15,8,2015,11,7,3,8,4,1,100,77,45,27,13,,6,122,187,,,,,,,
16,8,2015,12,6,-1,8,3,0,100,91,56,16,3,,5,123,276,,,,,,,
17,8,2015,11,7,2,11,8,3,100,96,91,19,10,,8,122,14,,,,,,,
18,8,2015,14,9,5,11,7,0,100,87,41,11,5,,6,123,213,,,,,,,
19,8,2015,16,9,1,10,6,2,100,88,52,8,2,,3,121,52,,,,,,,
20,8,2015,15,9,3,10,6,3,100,93,67,13,3,,7,121,330,,,,,,,
21,8,2015,12,9,7,11,8,7,100,93,81,26,8,,8,123,23,,,,,,,
22,8,2015,13,11,8,9,8,7,100,86,64,27,16,,7,122,1,,,,,,,
23,8,2015,13,10,7,9,8,7,100,85,66,21,10,,7,122,37,,,,,,,
24,8,2015,12,11,9,11,9,7,100,92,66,24,19,,8,122,33,,,,,,,
25,8,2015,14,12,11,11,11,8,100,88,72,37,18,52,8,122,346,,,,,,,
26,8,2015,13,12,10,10,9,9,100,87,72,24,11,,6,122,318,,,,,,,
27,8,2015,13,12,10,12,9,7,100,82,54,26,14,50,8,122,28,,,,,,,
28,8,2015,14,12,11,12,12,11,94,87,72,39,32,64,7,122,305,,,,,,,
29,8,2015,13,11,8,11,9,7,100,81,55,34,18,52,6,122,282,,,,,,,
30,8,2015,14,11,7,12,10,7,100,94,82,16,5,,8,123,18,,,,,,,
31,8,2015,13,8,3,9,6,4,100,83,61,13,8,,6,123,163,,,,,,,
1,9,2015,16,8,0,8,4,1,100,81,41,16,3,,2,121,199,,,,,,,
2,9,2015,15,8,0,5,3,0,100,74,34,16,5,,3,,166,,,,,,,
3,9,2015,15,8,1,5,3,0,93,71,41,21,8,,,,180,,,,,,,
4,9,2015,18,9,1,9,4,0,100,81,52,13,6,,2,,130,,,,,,,
5,9,2015,17,9,1,10,6,1,100,90,59,10,2,,6,121,343,,,,,,,
6,9,2015,13,9,5,12,9,5,100,98,88,14,3,,7,123,324,,,,,,,
7,9,2015,13,10,8,11,7,3,100,80,47,23,10,,7,122,278,,,,,,,
8,9,2015,11,8,5,8,4,0,93,74,43,26,18,,7,122,278,,,,,,,
9,9,2015,10,6,1,6,2,0,100,82,40,16,5,,5,123,281,,,,,,,
10,9,2015,13,7,1,7,4,2,100,83,56,23,8,,4,122,261,,,,,,,
11,9,2015,12,6,1,6,4,1,100,87,57,19,5,,7,123,253,,,,,,,
12,9,2015,14,9,4,6,5,4,100,69,43,19,13,,4,,173,,,,,,,
13,9,2015,15,7,-2,7,3,-1,100,83,45,11,3,,5,121,180,,,,,,,
14,9,2015,12,7,1,7,4,2,100,87,52,19,3,,8,123,285,,,,,,,
15,9,2015,12,7,2,6,3,0,100,82,36,16,6,,7,122,274,,,,,,,
16,9,2015,11,4,-3,3,0,-3,100,74,30,19,3,,5,121,163,,,,,,,
17,9,2015,12,6,-2,5,2,-1,100,77,40,14,5,,4,,269,,,,,,,
18,9,2015,13,6,-1,5,2,-1,100,78,35,16,3,,4,121,178,,,,,,,
19,9,2015,15,7,-2,6,3,-1,100,77,41,19,5,,7,,162,,,,,,,
20,9,2015,19,9,0,9,5,1,100,77,40,11,3,,4,,155,,,,,,,
21,9,2015,17,9,2,10,7,3,100,84,52,13,3,,5,121,250,,,,,,,
22,9,2015,16,10,3,9,8,4,100,85,59,14,3,,6,123,313,,,,,,,
23,9,2015,17,11,6,12,9,6,100,90,49,13,3,,6,123,351,,,,,,,
24,9,2015,14,11,8,10,8,6,100,85,54,23,6,,7,122,3,,,,,,,
25,9,2015,13,9,5,9,7,4,100,83,53,21,10,,7,122,331,,,,,,,
26,9,2015,12,8,3,10,7,3,100,90,70,26,6,,7,123,340,,,,,,,
27,9,2015,12,11,9,12,10,9,100,94,88,32,16,,8,122,354,,,,,,,
28,9,2015,16,11,7,10,7,4,100,77,43,13,6,,6,,271,,,,,,,
29,9,2015,14,11,7,12,10,7,100,92,79,14,6,,8,122,36,,,,,,,
30,9,2015,13,12,11,12,12,11,100,97,94,10,5,,8,122,218,,,,,,,
1,10,2015,15,11,7,12,10,7,100,89,72,13,3,,7,122,328,,,,,,,
2,10,2015,20,13,7,11,9,7,100,78,36,14,6,,5,123,6,,,,,,,
3,10,2015,18,12,6,12,9,6,100,85,55,23,5,,7,121,310,,,,,,,
4,10,2015,16,12,9,11,9,7,94,81,60,26,11,,6,122,351,,,,,,,
5,10,2015,15,11,6,9,7,4,100,80,45,32,11,,6,122,347,,,,,,,
6,10,2015,13,8,3,7,4,2,100,70,40,26,10,,4,122,316,,,,,,,
7,10,2015,12,7,2,7,5,2,100,85,46,24,10,48,5,123,320,,,,,,,
8,10,2015,14,8,1,6,2,-1,100,76,27,19,5,,6,121,166,,,,,,,
9,10,2015,18,9,1,6,3,0,100,62,27,16,8,,2,,175,,,,,,,
10,10,2015,19,9,-1,6,3,0,100,67,22,21,6,,3,,102,,,,,,,
11,10,2015,22,11,-1,8,3,0,94,60,14,8,3,,,,-1,,,,,,,
12,10,2015,15,11,7,9,8,6,94,78,56,23,10,,8,122,360,,,,,,,
13,10,2015,13,11,9,11,9,8,100,92,70,16,11,,8,122,4,,,,,,,
14,10,2015,13,10,7,8,7,4,100,84,52,16,5,,6,123,224,,,,,,,
15,10,2015,13,8,3,6,4,1,100,76,35,13,5,,5,122,291,,,,,,,
16,10,2015,18,9,0,7,3,1,100,76,29,16,3,,6,121,159,,,,,,,
17,10,2015,21,11,1,12,5,1,100,75,44,10,5,,1,,270,,,,,,,
18,10,2015,18,14,11,10,9,7,77,66,50,10,8,,5,,93,,,,,,,
19,10,2015,18,10,2,10,8,5,100,70,54,21,6,,4,,275,,,,,,,
20,10,2015,14,11,7,9,6,4,94,75,44,11,5,,8,122,309,,,,,,,
21,10,2015,16,8,1,8,6,1,100,81,49,16,3,,4,121,254,,,,,,,
22,10,2015,20,12,5,9,6,2,100,68,22,13,5,,7,,118,,,,,,,
23,10,2015,24,13,2,11,6,2,100,72,29,16,2,,2,121,242,,,,,,,
24,10,2015,18,14,9,13,12,10,100,89,63,21,6,,7,122,41,,,,,,,
25,10,2015,17,13,9,13,11,10,100,87,66,21,6,,6,122,23,,,,,,,
26,10,2015,16,13,9,12,9,6,100,81,48,19,8,,6,122,228,,,,,,,
27,10,2015,19,11,2,10,7,2,100,79,42,16,3,,5,121,298,,,,,,,
28,10,2015,16,11,6,12,9,6,100,85,61,16,6,,6,122,304,,,,,,,
29,10,2015,15,8,2,9,6,2,100,78,37,21,6,,6,121,207,,,,,,,
30,10,2015,15,8,1,5,3,0,97,63,31,19,10,,4,,179,,,,,,,
31,10,2015,18,12,6,6,4,3,87,59,33,26,16,,,,174,,,,,,,
1,11,2015,21,14,7,12,7,4,82,65,44,19,13,,6,,180,,,,,,,
2,11,2015,21,12,4,9,7,3,93,63,28,19,11,,2,,167,,,,,,,
3,11,2015,26,14,3,14,9,3,100,71,39,14,6,,4,,189,,,,,,,
4,11,2015,24,15,6,13,9,7,100,68,40,21,5,,,121,238,,,,,,,
5,11,2015,28,17,6,13,10,7,100,71,22,13,3,,6,121,197,,,,,,,
6,11,2015,24,16,7,14,11,7,100,74,40,14,3,,,,312,,,,,,,
7,11,2015,15,11,7,10,8,6,100,84,58,19,3,,8,122,287,,,,,,,
8,11,2015,15,11,7,11,8,6,100,80,55,23,10,39,7,122,344,,,,,,,
9,11,2015,18,14,9,11,9,8,94,75,42,21,13,,5,122,315,,,,,,,
10,11,2015,22,13,4,13,9,4,100,81,47,21,5,,5,121,163,,,,,,,
11,11,2015,21,12,4,14,9,4,100,78,54,21,6,,3,,354,,,,,,,
12,11,2015,16,12,8,11,9,7,100,81,55,16,8,,7,,300,,,,,,,
13,11,2015,19,13,6,13,9,6,100,81,51,19,3,,5,,233,,,,,,,
14,11,2015,18,12,6,11,9,6,100,85,52,26,3,,7,123,292,,,,,,,
15,11,2015,18,13,11,10,10,9,91,74,55,19,6,,8,122,-1,,,,,,,
16,11,2015,17,12,8,12,9,7,96,85,55,34,13,52,8,122,289,,,,,,,
17,11,2015,14,8,2,8,6,3,100,79,43,19,6,,5,123,278,,,,,,,
18,11,2015,12,8,4,8,6,3,100,87,67,19,8,34,7,123,28,,,,,,,
19,11,2015,13,7,1,8,4,1,100,83,52,19,5,,7,121,330,,,,,,,
20,11,2015,14,11,9,12,9,7,100,88,73,16,13,,8,122,355,,,,,,,
21,11,2015,17,13,9,12,9,7,100,81,41,13,8,,7,122,334,,,,,,,
22,11,2015,19,13,7,11,9,7,100,79,50,16,3,,5,,275,,,,,,,
23,11,2015,20,13,7,12,9,7,100,82,33,21,3,,6,121,278,,,,,,,
24,11,2015,17,13,8,12,11,8,99,78,55,23,6,,6,122,319,,,,,,,
25,11,2015,16,12,8,10,9,8,100,80,56,23,10,,5,122,1,,,,,,,
26,11,2015,16,13,11,13,11,9,94,81,69,16,10,,7,122,279,,,,,,,
27,11,2015,17,12,7,10,8,7,100,74,41,21,6,,5,122,246,,,,,,,
28,11,2015,22,12,2,11,8,3,100,70,31,26,6,,1,121,170,,,,,,,
29,11,2015,24,16,6,15,11,6,100,68,39,21,11,,2,,170,,,,,,,
30,11,2015,22,16,9,12,9,8,82,63,41,19,13,37,3,,182,,,,,,,
1,12,2015,28,19,9,16,12,9,100,70,38,16,6,,7,,167,,,,,,,
2,12,2015,28,18,8,14,12,9,100,69,26,21,5,,,,294,,,,,,,
3,12,2015,23,17,11,14,12,6,100,77,32,19,5,,7,122,266,,,,,,,
4,12,2015,24,17,10,14,12,10,100,72,45,16,5,,5,,188,,,,,,,
5,12,2015,29,18,7,16,11,8,100,67,31,16,5,,,121,250,,,,,,,
6,12,2015,21,16,11,15,13,10,100,81,62,19,5,,7,,285,,,,,,,
7,12,2015,21,16,9,12,10,8,100,72,41,19,5,,6,,197,,,,,,,
8,12,2015,21,13,7,9,7,6,93,63,32,21,11,,1,,178,,,,,,,
9,12,2015,22,14,6,12,8,5,93,64,39,21,13,,4,,205,,,,,,,
10,12,2015,22,13,6,12,10,7,100,76,43,130,6,,4,,217,,,,,,,
11,12,2015,17,12,6,12,9,6,100,80,53,19,6,,7,121,282,,,,,,,
12,12,2015,15,13,12,14,12,10,100,91,76,21,13,,8,122,340,,,,,,,
13,12,2015,16,14,13,14,13,12,100,93,82,23,13,,8,122,329,,,,,,,
14,12,2015,18,10,2,9,7,3,100,64,38,14,6,,4,,201,,,,,,,
15,12,2015,22,11,1,10,7,2,100,72,31,19,5,,1,121,207,,,,,,,
16,12,2015,19,13,8,11,9,6,100,71,41,23,6,,5,,250,,,,,,,
17,12,2015,18,10,2,11,7,3,100,75,43,21,8,,5,122,209,,,,,,,
18,12,2015,9,7,4,9,6,4,100,98,93,8,2,,2,121,115,,,,,,,
19,12,2015,25,20,12,13,11,9,94,54,35,16,10,,,,201,,,,,,,
20,12,2015,16,9,4,11,8,5,100,95,72,6,2,,,121,60,,,,,,,
21,12,2015,14,12,10,13,12,10,100,89,73,21,14,,8,122,329,,,,,,,
22,12,2015,17,10,4,11,9,5,100,85,52,27,8,,6,123,340,,,,,,,
23,12,2015,16,10,4,9,7,5,100,76,40,21,8,,5,122,291,,,,,,,
24,12,2015,21,12,2,12,8,4,100,79,43,19,3,,5,123,223,,,,,,,
25,12,2015,23,13,4,14,10,5,100,78,44,19,5,,6,121,235,,,,,,,
26,12,2015,23,13,3,14,9,5,100,81,44,23,5,,4,123,214,,,,,,,
27,12,2015,24,15,6,15,12,7,100,79,41,14,5,,6,121,303,,,,,,,
28,12,2015,24,18,12,17,14,11,100,81,50,16,6,,6,122,278,,,,,,,
29,12,2015,27,17,7,15,12,8,100,72,36,19,5,,1,121,228,,,,,,,
30,12,2015,27,17,7,16,12,8,100,71,34,21,6,,1,121,225,,,,,,,
31,12,2015,28,18,8,14,12,8,100,66,24,11,5,32,,,142,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,,,
Totales,,,25,15,5.5,12,9.5,5.5,100,69.5,30,,,,12,8,4,,5,32,,3,,150.5
2015,,,6447,4295,2121,4050,3048,1957,35972,29555,19153,,,,4555,3130,1533,,2588,1522,0,1919,0,73802
,,,6447,4295,2121,4050,3048,1957,35972,29555,19153,,,,6923,2588,1522,#REF!,1919,0,73802,202570,0,
