D,M,A,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
1,1,2015,1,-4,-8,-3,-4,-8,100,92,70,1042,1036,1035,10,6,0,10,3,,0.25,4,Fog-Snow,251
2,1,2015,1,-4,-9,1,-4,-10,100,95,86,1041,1033,1030,19,7,0,10,3,,0.25,5,Fog-Rain-Snow,237
3,1,2015,3,1,0,2,1,0,100,97,84,1036,1026,1016,11,5,0,19,5,,6.10,6,Fog-Rain,265
4,1,2015,4,2,-1,4,-2,-8,100,77,34,1035,1027,1015,29,10,2,29,10,50,1.02,6,Rain-Snow,270
5,1,2015,1,-3,-6,-3,-5,-7,93,74,36,1038,1032,1029,31,12,6,35,14,58,0.00,5,Rain-Snow,272
6,1,2015,5,-1,-7,-3,-5,-7,93,81,50,1033,1027,1023,29,13,7,10,3,,0.00,5,,255
7,1,2015,4,-2,-8,-4,-6,-8,100,83,55,1036,1029,1026,31,12,8,11,3,,0.00,2,,251
8,1,2015,2,-3,-8,-3,-6,-9,100,86,52,1037,1031,1028,27,11,5,11,3,,0.00,6,,245
9,1,2015,11,3,-6,4,-2,-6,100,82,37,1037,1028,1021,31,10,0,32,6,52,0.00,6,Fog-Rain,262
10,1,2015,18,11,3,5,3,0,100,59,24,1023,1017,1014,18,10,0,39,10,60,0.00,5,Fog-Rain,257
11,1,2015,9,6,3,5,-1,-8,87,55,29,1027,1017,1010,29,11,10,47,18,82,3.05,6,Rain-Snow,263
12,1,2015,9,3,-2,-1,-2,-4,87,72,38,1031,1026,1023,31,12,8,35,14,,0.00,6,Rain-Snow,255
13,1,2015,9,2,-5,-4,-4,-6,93,69,26,1028,1021,1016,29,14,10,21,8,,0.00,3,,250
14,1,2015,8,3,-2,3,-1,-4,100,77,37,1023,1018,1014,31,12,7,24,13,,1.02,6,Rain,258
15,1,2015,9,4,-1,1,-1,-4,100,83,37,1023,1016,1012,31,9,1,27,10,35,0.00,6,Fog,254
16,1,2015,13,6,-1,3,-1,-3,87,64,34,1017,1009,1005,31,12,10,35,19,61,0.00,4,,222
17,1,2015,6,3,0,3,1,0,100,84,41,1020,1012,1005,14,8,2,29,11,48,16.00,6,Rain-Snow,121
18,1,2015,4,1,-2,1,-1,-2,100,92,75,1020,1016,1013,27,9,1,8,5,,0.51,5,Rain-Snow,145
19,1,2015,3,-1,-5,-2,-3,-5,100,85,53,1017,1012,1010,19,10,8,18,5,,0.00,3,,243
20,1,2015,4,0,-4,-2,-4,-5,93,83,59,1014,1010,1007,31,13,8,14,5,,0.00,6,,258
21,1,2015,3,-2,-6,-3,-4,-6,100,85,56,1015,1010,1007,31,11,6,11,3,,0.00,5,,246
22,1,2015,8,2,-3,0,-2,-4,100,83,53,1016,1010,1008,23,11,9,23,8,,0.00,5,,279
23,1,2015,2,1,0,-1,-2,-2,93,85,71,1024,1018,1014,11,10,5,11,5,,0.25,6,Rain-Snow,60
24,1,2015,2,1,-1,0,-1,-1,100,90,74,1024,1019,1016,18,9,6,14,3,,0.51,6,Snow,70
25,1,2015,0,-2,-3,-1,-2,-4,100,91,74,1031,1025,1021,11,7,1,13,5,,2.03,6,Snow,85
26,1,2015,3,-1,-5,-2,-5,-7,100,79,42,1031,1025,1019,29,9,1,8,3,,2.03,4,Snow,181
27,1,2015,1,-1,-3,0,-2,-2,100,93,79,1023,1019,1017,26,5,1,21,5,,3.05,6,Snow,75
28,1,2015,3,-1,-4,-1,-3,-5,100,89,63,1024,1016,1004,31,9,1,21,5,,0.25,6,Snow,265
29,1,2015,2,-1,-5,-1,-2,-4,100,89,70,1007,996,981,31,9,3,21,13,,0.51,6,Snow,277
30,1,2015,2,-2,-6,-1,-5,-8,100,76,35,984,979,975,14,9,1,37,14,55,1.02,5,Snow,265
31,1,2015,4,-2,-7,-3,-5,-8,100,85,52,992,985,981,31,10,2,11,5,,0.76,5,Snow,257
1,2,2015,2,-3,-9,-3,-7,-9,100,84,48,999,992,989,31,9,2,14,5,,3.05,5,Snow,225
2,2,2015,3,-1,-5,-1,-3,-5,100,90,65,1006,1000,997,31,9,2,11,5,,3.05,6,Snow,302
3,2,2015,3,-2,-7,-4,-7,-10,86,71,39,1008,1002,1000,31,12,8,11,5,,0.00,5,Snow,142
4,2,2015,-3,-6,-8,-6,-7,-8,86,76,58,1016,1008,1004,29,10,6,11,8,,0.00,6,,223
5,2,2015,-2,-3,-5,-6,-7,-8,86,78,59,1016,1011,1009,31,11,8,18,10,,0.00,6,Snow,78
6,2,2015,-2,-3,-5,-4,-6,-7,93,80,64,1023,1015,1011,11,9,3,16,6,,0.00,6,Snow,73
7,2,2015,1,-4,-8,-6,-7,-9,93,76,51,1029,1023,1019,11,10,5,13,8,,0.00,6,,69
8,2,2015,0,-4,-9,-3,-6,-10,100,91,60,1030,1022,1018,10,4,1,27,5,58,6.10,6,Snow,308
9,2,2015,-1,-4,-7,-4,-6,-8,100,84,59,1034,1028,1026,24,10,3,34,11,,0.00,6,Fog-Snow,70
10,2,2015,5,-2,-9,-2,-6,-10,100,86,53,1035,1030,1027,26,10,1,14,5,,0.00,2,Fog,248
11,2,2015,8,-1,-9,1,-4,-9,100,88,53,1033,1026,1023,31,9,0,10,3,,0.00,1,Fog,242
12,2,2015,8,0,-9,-2,-4,-9,100,83,35,1029,1023,1020,31,9,0,8,3,,0.25,1,Fog-Snow,216
13,2,2015,11,1,-9,-3,-6,-9,100,75,33,1028,1020,1015,31,12,2,8,3,21,0.00,0,Fog,220
14,2,2015,10,2,-5,-1,-3,-6,86,64,29,1020,1012,1009,29,11,10,34,16,69,0.00,5,,234
15,2,2015,11,4,-2,-1,-3,-4,86,64,24,1015,1011,1009,31,10,9,24,14,35,0.00,4,,208
16,2,2015,11,4,-3,-2,-3,-5,87,66,30,1023,1018,1015,31,13,8,23,10,,0.00,,,266
17,2,2015,13,6,-2,-1,-3,-5,87,63,24,1036,1028,1022,31,13,8,21,8,,0.00,1,,216
18,2,2015,4,1,-3,-1,-3,-5,93,81,58,1042,1037,1034,10,8,6,13,8,,0.00,5,,119
19,2,2015,11,2,-6,-4,-5,-7,100,70,22,1040,1031,1026,31,14,5,8,3,,0.00,,,219
20,2,2015,11,3,-6,-4,-6,-8,93,61,20,1031,1020,1009,31,16,10,19,5,,0.00,,,250
21,2,2015,9,3,-3,-2,-4,-7,75,54,27,1012,1003,999,23,11,10,35,18,71,0.00,5,,198
22,2,2015,4,2,0,2,0,-3,100,83,54,1012,1006,1000,31,9,1,13,6,,2.03,6,Rain-Snow,87
23,2,2015,9,3,-2,1,-1,-3,100,71,35,1010,1004,999,31,10,7,32,8,,0.00,5,Rain,249
24,2,2015,3,2,0,3,2,0,100,93,82,1018,1009,1003,19,9,3,19,6,,7.87,7,Rain,298
25,2,2015,4,2,-1,1,0,-1,100,89,67,1023,1019,1016,19,9,3,13,5,,2.03,7,Snow,288
26,2,2015,8,3,-1,0,-2,-5,94,75,40,1024,1019,1015,31,11,6,14,6,,0.00,5,Rain-Snow,244
27,2,2015,4,0,-4,2,-2,-6,100,83,36,1019,1013,1010,13,9,5,34,8,48,3.05,4,Rain-Snow,261
28,2,2015,7,3,-2,2,1,-2,100,87,61,1023,1019,1017,31,9,3,11,3,,0.25,5,Rain-Snow,231
1,3,2015,9,3,-3,2,-1,-3,100,80,45,1020,1013,1010,31,10,3,24,8,,0.00,5,,267
2,3,2015,6,3,2,4,2,0,100,90,80,1018,1011,1007,31,11,5,27,14,53,8.89,6,Rain,259
3,3,2015,11,6,-1,0,-2,-6,100,71,19,1026,1022,1019,27,11,7,27,8,47,0.00,3,Snow,216
4,3,2015,7,3,-1,1,-1,-4,100,77,51,1030,1024,1021,31,10,1,23,6,,1.02,6,Snow,258
5,3,2015,2,1,-1,0,-1,-2,100,91,78,1037,1031,1029,31,8,0,16,8,,4.06,6,Snow,55
6,3,2015,6,1,-3,-2,-4,-6,93,71,31,1040,1036,1034,31,13,10,14,5,,0.00,3,Snow,126
7,3,2015,11,3,-4,0,-3,-5,93,70,34,1040,1033,1030,31,17,9,13,5,,0.00,,,163
8,3,2015,13,5,-3,0,-2,-4,100,68,28,1034,1027,1022,27,18,10,13,5,,0.00,,,224
9,3,2015,14,6,-2,0,-2,-4,93,63,20,1029,1025,1022,31,19,10,14,5,,0.00,,,165
10,3,2015,16,7,-3,0,-2,-5,93,59,15,1031,1025,1022,23,12,10,11,5,,0.00,,,247
11,3,2015,8,4,1,3,0,-5,93,70,29,1030,1025,1024,31,11,10,21,5,32,1.02,6,Rain,129
12,3,2015,9,4,-1,-1,-3,-6,93,65,24,1031,1027,1024,31,11,8,19,6,,0.00,5,,92
13,3,2015,10,3,-4,-1,-3,-5,86,66,27,1027,1020,1016,31,15,10,24,5,,0.00,1,,78
14,3,2015,11,3,-4,-1,-2,-5,93,68,28,1025,1020,1017,21,10,6,21,5,,0.00,1,,61
15,3,2015,12,4,-3,0,-3,-4,93,57,22,1026,1021,1020,31,11,5,35,13,71,0.00,2,,161
16,3,2015,14,9,3,0,-2,-5,70,42,24,1026,1023,1021,31,12,10,35,21,61,0.00,4,,116
17,3,2015,12,7,2,4,1,-1,81,63,31,1028,1025,1023,31,11,10,26,13,37,0.00,6,,261
18,3,2015,19,9,-1,5,1,-2,93,57,22,1028,1023,1019,31,13,10,21,8,,0.00,5,,256
19,3,2015,17,10,3,4,2,0,87,61,22,1025,1022,1019,19,11,10,24,5,,0.00,3,,93
20,3,2015,16,8,-1,2,0,-2,93,64,26,1027,1021,1016,24,13,6,19,5,,0.00,1,,21
21,3,2015,11,6,0,6,2,-2,93,73,41,1022,1016,1012,31,12,7,23,10,,0.25,6,Rain,264
22,3,2015,12,7,2,4,3,1,100,81,51,1021,1016,1014,29,10,6,21,8,40,1.02,4,Rain,94
23,3,2015,17,9,1,4,2,1,100,72,24,1021,1015,1009,31,12,6,24,6,,0.00,3,,260
24,3,2015,15,8,0,4,1,0,100,62,25,1014,1009,1006,31,12,8,27,10,50,0.00,3,,144
25,3,2015,13,8,2,6,3,0,87,66,37,1009,1003,999,31,14,10,23,13,,0.25,6,Rain,265
26,3,2015,11,8,6,7,6,4,100,86,63,1011,1007,1002,27,11,8,14,5,,3.05,6,Rain,136
27,3,2015,10,7,4,4,2,-3,93,74,27,1024,1017,1011,24,10,9,16,6,,2.03,6,Rain,82
28,3,2015,14,8,2,2,0,-3,93,61,19,1026,1020,1015,31,12,10,13,6,,0.00,4,Rain,166
29,3,2015,16,9,3,6,3,1,81,61,34,1018,1010,1004,10,10,10,27,6,47,0.00,6,Rain,249
30,3,2015,10,8,5,8,6,3,93,85,62,1015,1006,1002,31,11,7,29,16,52,9.91,7,Rain,286
31,3,2015,21,13,4,8,3,0,100,68,16,1015,1007,998,31,10,6,55,14,97,4.06,6,Rain,277
1,4,2015,5,3,1,3,0,-2,93,78,59,1025,1017,1012,31,10,3,39,23,69,3.05,6,Rain-Snow,255
2,4,2015,4,2,1,4,1,0,100,95,87,1025,1017,1012,23,9,3,21,6,,10.92,6,Rain-Snow,277
3,4,2015,11,6,0,1,-1,-4,100,70,27,1026,1020,1015,31,11,6,11,6,,0.00,5,,65
4,4,2015,6,4,3,4,2,0,100,86,72,1017,1012,1009,26,11,10,13,6,,6.10,6,Rain,69
5,4,2015,6,3,1,3,0,-2,100,83,60,1025,1017,1012,31,11,4,26,10,37,0.76,6,Rain-Snow,270
6,4,2015,6,2,-1,0,-1,-3,100,84,46,1031,1025,1022,31,8,1,29,10,47,4.06,6,Rain-Snow,277
7,4,2015,8,2,-3,0,-2,-5,100,74,31,1038,1034,1029,31,9,0,14,6,,0.25,4,Fog-Snow,165
8,4,2015,15,6,-4,1,-3,-5,93,62,15,1038,1032,1029,31,11,10,13,5,,0.00,3,,281
9,4,2015,21,10,-1,6,2,-2,93,61,18,1034,1028,1021,31,13,10,14,5,,0.00,,,290
10,4,2015,23,12,1,5,3,0,93,56,17,1029,1023,1017,31,11,10,14,5,,0.00,,,262
11,4,2015,18,11,4,8,5,2,87,63,24,1029,1024,1021,29,12,10,23,6,,0.76,5,Rain,182
12,4,2015,22,14,7,8,6,2,93,64,18,1033,1029,1024,31,11,10,16,5,,0.00,5,,270
13,4,2015,21,12,3,6,3,-1,93,54,17,1032,1028,1024,31,11,10,35,8,58,0.00,3,,257
14,4,2015,20,13,6,7,2,-3,81,48,13,1031,1028,1024,24,10,10,27,8,52,0.00,4,,251
15,4,2015,26,14,3,5,1,-4,81,46,9,1029,1022,1014,31,14,10,16,5,,0.00,,,264
16,4,2015,25,14,4,7,3,-1,76,47,10,1021,1016,1009,14,10,10,13,6,,0.00,8,,260
17,4,2015,15,13,10,11,8,4,94,73,42,1015,1013,1011,31,12,8,13,5,,2.03,6,Rain,175
18,4,2015,9,6,2,9,3,-2,94,73,35,1025,1020,1015,31,11,8,23,8,,0.76,6,Rain,69
19,4,2015,17,7,-2,2,-1,-5,93,59,16,1026,1019,1014,31,14,9,23,6,,0.00,,,75
20,4,2015,19,10,1,3,1,-2,87,54,19,1026,1022,1019,31,11,10,14,5,,0.00,2,,289
21,4,2015,21,11,2,3,1,-3,87,49,13,1031,1027,1023,31,12,10,14,5,,0.00,1,,263
22,4,2015,23,13,3,2,-1,-5,81,42,11,1030,1022,1014,31,13,10,32,6,42,0.00,,,263
23,4,2015,11,8,6,4,3,0,87,66,41,1019,1017,1016,21,11,10,23,10,,0.00,5,Rain,77
24,4,2015,21,12,4,6,4,2,94,65,26,1020,1016,1011,26,11,5,14,6,,0.00,3,Rain,73
25,4,2015,20,12,4,7,4,1,81,56,22,1017,1013,1009,31,12,10,27,10,50,0.00,6,,218
26,4,2015,21,14,8,8,6,4,87,53,23,1013,1009,1004,31,11,10,32,11,52,0.00,4,,151
27,4,2015,19,14,9,7,6,5,76,50,31,1006,1003,999,10,10,10,40,19,64,0.00,5,,107
28,4,2015,13,10,7,9,4,1,88,64,39,1022,1010,1002,29,10,7,37,13,69,3.05,6,Rain,294
29,4,2015,17,9,1,5,2,-1,93,60,23,1024,1018,1012,31,11,10,16,5,,0.00,4,,85
30,4,2015,16,11,7,7,6,4,100,72,36,1020,1016,1012,31,10,5,19,6,,6.10,6,Rain,340
1,5,2015,13,11,8,11,9,6,100,87,75,1014,1008,1004,31,11,10,24,10,,0.51,6,Rain,278
2,5,2015,19,14,10,11,10,8,100,76,41,1012,1010,1006,29,11,9,26,13,,1.02,5,Rain,360
3,5,2015,19,15,11,15,12,9,100,85,59,1013,1011,1007,31,11,8,21,6,,2.03,6,Rain,265
4,5,2015,23,18,13,15,13,10,100,77,42,1015,1012,1009,14,10,10,21,10,39,0.76,6,Rain,259
5,5,2015,26,19,12,15,12,9,100,62,25,1013,1010,1004,31,12,10,37,16,63,0.00,6,,230
6,5,2015,16,12,8,12,11,8,100,78,62,1021,1015,1011,31,11,6,24,8,40,9.91,4,Rain,68
7,5,2015,21,14,7,10,8,7,95,68,34,1021,1019,1014,31,11,10,23,6,,0.00,4,Rain,86
8,5,2015,24,17,8,12,9,6,93,65,26,1019,1015,1009,31,11,10,27,6,,0.51,4,Rain-Thunderstorm,256
9,5,2015,17,14,11,12,11,10,100,83,57,1025,1021,1018,19,10,5,14,5,,2.03,6,Rain-Thunderstorm,65
10,5,2015,21,15,9,12,9,6,100,71,27,1029,1026,1023,31,12,10,23,6,37,0.00,4,,75
11,5,2015,27,17,7,10,7,2,93,58,13,1030,1026,1019,27,12,10,19,5,,0.00,,,280
12,5,2015,31,19,8,10,7,2,87,51,10,1026,1022,1014,31,14,10,14,6,,0.00,,,273
13,5,2015,30,20,11,16,11,4,94,58,18,1022,1017,1010,29,12,10,29,6,,0.76,5,Rain-Thunderstorm,192
14,5,2015,21,17,12,13,12,10,100,75,45,1015,1011,1007,31,11,10,27,10,,0.00,5,Rain,94
15,5,2015,13,12,11,13,11,9,100,90,72,1017,1011,1008,29,10,5,13,5,,10.92,7,Rain,209
16,5,2015,21,17,12,13,12,11,100,82,49,1025,1021,1018,19,8,2,11,5,,0.51,5,Rain,337
17,5,2015,22,16,10,12,10,7,94,67,31,1025,1023,1017,31,12,10,24,6,,0.00,4,,79
18,5,2015,28,20,12,14,11,8,88,60,19,1021,1012,1003,31,12,10,27,6,45,0.00,4,,169
19,5,2015,15,13,11,13,12,10,100,86,71,1013,1010,1007,31,11,3,14,6,,10.92,6,Rain,343
20,5,2015,6,5,4,10,5,3,100,93,87,1021,1015,1011,26,10,5,13,6,,27.94,7,Rain,32
21,5,2015,10,7,4,8,6,4,100,88,66,1027,1022,1019,31,11,5,13,3,,4.06,6,Rain,106
22,5,2015,9,8,6,8,7,6,100,91,76,1027,1024,1022,31,11,6,8,3,,4.06,6,Rain,239
23,5,2015,11,9,7,9,7,6,100,92,75,1022,1019,1018,26,10,5,11,3,,7.11,7,Rain,85
24,5,2015,16,11,7,9,7,6,100,82,54,1021,1019,1017,31,11,10,14,3,,0.00,6,Rain,71
25,5,2015,17,12,8,11,9,8,100,75,47,1019,1015,1011,31,12,10,21,6,,3.05,6,,333
26,5,2015,14,12,9,11,9,7,100,85,57,1021,1015,1013,31,11,8,14,6,,2.03,6,Rain,54
27,5,2015,14,11,7,8,6,3,100,74,43,1023,1022,1020,31,11,10,14,5,,0.51,5,Rain,56
28,5,2015,23,13,3,7,4,-1,94,59,11,1024,1018,1012,31,14,10,21,5,,0.00,1,,311
29,5,2015,26,16,6,10,6,1,87,54,17,1019,1013,1005,24,10,10,29,5,64,0.51,4,Rain,260
30,5,2015,23,17,11,12,11,9,94,68,34,1018,1015,1011,31,11,10,23,10,,0.51,5,Rain,14
31,5,2015,23,17,12,13,11,9,88,66,39,1019,1016,1012,31,11,10,14,6,34,0.00,6,Rain,78
1,6,2015,28,19,9,14,11,8,94,61,25,1020,1016,1010,31,12,10,16,5,,2.03,5,Rain-Thunderstorm,57
2,6,2015,28,21,14,14,13,9,94,64,23,1021,1019,1013,31,11,10,19,6,,0.00,4,,58
3,6,2015,28,21,13,16,14,12,94,61,32,1025,1022,1017,29,11,2,19,6,,1.02,4,Rain,349
4,6,2015,30,22,14,16,14,12,94,61,29,1027,1024,1017,31,11,10,23,6,,0.00,2,Thunderstorm,87
5,6,2015,32,23,15,17,16,13,88,61,30,1025,1021,1014,31,11,10,24,6,,0.00,2,Thunderstorm,323
6,6,2015,31,23,16,17,16,14,100,70,28,1029,1023,1017,31,10,6,27,8,39,35.05,3,Rain-Thunderstorm,279
7,6,2015,28,21,13,17,15,12,100,71,37,1028,1024,1018,31,11,7,35,10,,19.05,2,Rain-Thunderstorm,296
8,6,2015,24,20,15,16,14,12,100,80,44,1025,1021,1016,31,11,10,26,11,26,3.05,5,Rain-Thunderstorm,255
9,6,2015,21,17,13,16,13,12,100,84,63,1023,1020,1017,31,10,5,19,6,,3.05,6,Rain-Thunderstorm,75
10,6,2015,24,18,13,16,13,12,94,75,49,1023,1020,1015,29,12,10,16,6,,0.00,5,,69
11,6,2015,26,20,14,18,15,13,100,75,50,1022,1018,1012,31,11,6,26,8,,0.51,3,Rain-Thunderstorm,40
12,6,2015,29,21,13,16,13,9,100,61,22,1018,1014,1008,31,12,7,39,14,80,0.00,2,,199
13,6,2015,29,22,16,16,12,10,82,49,22,1014,1012,1006,31,12,10,29,16,58,0.51,4,Rain-Thunderstorm,150
14,6,2015,24,19,14,16,13,10,94,69,36,1014,1011,1006,31,12,8,29,11,69,0.51,5,Rain-Thunderstorm,271
15,6,2015,18,17,15,16,14,12,100,85,69,1018,1014,1009,21,10,6,18,8,,9.91,6,Rain,276
16,6,2015,17,16,14,15,13,12,100,90,71,1020,1019,1017,19,10,6,13,5,,2.03,6,Rain,83
17,6,2015,20,17,13,13,11,8,100,76,41,1022,1021,1018,31,11,6,18,5,,0.00,5,,69
18,6,2015,20,14,9,14,11,8,94,74,38,1021,1018,1014,24,11,5,14,5,,0.00,5,Rain,49
19,6,2015,18,14,12,14,12,9,100,80,51,1019,1016,1014,31,11,5,19,6,,1.02,6,Rain,74
20,6,2015,13,12,10,10,9,7,94,86,61,1022,1019,1017,27,11,8,21,6,,7.11,6,Rain,69
21,6,2015,17,13,9,11,9,8,100,82,54,1022,1020,1017,31,12,10,14,5,,0.76,6,Rain,70
22,6,2015,25,18,11,13,11,7,100,74,31,1019,1014,1007,27,10,10,27,6,39,0.00,6,Rain,102
23,6,2015,21,16,11,13,9,5,100,69,32,1018,1011,1007,31,11,8,27,8,,2.03,5,Rain,81
24,6,2015,21,16,11,9,7,4,77,53,29,1024,1021,1018,31,10,10,21,8,,0.00,4,,86
25,6,2015,24,16,8,12,9,7,93,62,32,1025,1023,1019,29,11,10,27,6,,0.00,5,,57
26,6,2015,26,18,10,12,10,7,88,59,22,1025,1022,1016,26,11,10,24,6,,0.00,3,,56
27,6,2015,24,19,13,15,13,11,100,74,37,1022,1020,1015,31,11,10,21,5,37,3.05,5,Rain-Thunderstorm,356
28,6,2015,25,19,13,14,12,9,100,67,28,1023,1021,1016,31,12,10,24,6,,0.00,4,Rain,73
29,6,2015,26,19,12,15,12,8,88,63,24,1024,1022,1017,31,11,10,19,5,,0.00,5,,9
