D,M,A,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
30,6,2015,29,21,12,15,12,10,88,59,27,1024,1021,1015,31,12,10,24,5,,0.00,3,,325
1,7,2015,32,22,13,17,14,12,88,59,21,1023,1020,1013,31,13,10,24,6,,0.00,1,,41
2,7,2015,32,24,16,18,16,15,88,60,29,1025,1022,1016,31,12,10,21,6,39,0.00,1,Thunderstorm,42
3,7,2015,27,22,17,19,16,14,88,73,45,1031,1027,1023,31,13,10,32,5,55,4.06,4,Rain-Thunderstorm,273
4,7,2015,34,24,15,19,16,14,100,64,28,1028,1024,1016,31,14,10,16,6,,0.00,3,,273
5,7,2015,36,26,16,19,16,12,88,56,21,1023,1019,1011,31,12,10,11,6,,0.00,1,,290
6,7,2015,31,24,18,20,17,14,78,61,33,1024,1020,1014,31,13,10,21,8,,0.00,3,Rain-Thunderstorm,82
7,7,2015,37,28,19,19,17,12,88,58,19,1021,1015,1006,31,12,10,19,6,47,5.08,2,Rain-Thunderstorm,284
8,7,2015,21,18,16,18,17,15,94,89,76,1017,1014,1011,26,11,0,23,6,,13.97,5,Rain-Thunderstorm,113
9,7,2015,23,19,14,15,11,7,94,65,27,1023,1019,1015,31,12,10,21,6,,0.00,5,,65
10,7,2015,26,18,10,13,10,7,88,60,26,1025,1021,1015,31,12,10,23,5,,0.00,2,,45
11,7,2015,32,21,11,15,11,8,88,55,17,1021,1018,1011,31,11,10,35,6,52,0.00,2,,265
12,7,2015,31,22,14,14,12,9,82,51,20,1020,1017,1011,31,12,10,21,5,,0.00,3,,75
13,7,2015,23,20,16,15,14,12,88,67,47,1021,1019,1015,31,11,1,19,5,,0.76,6,Rain,59
14,7,2015,28,22,16,16,15,13,88,64,30,1021,1019,1013,31,12,10,23,8,,0.00,4,Rain,65
15,7,2015,30,22,14,17,15,13,88,61,32,1022,1019,1013,31,12,10,24,6,,0.00,1,,77
16,7,2015,32,24,16,18,16,14,88,64,28,1021,1019,1011,31,12,10,21,5,,0.00,2,Thunderstorm,38
17,7,2015,34,24,16,17,16,10,100,67,21,1025,1020,1011,27,12,10,58,8,89,8.89,4,Rain-Thunderstorm,281
18,7,2015,31,22,14,19,16,13,100,69,29,1024,1020,1013,31,12,10,19,10,,0.00,3,Thunderstorm,264
19,7,2015,32,24,17,21,17,14,94,70,34,1018,1015,1008,31,12,10,29,8,,8.89,5,Rain-Thunderstorm,304
20,7,2015,30,23,17,18,17,14,94,69,36,1018,1016,1010,31,11,10,23,5,,0.00,4,Rain-Thunderstorm,77
21,7,2015,33,26,19,18,18,15,88,60,30,1019,1016,1010,31,11,10,21,8,,0.00,2,,348
22,7,2015,32,24,18,21,18,16,94,70,32,1020,1016,1008,31,12,6,39,8,58,0.51,5,Rain-Thunderstorm,269
23,7,2015,29,23,18,19,18,17,100,77,44,1019,1016,1009,31,12,6,26,8,39,17.02,5,Rain-Thunderstorm,319
24,7,2015,28,23,18,20,18,15,100,78,53,1017,1012,1007,31,11,9,21,5,,0.25,6,Rain-Thunderstorm,267
25,7,2015,26,21,15,18,16,13,94,78,43,1018,1011,1005,31,12,6,23,10,,22.10,6,Rain-Thunderstorm,286
26,7,2015,23,18,13,15,12,9,94,68,38,1019,1014,1007,29,11,10,11,5,,3.05,5,Rain,84
27,7,2015,24,19,14,16,14,13,100,77,45,1012,1009,1005,31,12,8,14,6,,2.03,4,Rain,61
28,7,2015,22,17,12,14,12,11,94,71,43,1012,1011,1006,19,10,7,19,6,,4.06,6,Rain,65
29,7,2015,22,18,13,17,14,12,94,82,52,1014,1012,1006,19,10,6,16,5,,2.03,6,Rain-Thunderstorm,91
30,7,2015,18,15,12,14,11,9,94,73,47,1018,1016,1014,31,11,10,11,6,,0.00,6,Rain,77
31,7,2015,24,17,10,13,11,8,94,64,30,1019,1016,1010,27,11,10,19,6,,0.00,3,,82
1,8,2015,22,17,12,17,13,10,100,76,52,1019,1015,1012,31,10,6,24,6,,0.00,6,Rain,267
2,8,2015,21,18,14,16,14,13,100,85,63,1022,1020,1017,19,10,8,14,8,,0.25,5,Rain,73
3,8,2015,28,20,12,18,14,12,100,72,34,1022,1019,1013,31,11,8,16,5,,0.00,2,,58
4,8,2015,32,23,14,18,16,13,100,71,28,1022,1017,1009,31,11,6,48,6,80,0.51,3,Rain-Thunderstorm,271
5,8,2015,31,22,14,19,17,14,100,75,41,1022,1019,1012,31,11,10,11,5,,0.00,3,,166
6,8,2015,32,24,17,20,17,16,94,65,27,1020,1018,1012,31,12,10,16,5,,0.00,2,,332
7,8,2015,33,24,16,20,17,15,88,64,35,1020,1018,1012,31,12,10,21,6,40,0.25,3,Rain-Thunderstorm,252
8,8,2015,30,24,18,19,18,16,100,74,43,1023,1020,1015,31,12,4,24,8,60,22.10,5,Rain-Thunderstorm,278
9,8,2015,32,23,14,19,16,13,100,70,28,1022,1017,1009,31,11,6,29,8,53,2.03,3,Rain-Thunderstorm,351
10,8,2015,30,23,16,19,17,15,94,69,32,1018,1015,1008,31,12,10,21,10,,0.00,2,Rain-Thunderstorm,8
11,8,2015,30,23,17,18,16,12,94,66,25,1019,1016,1010,31,13,10,19,5,,0.00,2,,13
12,8,2015,31,23,16,17,14,12,88,61,28,1022,1019,1014,31,12,10,13,5,,0.00,1,,343
13,8,2015,33,23,14,16,13,9,88,52,17,1021,1016,1008,31,12,10,23,6,34,0.00,1,,116
14,8,2015,29,22,16,17,13,10,77,49,21,1014,1011,1006,31,11,10,29,14,53,9.91,4,Rain,102
15,8,2015,23,19,15,17,16,13,100,81,53,1014,1011,1007,31,10,6,26,8,45,4.06,6,Rain-Thunderstorm,60
16,8,2015,21,18,15,16,15,14,100,87,65,1013,1011,1008,27,11,5,19,8,,7.11,6,Rain,177
17,8,2015,18,17,14,15,14,13,100,90,68,1015,1013,1011,31,11,7,14,5,,11.94,6,Rain,47
18,8,2015,22,18,13,15,13,11,100,78,43,1017,1015,1012,26,10,7,21,5,,8.89,5,Rain,107
19,8,2015,14,13,13,15,13,12,100,93,82,1023,1019,1015,29,10,3,19,6,,4.06,6,Rain,254
20,8,2015,18,15,12,14,12,11,100,84,57,1026,1024,1022,31,11,10,11,3,,5.08,6,Rain,258
21,8,2015,22,17,12,13,12,9,100,75,39,1026,1024,1021,26,10,10,13,5,,0.00,5,,291
22,8,2015,24,17,9,13,11,9,100,69,31,1024,1020,1013,31,11,8,21,5,34,0.00,2,,67
23,8,2015,25,18,11,13,11,9,94,61,29,1016,1012,1006,31,11,8,32,11,58,0.00,3,,165
24,8,2015,26,21,16,13,11,10,77,48,31,1011,1009,1005,31,11,10,39,21,69,0.00,5,,101
25,8,2015,19,16,12,13,12,10,94,77,51,1023,1019,1011,31,11,5,19,8,,4.06,6,Rain,102
26,8,2015,26,17,8,14,12,8,100,72,38,1024,1020,1013,14,10,10,14,5,,0.00,2,,276
27,8,2015,31,21,12,15,12,9,94,61,17,1019,1016,1009,31,12,6,21,6,45,0.00,3,,236
28,8,2015,31,22,14,17,14,12,88,62,25,1023,1019,1015,31,12,10,16,8,,3.05,4,,276
29,8,2015,32,23,14,18,16,14,94,64,27,1026,1022,1015,31,13,10,19,6,,0.00,1,,238
30,8,2015,33,24,17,16,14,12,88,56,18,1023,1020,1013,31,12,10,19,10,,0.00,1,,279
31,8,2015,32,23,14,14,12,6,82,53,12,1020,1016,1009,29,11,8,23,10,47,0.00,1,,242
1,9,2015,30,22,14,15,13,8,94,60,16,1017,1012,1005,29,11,10,40,11,77,11.94,4,Rain-Thunderstorm,240
2,9,2015,18,16,14,16,14,13,100,90,77,1018,1016,1014,31,10,5,19,6,,7.11,6,Rain,79
3,9,2015,21,17,12,14,13,11,100,84,56,1018,1014,1009,19,10,6,18,6,,3.05,6,Rain-Thunderstorm,84
4,9,2015,19,15,11,12,11,9,95,78,46,1018,1016,1013,31,11,10,14,5,,0.00,6,Rain,308
5,9,2015,12,11,11,12,10,8,94,89,77,1020,1017,1014,26,11,6,18,6,,16.00,6,Rain,258
6,9,2015,14,11,8,10,8,6,100,82,49,1027,1022,1020,31,12,10,23,6,,0.00,6,,62
7,9,2015,16,11,6,9,6,4,100,72,38,1027,1025,1023,31,11,10,14,5,,0.00,5,,317
8,9,2015,20,13,6,9,7,5,100,70,31,1027,1023,1018,31,11,10,21,5,,0.00,2,,107
9,9,2015,20,14,8,10,8,6,93,67,37,1022,1020,1016,29,12,10,26,6,,0.00,4,,71
10,9,2015,18,13,8,10,7,6,93,73,37,1021,1018,1014,31,11,10,19,6,,0.51,4,Rain-Thunderstorm,84
11,9,2015,22,14,7,11,8,5,100,69,27,1020,1018,1014,31,12,10,18,6,,0.00,4,,256
12,9,2015,24,17,8,10,8,7,94,62,23,1022,1019,1014,31,12,10,26,11,55,0.00,4,,225
13,9,2015,23,17,9,11,9,8,88,62,31,1019,1014,1008,26,10,10,37,16,72,0.00,4,,222
14,9,2015,18,14,12,13,11,9,94,74,32,1013,1009,1005,27,10,6,34,14,66,4.06,5,Rain,111
15,9,2015,22,16,10,12,11,8,100,77,32,1014,1011,1006,18,10,7,26,6,39,0.25,6,Rain,88
16,9,2015,24,17,9,12,10,9,94,62,30,1010,1006,1002,31,11,10,37,18,82,0.00,4,,229
17,9,2015,28,20,13,13,10,8,82,47,25,1016,1006,997,31,12,10,35,24,74,0.51,4,Rain,123
18,9,2015,19,14,9,12,10,9,94,75,45,1022,1018,1016,27,10,9,26,6,,1.02,5,Rain,81
19,9,2015,19,15,11,12,11,9,100,81,46,1024,1022,1018,31,11,9,27,10,,5.08,6,Rain,273
20,9,2015,17,13,10,11,9,7,100,81,51,1024,1023,1021,31,12,10,14,5,,0.51,6,Rain,93
21,9,2015,19,13,8,9,8,6,94,74,38,1023,1017,1011,29,11,10,11,5,,0.00,4,,203
22,9,2015,18,12,6,11,8,6,100,77,52,1014,1009,1004,31,11,10,19,5,,0.00,6,,266
23,9,2015,9,8,7,10,7,4,93,86,68,1020,1013,1005,31,11,9,23,6,,9.91,7,Rain,84
24,9,2015,12,9,7,8,7,6,100,87,67,1024,1021,1019,23,11,6,10,3,,0.25,6,Rain,95
25,9,2015,16,11,6,9,8,7,94,79,49,1024,1022,1020,31,12,10,13,5,,0.00,6,,285
26,9,2015,15,13,11,10,10,9,94,81,58,1024,1022,1021,31,12,10,13,3,,0.00,7,,77
27,9,2015,14,12,11,10,8,5,94,76,50,1030,1026,1024,31,11,9,14,5,,0.00,6,,74
28,9,2015,14,9,4,6,4,1,100,72,32,1033,1031,1030,31,11,6,26,8,39,0.00,4,,76
29,9,2015,16,9,2,5,3,1,93,70,33,1033,1029,1026,31,12,10,24,8,35,0.00,2,,92
30,9,2015,16,9,2,6,4,2,100,72,35,1032,1028,1024,31,11,10,24,6,42,0.00,1,Fog,89
1,10,2015,19,10,1,7,4,1,95,67,21,1028,1025,1022,31,13,10,26,10,47,0.00,2,,108
2,10,2015,23,13,3,8,6,3,100,63,27,1027,1022,1017,31,11,10,27,8,42,0.00,3,,104
3,10,2015,23,17,11,11,8,6,88,57,27,1019,1017,1014,26,11,10,29,18,63,0.00,4,,173
4,10,2015,20,13,6,10,8,6,100,73,35,1022,1018,1015,31,11,5,39,11,66,4.06,5,Fog-Rain,254
5,10,2015,19,12,4,9,7,5,100,80,38,1022,1017,1012,31,9,0,11,6,,2.03,5,Fog-Rain,256
6,10,2015,20,15,10,13,11,9,100,80,49,1014,1010,1005,29,11,6,23,6,42,10.92,6,Rain,233
7,10,2015,16,14,12,13,12,12,100,91,74,1018,1014,1011,31,11,6,13,3,,3.05,6,Rain,285
8,10,2015,15,13,11,12,11,8,100,83,59,1021,1019,1017,31,11,9,11,5,,0.00,6,Rain,165
9,10,2015,18,13,9,10,9,8,94,77,45,1021,1019,1015,31,11,10,14,5,,0.00,4,,101
10,10,2015,17,13,10,10,9,9,94,79,54,1018,1014,1009,27,12,7,18,5,,0.00,6,Rain,95
11,10,2015,15,11,8,10,8,6,100,83,56,1015,1012,1010,27,9,5,19,6,,0.76,5,Rain,78
12,10,2015,17,11,6,9,7,4,93,75,50,1016,1014,1011,31,11,5,19,5,,0.00,4,,97
13,10,2015,11,9,7,10,8,6,94,88,80,1015,1013,1010,13,9,6,11,5,,1.02,6,Rain,67
14,10,2015,8,7,5,8,5,4,100,87,73,1015,1013,1010,31,10,5,21,8,,2.03,6,Rain,81
15,10,2015,9,7,4,5,4,3,100,88,64,1015,1012,1010,24,11,6,13,5,,0.51,6,Rain,106
16,10,2015,8,7,4,5,4,3,100,87,71,1020,1016,1013,31,11,6,13,5,,2.03,6,Rain,91
17,10,2015,9,7,4,6,4,3,93,82,58,1020,1017,1016,31,11,9,14,6,,0.00,6,Rain,121
18,10,2015,12,9,6,7,5,4,94,85,59,1019,1017,1014,27,12,9,11,3,,0.76,6,Rain,76
19,10,2015,9,7,5,6,5,4,95,88,69,1022,1019,1017,29,11,8,11,5,,5.08,7,Rain,70
20,10,2015,12,7,3,5,3,1,100,80,45,1024,1021,1019,31,11,5,11,5,,0.00,5,Rain,249
21,10,2015,13,7,2,4,3,1,100,78,42,1024,1020,1017,27,11,2,14,5,,0.00,4,,256
22,10,2015,13,8,3,6,3,1,93,73,41,1022,1019,1016,31,12,10,13,6,,0.00,5,,262
23,10,2015,16,10,5,8,6,4,100,78,47,1026,1024,1022,26,11,8,14,5,,0.00,4,,139
24,10,2015,17,8,0,8,4,0,100,79,34,1026,1022,1019,29,12,7,8,3,,0.00,1,Fog,210
25,10,2015,15,9,2,7,4,2,100,79,44,1029,1025,1023,31,11,8,6,3,,0.00,5,,237
26,10,2015,18,9,1,8,4,1,100,81,38,1027,1021,1016,23,10,0,14,5,,0.00,1,Fog,244
27,10,2015,18,9,0,6,3,1,100,72,32,1022,1018,1013,31,13,2,26,6,,0.00,2,Fog,260
28,10,2015,19,12,4,8,4,2,87,69,34,1018,1014,1010,26,12,10,27,16,32,0.00,4,,263
29,10,2015,11,9,7,9,8,6,100,89,73,1024,1018,1011,26,10,5,19,8,,2.03,6,Rain,76
30,10,2015,17,11,4,9,7,5,100,85,52,1029,1025,1023,31,10,0,10,5,,0.00,3,Fog,206
31,10,2015,17,11,4,10,7,3,93,80,51,1033,1029,1026,27,10,6,13,5,,0.00,6,,241
1,11,2015,17,9,1,6,3,0,100,74,30,1036,1032,1029,31,14,2,19,5,,0.00,,,234
2,11,2015,16,7,-2,1,-1,-3,100,65,22,1035,1030,1026,31,15,10,26,8,,0.00,,,259
3,11,2015,18,9,-1,3,-1,-3,87,54,17,1030,1024,1020,31,14,10,29,13,,0.00,6,,263
4,11,2015,17,11,5,8,4,3,93,66,31,1024,1023,1020,27,12,10,11,5,,0.00,5,,243
5,11,2015,17,11,4,7,4,3,93,75,39,1026,1023,1021,31,12,10,10,5,,0.00,4,,251
6,11,2015,17,10,2,7,4,2,100,78,42,1030,1027,1024,24,12,8,8,3,,0.00,3,,244
7,11,2015,17,10,2,7,5,3,100,80,42,1032,1030,1027,31,12,10,8,3,,0.00,5,,229
8,11,2015,19,11,3,11,6,3,100,82,46,1035,1031,1027,31,13,9,8,3,,0.00,2,,234
9,11,2015,17,9,2,8,6,3,100,84,48,1031,1028,1026,27,10,2,11,3,,0.00,3,Fog,190
10,11,2015,18,10,3,7,5,3,100,79,38,1032,1028,1025,31,11,7,8,5,,0.00,4,,223
11,11,2015,16,9,1,7,4,1,100,83,50,1031,1028,1025,31,13,8,6,3,,0.00,2,Fog,247
12,11,2015,13,6,-1,4,2,0,100,82,41,1032,1029,1027,31,12,4,13,3,,0.00,2,Fog,230
13,11,2015,14,7,-1,5,2,-1,100,79,35,1031,1027,1025,29,14,10,8,3,,0.00,3,,199
14,11,2015,12,7,1,6,3,1,100,85,60,1032,1029,1025,23,11,8,10,5,,0.00,5,,129
15,11,2015,19,11,3,6,4,2,100,67,23,1026,1020,1016,31,11,6,40,10,74,0.00,5,Rain,253
16,11,2015,18,11,3,7,4,2,93,69,35,1023,1020,1017,31,14,10,8,3,,0.00,1,,244
17,11,2015,12,6,0,3,2,0,100,77,46,1023,1020,1018,21,11,8,10,3,,0.00,5,,244
18,11,2015,22,12,2,7,2,-1,93,66,20,1024,1020,1017,31,13,8,21,6,39,0.00,5,Rain,244
19,11,2015,13,6,-1,2,-1,-2,87,67,31,1026,1021,1016,24,12,10,13,5,,0.00,4,,228
20,11,2015,16,10,4,10,7,1,100,77,40,1016,1007,997,31,12,6,27,11,,5.08,6,Rain,270
21,11,2015,6,3,1,8,2,0,93,86,67,1000,997,994,26,11,7,13,6,,2.03,6,Rain-Snow,75
22,11,2015,3,1,-1,0,-1,-2,100,91,78,1015,1005,999,27,10,1,11,5,,2.03,6,Snow,59
23,11,2015,4,0,-4,-2,-4,-6,93,78,46,1029,1021,1014,27,11,10,11,5,,0.00,2,,219
24,11,2015,3,-2,-7,-5,-7,-9,93,76,35,1030,1023,1016,26,11,6,11,5,,0.00,2,,245
25,11,2015,2,-1,-5,-2,-4,-6,93,74,50,1019,1010,1006,31,12,10,11,3,,0.00,6,Snow,272
26,11,2015,2,0,-1,1,-1,-2,100,94,87,1022,1013,1007,13,7,1,14,3,,2.03,7,Rain-Snow,237
27,11,2015,3,1,-1,0,-1,-2,100,86,65,1022,1017,1013,18,9,5,11,5,,0.00,5,Snow,151
28,11,2015,1,-2,-4,-1,-3,-6,93,84,63,1025,1017,1013,29,12,9,13,6,,0.00,6,Snow,260
29,11,2015,4,1,-3,1,-2,-3,100,86,54,1028,1023,1021,26,10,3,14,6,,0.00,6,Fog-Rain,249
30,11,2015,9,4,-1,4,2,-1,100,86,52,1026,1023,1022,31,11,6,18,6,,0.00,6,Rain,98
1,12,2015,7,3,-1,7,4,0,100,95,87,1031,1027,1021,11,9,5,14,5,,2.03,6,Rain,89
2,12,2015,9,7,4,6,5,3,100,96,81,1033,1031,1029,14,6,0,11,5,,0.00,6,Fog,221
3,12,2015,8,3,-2,2,-1,-3,100,88,59,1036,1032,1029,19,6,0,8,5,,0.00,6,Fog,233
4,12,2015,8,2,-4,1,-2,-5,100,78,41,1037,1033,1030,31,12,6,8,3,,0.00,6,,247
5,12,2015,9,3,-2,1,-1,-2,100,82,49,1038,1034,1030,24,14,8,10,3,,0.00,3,,248
6,12,2015,8,2,-4,0,-2,-4,100,83,46,1038,1033,1030,31,13,5,8,3,,0.00,,,229
7,12,2015,8,2,-4,0,-2,-5,100,83,46,1042,1036,1033,31,14,8,8,5,,0.00,,,254
8,12,2015,9,2,-4,1,-2,-4,100,83,45,1038,1034,1030,31,13,9,11,3,,0.00,4,,118
9,12,2015,5,1,-3,3,1,-3,100,88,68,1042,1036,1033,31,12,3,10,5,,2.03,6,Rain,189
10,12,2015,6,1,-4,2,-2,-6,100,80,39,1043,1038,1034,27,13,8,11,5,,0.00,3,,249
11,12,2015,4,-1,-7,-4,-6,-7,93,75,36,1039,1032,1029,31,14,6,11,3,,0.00,5,,240
12,12,2015,3,-2,-6,-4,-6,-7,93,78,45,1034,1029,1025,31,15,8,13,5,,0.00,4,,256
13,12,2015,6,-1,-8,-4,-6,-8,100,77,33,1029,1025,1021,26,15,10,8,5,,0.00,1,,246
14,12,2015,6,-1,-7,-5,-7,-8,93,76,31,1031,1025,1021,31,14,5,8,3,,0.00,1,,256
15,12,2015,5,-1,-7,-3,-6,-9,93,77,40,1033,1029,1026,27,14,6,8,3,,0.00,5,,254
16,12,2015,3,-1,-4,3,-1,-5,100,91,74,1034,1032,1029,19,9,1,11,3,,5.08,6,Rain,259
17,12,2015,9,6,2,7,3,2,100,96,76,1034,1031,1028,27,5,0,11,3,,1.02,5,Fog-Rain,255
18,12,2015,6,2,-1,4,2,0,100,97,80,1032,1029,1027,31,7,0,11,6,,0.00,6,Fog,258
19,12,2015,10,5,0,6,2,0,100,94,64,1031,1028,1025,31,6,0,8,3,,0.00,5,Fog,252
20,12,2015,12,4,-3,4,1,-2,100,85,47,1030,1026,1024,27,8,0,16,5,,0.00,1,Fog-Snow,255
21,12,2015,8,3,-1,3,1,-1,100,84,57,1036,1029,1026,31,12,6,14,6,,0.00,5,,238
22,12,2015,9,3,-2,2,-1,-2,100,85,44,1037,1033,1030,31,13,7,14,5,,0.00,6,,249
23,12,2015,8,2,-4,1,-2,-4,100,86,48,1036,1032,1029,31,13,6,18,5,,0.00,1,,249
24,12,2015,9,2,-5,-1,-2,-5,100,82,40,1036,1030,1027,29,11,8,8,3,,0.00,3,,215
25,12,2015,8,2,-4,0,-2,-4,100,84,44,1040,1035,1031,27,14,5,8,5,,0.00,1,,243
26,12,2015,8,2,-5,0,-3,-6,100,83,40,1040,1035,1030,29,14,8,11,3,,0.00,,,245
27,12,2015,9,2,-6,-1,-3,-6,100,80,33,1039,1035,1032,31,14,10,6,3,,0.00,,,246
28,12,2015,8,1,-6,-2,-4,-6,93,78,33,1039,1033,1028,27,15,10,6,3,,0.00,,,230
29,12,2015,9,1,-6,-3,-5,-7,93,75,28,1036,1029,1025,31,17,3,8,3,,0.00,,,213
30,12,2015,7,0,-6,-3,-4,-7,93,80,37,1036,1029,1024,31,15,6,8,3,,0.00,,,246
31,12,2015,5,0,-6,-1,-4,-7,93,72,38,1029,1026,1023,27,12,8,11,5,,0.00,6,Rain-Snow,226
